stream_index	book	chapter	verse	predication_id	previous_predication_id	finite_verb	finite_lemma	finite_compact	subject_person	subject_number	subject_status	subject_source	continuity_status	continuity_source	previous_subject_person	previous_subject_number	previous_finite_verb	independence_status	subordination_status
42	1corintios	1	27	1corintios-1-27-P03	1corintios-1-27-P02	ἐξελέξατο	ἐκλέγομαι	V-AMI-3S	3	S	confirmed	finite_verb_morphology	unresolved	missing_subject_person_or_number			καταισχύνῃ	candidate	not_detected
43	1corintios	1	27	1corintios-1-27-P04	1corintios-1-27-P03	καταισχύνῃ	καταισχύνω	V-PAS-3S			candidate	nearest_agreeing_nominative_no_visible_boundary	unresolved	missing_subject_person_or_number	3	S	ἐξελέξατο	unresolved	candidate
44	1corintios	1	28	1corintios-1-28-P01	1corintios-1-27-P04	ἐξελέξατο	ἐκλέγομαι	V-AMI-3S	3	S	confirmed	finite_verb_morphology	unresolved	missing_subject_person_or_number			καταισχύνῃ	candidate	not_detected
45	1corintios	1	28	1corintios-1-28-P02	1corintios-1-28-P01	καταργήσῃ	καταργέω	V-AAS-3S	3	S	confirmed	finite_verb_morphology	same	person_number_match	3	S	ἐξελέξατο	unresolved	candidate
46	1corintios	1	29	1corintios-1-29-P01	1corintios-1-28-P02	καυχήσηται	καυχάομαι	V-AMS-3S	3	S	confirmed	finite_verb_morphology	same	person_number_match	3	S	καταργήσῃ	unresolved	candidate
47	1corintios	1	30	1corintios-1-30-P01	1corintios-1-29-P01	ἐστε	εἰμί	V-PAI-2P	2	P	confirmed	finite_verb_morphology	shift	person_number_change	3	S	καυχήσηται	candidate	not_detected
48	1corintios	1	30	1corintios-1-30-P02	1corintios-1-30-P01	ἐγενήθη	γίνομαι	V-API-3S			candidate	nearest_agreeing_nominative_no_visible_boundary	unresolved	missing_subject_person_or_number	2	P	ἐστε	candidate	not_detected
49	1corintios	1	31	1corintios-1-31-P01	1corintios-1-30-P02	γέγραπται	γράφω	V-XPI-3S	3	S	confirmed	finite_verb_morphology	unresolved	missing_subject_person_or_number			ἐγενήθη	unresolved	candidate
50	1corintios	1	31	1corintios-1-31-P02	1corintios-1-31-P01	καυχάσθω	καυχάομαι	V-PMD-3S			candidate	nearest_agreeing_nominative_no_visible_boundary	unresolved	missing_subject_person_or_number	3	S	γέγραπται	candidate	not_detected
51	1corintios	2	1	1corintios-2-1-P01	1corintios-1-31-P02	ἦλθον	ἔρχομαι	V-AAI-1S	1	S	confirmed	finite_verb_morphology	unresolved	missing_subject_person_or_number			καυχάσθω	candidate	not_detected
52	1corintios	2	2	1corintios-2-2-P01	1corintios-2-1-P01	ἔκρινά	κρίνω	V-AAI-1S	1	S	confirmed	finite_verb_morphology	same	person_number_match	1	S	ἦλθον	candidate	not_detected
53	1corintios	2	3	1corintios-2-3-P01	1corintios-2-2-P01	ἐγενόμην	γίνομαι	V-AMI-1S	1	S	confirmed	finite_verb_morphology	same	person_number_match	1	S	ἔκρινά	candidate	not_detected
