movement_group_id	group_index	book	start_stream_index	end_stream_index	start_reference	end_reference	start_predication_id	end_predication_id	record_count	dominant_movement_status	movement_status_counts	movement_reason_counts	group_signature	first_finite_verb	last_finite_verb
MG0510	510	1corintios	768	768	14:14	14:14	1corintios-14-14-P02	1corintios-14-14-P02	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	independence_transition+number_change+person_change+subordination_transition	προσεύχεται	προσεύχεται
MG0511	511	1corintios	769	769	14:14	14:14	1corintios-14-14-P03	1corintios-14-14-P03	1	none	"{""none"": 1}"	{}	none	ἐστιν	ἐστιν
MG0512	512	1corintios	770	770	14:15	14:15	1corintios-14-15-P01	1corintios-14-15-P01	1	candidate	"{""candidate"": 1}"	"{""number_change"": 1, ""person_change"": 1}"	number_change+person_change	ἐστιν	ἐστιν
MG0513	513	1corintios	771	771	14:15	14:15	1corintios-14-15-P02	1corintios-14-15-P02	1	candidate	"{""candidate"": 1}"	"{""person_change"": 1}"	person_change	προσεύξομαι	προσεύξομαι
MG0514	514	1corintios	772	774	14:15	14:15	1corintios-14-15-P03	1corintios-14-15-P05	3	none	"{""none"": 3}"	{}	none	προσεύξομαι	ψαλῶ
MG0515	515	1corintios	775	775	14:16	14:16	1corintios-14-16-P01	1corintios-14-16-P01	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	independence_transition+person_change+subordination_transition	εὐλογῇς	εὐλογῇς
MG0516	516	1corintios	776	776	14:16	14:16	1corintios-14-16-P02	1corintios-14-16-P02	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	independence_transition+person_change+subordination_transition	ἐρεῖ	ἐρεῖ
MG0517	517	1corintios	777	777	14:16	14:16	1corintios-14-16-P03	1corintios-14-16-P03	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	independence_transition+person_change+subordination_transition	λέγεις	λέγεις
MG0518	518	1corintios	778	778	14:16	14:16	1corintios-14-16-P04	1corintios-14-16-P04	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	independence_transition+person_change+subordination_transition	οἶδεν	οἶδεν
MG0519	519	1corintios	779	779	14:17	14:17	1corintios-14-17-P01	1corintios-14-17-P01	1	candidate	"{""candidate"": 1}"	"{""person_change"": 1}"	person_change	εὐχαριστεῖς	εὐχαριστεῖς
MG0520	520	1corintios	780	780	14:17	14:17	1corintios-14-17-P02	1corintios-14-17-P02	1	none	"{""none"": 1}"	{}	none	οἰκοδομεῖται	οἰκοδομεῖται
MG0521	521	1corintios	781	781	14:18	14:18	1corintios-14-18-P01	1corintios-14-18-P01	1	candidate	"{""candidate"": 1}"	"{""person_change"": 1}"	person_change	εὐχαριστῶ	εὐχαριστῶ
MG0522	522	1corintios	782	783	14:18	14:19	1corintios-14-18-P02	1corintios-14-19-P01	2	none	"{""none"": 2}"	{}	none	λαλῶ	θέλω
MG0523	523	1corintios	784	784	14:19	14:19	1corintios-14-19-P02	1corintios-14-19-P02	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	independence_transition+subordination_transition	κατηχήσω	κατηχήσω
MG0524	524	1corintios	785	785	14:20	14:20	1corintios-14-20-P01	1corintios-14-20-P01	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	independence_transition+number_change+person_change+subordination_transition	γίνεσθε	γίνεσθε
MG0525	525	1corintios	786	787	14:20	14:20	1corintios-14-20-P02	1corintios-14-20-P03	2	none	"{""none"": 2}"	{}	none	νηπιάζετε	γίνεσθε
MG0526	526	1corintios	788	788	14:21	14:21	1corintios-14-21-P01	1corintios-14-21-P01	1	candidate	"{""candidate"": 1}"	"{""number_change"": 1, ""person_change"": 1}"	number_change+person_change	γέγραπται	γέγραπται
MG0527	527	1corintios	789	789	14:21	14:21	1corintios-14-21-P02	1corintios-14-21-P02	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	independence_transition+person_change+subordination_transition	λαλήσω	λαλήσω
MG0528	528	1corintios	790	790	14:21	14:21	1corintios-14-21-P03	1corintios-14-21-P03	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	independence_transition+number_change+person_change+subordination_transition	εἰσακούσονταί	εἰσακούσονταί
MG0529	529	1corintios	791	791	14:21	14:21	1corintios-14-21-P04	1corintios-14-21-P04	1	candidate	"{""candidate"": 1}"	"{""number_change"": 1}"	number_change	λέγει	λέγει
MG0530	530	1corintios	792	792	14:22	14:22	1corintios-14-22-P01	1corintios-14-22-P01	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	independence_transition+person_change+subordination_transition	εἰσιν	εἰσιν
MG0531	531	1corintios	793	793	14:23	14:23	1corintios-14-23-P01	1corintios-14-23-P01	1	candidate	"{""candidate"": 1}"	"{""person_change"": 1}"	person_change	συνέλθῃ	συνέλθῃ
MG0532	532	1corintios	794	794	14:23	14:23	1corintios-14-23-P02	1corintios-14-23-P02	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	independence_transition+subordination_transition	λαλῶσιν	λαλῶσιν
MG0533	533	1corintios	795	795	14:23	14:23	1corintios-14-23-P03	1corintios-14-23-P03	1	candidate	"{""candidate"": 1}"	"{""number_change"": 1}"	number_change	εἰσέλθωσιν	εἰσέλθωσιν
MG0534	534	1corintios	796	796	14:23	14:23	1corintios-14-23-P04	1corintios-14-23-P04	1	none	"{""none"": 1}"	{}	none	ἐροῦσιν	ἐροῦσιν
MG0535	535	1corintios	797	797	14:23	14:23	1corintios-14-23-P05	1corintios-14-23-P05	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	independence_transition+person_change+subordination_transition	μαίνεσθε	μαίνεσθε
MG0536	536	1corintios	798	798	14:24	14:24	1corintios-14-24-P01	1corintios-14-24-P01	1	none	"{""none"": 1}"	{}	none	προφητεύωσιν	προφητεύωσιν
MG0537	537	1corintios	799	799	14:24	14:24	1corintios-14-24-P02	1corintios-14-24-P02	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	independence_transition+number_change+person_change+subordination_transition	εἰσέλθῃ	εἰσέλθῃ
MG0538	538	1corintios	800	803	14:24	14:25	1corintios-14-24-P03	1corintios-14-25-P02	4	none	"{""none"": 4}"	{}	none	ἐλέγχεται	προσκυνήσει
MG0539	539	1corintios	804	805	14:25	14:26	1corintios-14-25-P03	1corintios-14-26-P01	2	candidate	"{""candidate"": 2}"	"{""independence_transition"": 2, ""subordination_transition"": 2}"	independence_transition+subordination_transition	ἐστιν	ἐστιν
MG0540	540	1corintios	806	806	14:26	14:26	1corintios-14-26-P02	1corintios-14-26-P02	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	independence_transition+number_change+person_change+subordination_transition	συνέρχησθε	συνέρχησθε
MG0541	541	1corintios	807	807	14:26	14:26	1corintios-14-26-P03	1corintios-14-26-P03	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	independence_transition+number_change+person_change+subordination_transition	ἔχει	ἔχει
MG0542	542	1corintios	808	814	14:26	14:27	1corintios-14-26-P04	1corintios-14-27-P02	7	none	"{""none"": 7}"	{}	none	ἔχει	διερμηνευέτω
MG0543	543	1corintios	815	816	14:28	14:28	1corintios-14-28-P01	1corintios-14-28-P02	2	candidate	"{""candidate"": 2}"	"{""independence_transition"": 2, ""subordination_transition"": 2}"	independence_transition+subordination_transition	ᾖ	σιγάτω
MG0544	544	1corintios	817	819	14:28	14:29	1corintios-14-28-P03	1corintios-14-29-P02	3	none	"{""none"": 3}"	{}	none	λαλείτω	διακρινέτωσαν
MG0545	545	1corintios	820	821	14:30	14:30	1corintios-14-30-P01	1corintios-14-30-P02	2	candidate	"{""candidate"": 2}"	"{""independence_transition"": 2, ""subordination_transition"": 2}"	independence_transition+subordination_transition	ἀποκαλυφθῇ	σιγάτω
MG0546	546	1corintios	822	822	14:31	14:31	1corintios-14-31-P01	1corintios-14-31-P01	1	candidate	"{""candidate"": 1}"	"{""number_change"": 1, ""person_change"": 1}"	number_change+person_change	δύνασθε	δύνασθε
MG0547	547	1corintios	823	823	14:31	14:31	1corintios-14-31-P02	1corintios-14-31-P02	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	independence_transition+number_change+person_change+subordination_transition	μανθάνωσιν	μανθάνωσιν
MG0548	548	1corintios	824	824	14:31	14:31	1corintios-14-31-P03	1corintios-14-31-P03	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	independence_transition+number_change+person_change+subordination_transition	παρακαλῶνται	παρακαλῶνται
MG0549	549	1corintios	825	825	14:32	14:32	1corintios-14-32-P01	1corintios-14-32-P01	1	none	"{""none"": 1}"	{}	none	ὑποτάσσεται	ὑποτάσσεται
MG0550	550	1corintios	826	826	14:33	14:33	1corintios-14-33-P01	1corintios-14-33-P01	1	candidate	"{""candidate"": 1}"	"{""number_change"": 1, ""person_change"": 1}"	number_change+person_change	ἐστιν	ἐστιν
MG0551	551	1corintios	827	828	14:34	14:34	1corintios-14-34-P01	1corintios-14-34-P02	2	none	"{""none"": 2}"	{}	none	σιγάτωσαν	ἐπιτρέπεται
MG0552	552	1corintios	829	829	14:34	14:34	1corintios-14-34-P03	1corintios-14-34-P03	1	candidate	"{""candidate"": 1}"	"{""number_change"": 1}"	number_change	ὑποτασσέσθωσαν	ὑποτασσέσθωσαν
MG0553	553	1corintios	830	830	14:34	14:34	1corintios-14-34-P04	1corintios-14-34-P04	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	independence_transition+subordination_transition	λέγει	λέγει
MG0554	554	1corintios	831	831	14:35	14:35	1corintios-14-35-P01	1corintios-14-35-P01	1	none	"{""none"": 1}"	{}	none	θέλουσιν	θέλουσιν
MG0555	555	1corintios	832	832	14:35	14:35	1corintios-14-35-P02	1corintios-14-35-P02	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	independence_transition+subordination_transition	ἐπερωτάτωσαν	ἐπερωτάτωσαν
MG0556	556	1corintios	833	833	14:35	14:35	1corintios-14-35-P03	1corintios-14-35-P03	1	candidate	"{""candidate"": 1}"	"{""number_change"": 1}"	number_change	ἐστιν	ἐστιν
MG0557	557	1corintios	834	835	14:36	14:36	1corintios-14-36-P01	1corintios-14-36-P02	2	none	"{""none"": 2}"	{}	none	ἐξῆλθεν	κατήντησεν
MG0558	558	1corintios	836	837	14:37	14:37	1corintios-14-37-P01	1corintios-14-37-P02	2	candidate	"{""candidate"": 2}"	"{""independence_transition"": 2, ""subordination_transition"": 2}"	independence_transition+subordination_transition	δοκεῖ	ἐπιγινωσκέτω
MG0559	559	1corintios	838	838	14:37	14:37	1corintios-14-37-P03	1corintios-14-37-P03	1	candidate	"{""candidate"": 1}"	"{""person_change"": 1}"	person_change	γράφω	γράφω
MG0560	560	1corintios	839	839	14:37	14:37	1corintios-14-37-P04	1corintios-14-37-P04	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	independence_transition+person_change+subordination_transition	ἐστίν	ἐστίν
MG0561	561	1corintios	840	840	14:38	14:38	1corintios-14-38-P01	1corintios-14-38-P01	1	none	"{""none"": 1}"	{}	none	ἀγνοεῖ	ἀγνοεῖ
MG0562	562	1corintios	841	841	14:38	14:38	1corintios-14-38-P02	1corintios-14-38-P02	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	independence_transition+subordination_transition	ἀγνοεῖται	ἀγνοεῖται
MG0563	563	1corintios	842	842	14:39	14:39	1corintios-14-39-P01	1corintios-14-39-P01	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	independence_transition+number_change+person_change+subordination_transition	ζηλοῦτε	ζηλοῦτε
MG0564	564	1corintios	843	843	14:39	14:39	1corintios-14-39-P02	1corintios-14-39-P02	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	independence_transition+subordination_transition	κωλύετε	κωλύετε
MG0565	565	1corintios	844	844	14:40	14:40	1corintios-14-40-P01	1corintios-14-40-P01	1	candidate	"{""candidate"": 1}"	"{""number_change"": 1, ""person_change"": 1}"	number_change+person_change	γινέσθω	γινέσθω
MG0566	566	1corintios	845	845	15:1	15:1	1corintios-15-1-P01	1corintios-15-1-P01	1	candidate	"{""candidate"": 1}"	"{""person_change"": 1}"	person_change	γνωρίζω	γνωρίζω
MG0567	567	1corintios	846	846	15:1	15:1	1corintios-15-1-P02	1corintios-15-1-P02	1	none	"{""none"": 1}"	{}	none	εὐηγγελισάμην	εὐηγγελισάμην
MG0568	568	1corintios	847	847	15:1	15:1	1corintios-15-1-P03	1corintios-15-1-P03	1	candidate	"{""candidate"": 1}"	"{""number_change"": 1, ""person_change"": 1}"	number_change+person_change	παρελάβετε	παρελάβετε
MG0569	569	1corintios	848	849	15:1	15:2	1corintios-15-1-P04	1corintios-15-2-P01	2	none	"{""none"": 2}"	{}	none	ἑστήκατε	σῴζεσθε
MG0570	570	1corintios	850	850	15:2	15:2	1corintios-15-2-P02	1corintios-15-2-P02	1	candidate	"{""candidate"": 1}"	"{""number_change"": 1, ""person_change"": 1}"	number_change+person_change	εὐηγγελισάμην	εὐηγγελισάμην
MG0571	571	1corintios	851	851	15:2	15:2	1corintios-15-2-P03	1corintios-15-2-P03	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	independence_transition+number_change+person_change+subordination_transition	κατέχετε	κατέχετε
MG0572	572	1corintios	852	852	15:2	15:2	1corintios-15-2-P04	1corintios-15-2-P04	1	none	"{""none"": 1}"	{}	none	ἐπιστεύσατε	ἐπιστεύσατε
MG0573	573	1corintios	853	853	15:3	15:3	1corintios-15-3-P01	1corintios-15-3-P01	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	independence_transition+number_change+person_change+subordination_transition	παρέδωκα	παρέδωκα
MG0574	574	1corintios	854	854	15:3	15:3	1corintios-15-3-P02	1corintios-15-3-P02	1	none	"{""none"": 1}"	{}	none	παρέλαβον	παρέλαβον
MG0575	575	1corintios	855	855	15:3	15:3	1corintios-15-3-P03	1corintios-15-3-P03	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	independence_transition+number_change+person_change+subordination_transition	ἀπέθανεν	ἀπέθανεν
MG0576	576	1corintios	856	856	15:4	15:4	1corintios-15-4-P01	1corintios-15-4-P01	1	candidate	"{""candidate"": 1}"	"{""number_change"": 1, ""person_change"": 1}"	number_change+person_change	ἐτάφη	ἐτάφη
MG0577	577	1corintios	857	858	15:4	15:5	1corintios-15-4-P02	1corintios-15-5-P01	2	none	"{""none"": 2}"	{}	none	ἐγήγερται	ὤφθη
MG0578	578	1corintios	859	859	15:6	15:6	1corintios-15-6-P01	1corintios-15-6-P01	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	independence_transition+subordination_transition	ὤφθη	ὤφθη
MG0579	579	1corintios	860	860	15:6	15:6	1corintios-15-6-P02	1corintios-15-6-P02	1	none	"{""none"": 1}"	{}	none	μένουσιν	μένουσιν
MG0580	580	1corintios	861	862	15:6	15:7	1corintios-15-6-P03	1corintios-15-7-P01	2	candidate	"{""candidate"": 2}"	"{""number_change"": 2}"	number_change	ἐκοιμήθησαν	ὤφθη
MG0581	581	1corintios	863	863	15:8	15:8	1corintios-15-8-P01	1corintios-15-8-P01	1	none	"{""none"": 1}"	{}	none	ὤφθη	ὤφθη
MG0582	582	1corintios	864	864	15:9	15:9	1corintios-15-9-P01	1corintios-15-9-P01	1	candidate	"{""candidate"": 1}"	"{""person_change"": 1}"	person_change	εἰμι	εἰμι
MG0583	583	1corintios	865	870	15:9	15:10	1corintios-15-9-P02	1corintios-15-10-P04	6	none	"{""none"": 6}"	{}	none	εἰμὶ	ἐκοπίασα
MG0584	584	1corintios	871	871	15:11	15:11	1corintios-15-11-P01	1corintios-15-11-P01	1	candidate	"{""candidate"": 1}"	"{""number_change"": 1}"	number_change	κηρύσσομεν	κηρύσσομεν
MG0585	585	1corintios	872	872	15:11	15:11	1corintios-15-11-P02	1corintios-15-11-P02	1	candidate	"{""candidate"": 1}"	"{""person_change"": 1}"	person_change	ἐπιστεύσατε	ἐπιστεύσατε
MG0586	586	1corintios	873	873	15:12	15:12	1corintios-15-12-P01	1corintios-15-12-P01	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	independence_transition+subordination_transition	κηρύσσεται	κηρύσσεται
MG0587	587	1corintios	874	874	15:12	15:12	1corintios-15-12-P02	1corintios-15-12-P02	1	none	"{""none"": 1}"	{}	none	ἐγήγερται	ἐγήγερται
MG0588	588	1corintios	875	875	15:12	15:12	1corintios-15-12-P03	1corintios-15-12-P03	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""subordination_transition"": 1}"	independence_transition+number_change+subordination_transition	λέγουσιν	λέγουσιν
MG0589	589	1corintios	876	876	15:12	15:12	1corintios-15-12-P04	1corintios-15-12-P04	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""subordination_transition"": 1}"	independence_transition+number_change+subordination_transition	ἔστιν	ἔστιν
