movement_group_id	group_index	book	start_stream_index	end_stream_index	start_reference	end_reference	start_predication_id	end_predication_id	record_count	dominant_movement_status	movement_status_counts	movement_reason_counts	group_signature	first_finite_verb	last_finite_verb
MG0001	1	1corintios	1	1	1:4	1:4	1corintios-1-4-P01	1corintios-1-4-P01	1	strong	"{""strong"": 1}"	"{""stream_start"": 1}"	stream_start	εὐχαριστῶ	εὐχαριστῶ
MG0002	2	1corintios	2	2	1:5	1:5	1corintios-1-5-P01	1corintios-1-5-P01	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	independence_transition+number_change+person_change+subordination_transition	ἐπλουτίσθητε	ἐπλουτίσθητε
MG0003	3	1corintios	3	3	1:6	1:6	1corintios-1-6-P01	1corintios-1-6-P01	1	none	"{""none"": 1}"	{}	none	ἐβεβαιώθη	ἐβεβαιώθη
MG0004	4	1corintios	4	4	1:8	1:8	1corintios-1-8-P01	1corintios-1-8-P01	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	independence_transition+number_change+person_change+subordination_transition	βεβαιώσει	βεβαιώσει
MG0005	5	1corintios	5	6	1:9	1:10	1corintios-1-9-P01	1corintios-1-10-P01	2	candidate	"{""candidate"": 2}"	"{""number_change"": 2, ""person_change"": 2}"	number_change+person_change	ἐκλήθητε	παρακαλῶ
MG0006	6	1corintios	7	7	1:10	1:10	1corintios-1-10-P02	1corintios-1-10-P02	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	independence_transition+number_change+person_change+subordination_transition	λέγητε	λέγητε
MG0007	7	1corintios	8	8	1:10	1:10	1corintios-1-10-P03	1corintios-1-10-P03	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	independence_transition+number_change+person_change+subordination_transition	ᾖ	ᾖ
MG0008	8	1corintios	9	10	1:10	1:11	1corintios-1-10-P04	1corintios-1-11-P01	2	candidate	"{""candidate"": 2}"	"{""number_change"": 2, ""person_change"": 2}"	number_change+person_change	ἦτε	ἐδηλώθη
MG0009	9	1corintios	11	14	1:11	1:12	1corintios-1-11-P02	1corintios-1-12-P03	4	candidate	"{""candidate"": 4}"	"{""independence_transition"": 4, ""subordination_transition"": 4}"	independence_transition+subordination_transition	εἰσιν	εἰμι
MG0010	10	1corintios	15	15	1:13	1:13	1corintios-1-13-P01	1corintios-1-13-P01	1	candidate	"{""candidate"": 1}"	"{""person_change"": 1}"	person_change	μεμέρισται	μεμέρισται
MG0011	11	1corintios	16	16	1:13	1:13	1corintios-1-13-P02	1corintios-1-13-P02	1	none	"{""none"": 1}"	{}	none	ἐσταυρώθη	ἐσταυρώθη
MG0012	12	1corintios	17	18	1:13	1:14	1corintios-1-13-P03	1corintios-1-14-P01	2	candidate	"{""candidate"": 2}"	"{""number_change"": 2, ""person_change"": 2}"	number_change+person_change	ἐβαπτίσθητε	εὐχαριστῶ
MG0013	13	1corintios	19	19	1:14	1:14	1corintios-1-14-P02	1corintios-1-14-P02	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	independence_transition+subordination_transition	ἐβάπτισα	ἐβάπτισα
MG0014	14	1corintios	20	20	1:15	1:15	1corintios-1-15-P01	1corintios-1-15-P01	1	none	"{""none"": 1}"	{}	none	εἴπῃ	εἴπῃ
MG0015	15	1corintios	21	21	1:15	1:15	1corintios-1-15-P02	1corintios-1-15-P02	1	candidate	"{""candidate"": 1}"	"{""number_change"": 1, ""person_change"": 1}"	number_change+person_change	ἐβαπτίσθητε	ἐβαπτίσθητε
MG0016	16	1corintios	22	22	1:16	1:16	1corintios-1-16-P01	1corintios-1-16-P01	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	independence_transition+number_change+person_change+subordination_transition	ἐβάπτισα	ἐβάπτισα
MG0017	17	1corintios	23	23	1:16	1:16	1corintios-1-16-P02	1corintios-1-16-P02	1	none	"{""none"": 1}"	{}	none	οἶδα	οἶδα
MG0018	18	1corintios	24	24	1:16	1:16	1corintios-1-16-P03	1corintios-1-16-P03	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	independence_transition+subordination_transition	ἐβάπτισα	ἐβάπτισα
MG0019	19	1corintios	25	25	1:17	1:17	1corintios-1-17-P01	1corintios-1-17-P01	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	independence_transition+person_change+subordination_transition	ἀπέστειλέν	ἀπέστειλέν
MG0020	20	1corintios	26	27	1:17	1:18	1corintios-1-17-P02	1corintios-1-18-P01	2	candidate	"{""candidate"": 2}"	"{""independence_transition"": 2, ""subordination_transition"": 2}"	independence_transition+subordination_transition	κενωθῇ	ἐστίν
MG0021	21	1corintios	28	29	1:18	1:19	1corintios-1-18-P02	1corintios-1-19-P01	2	none	"{""none"": 2}"	{}	none	ἐστιν	γέγραπται
MG0022	22	1corintios	30	30	1:19	1:19	1corintios-1-19-P02	1corintios-1-19-P02	1	candidate	"{""candidate"": 1}"	"{""person_change"": 1}"	person_change	ἀπολῶ	ἀπολῶ
MG0023	23	1corintios	31	32	1:19	1:20	1corintios-1-19-P03	1corintios-1-20-P01	2	none	"{""none"": 2}"	{}	none	ἀθετήσω	ἐμώρανεν
MG0024	24	1corintios	33	33	1:21	1:21	1corintios-1-21-P01	1corintios-1-21-P01	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	independence_transition+person_change+subordination_transition	ἔγνω	ἔγνω
MG0025	25	1corintios	34	34	1:21	1:21	1corintios-1-21-P02	1corintios-1-21-P02	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	independence_transition+person_change+subordination_transition	εὐδόκησεν	εὐδόκησεν
MG0026	26	1corintios	35	35	1:22	1:22	1corintios-1-22-P01	1corintios-1-22-P01	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	independence_transition+person_change+subordination_transition	αἰτοῦσιν	αἰτοῦσιν
MG0027	27	1corintios	36	36	1:22	1:22	1corintios-1-22-P02	1corintios-1-22-P02	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	independence_transition+person_change+subordination_transition	ζητοῦσιν	ζητοῦσιν
MG0028	28	1corintios	37	37	1:23	1:23	1corintios-1-23-P01	1corintios-1-23-P01	1	candidate	"{""candidate"": 1}"	"{""number_change"": 1}"	number_change	κηρύσσομεν	κηρύσσομεν
MG0029	29	1corintios	38	38	1:25	1:25	1corintios-1-25-P01	1corintios-1-25-P01	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	independence_transition+number_change+person_change+subordination_transition	ἐστίν	ἐστίν
MG0030	30	1corintios	39	39	1:26	1:26	1corintios-1-26-P01	1corintios-1-26-P01	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	independence_transition+number_change+person_change+subordination_transition	βλέπετε	βλέπετε
MG0031	31	1corintios	40	40	1:27	1:27	1corintios-1-27-P01	1corintios-1-27-P01	1	candidate	"{""candidate"": 1}"	"{""number_change"": 1, ""person_change"": 1}"	number_change+person_change	ἐξελέξατο	ἐξελέξατο
MG0032	32	1corintios	41	45	1:27	1:28	1corintios-1-27-P02	1corintios-1-28-P02	5	candidate	"{""candidate"": 5}"	"{""independence_transition"": 5, ""subordination_transition"": 5}"	independence_transition+subordination_transition	καταισχύνῃ	καταργήσῃ
MG0033	33	1corintios	46	46	1:29	1:29	1corintios-1-29-P01	1corintios-1-29-P01	1	none	"{""none"": 1}"	{}	none	καυχήσηται	καυχήσηται
MG0034	34	1corintios	47	47	1:30	1:30	1corintios-1-30-P01	1corintios-1-30-P01	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	independence_transition+number_change+person_change+subordination_transition	ἐστε	ἐστε
MG0035	35	1corintios	48	48	1:30	1:30	1corintios-1-30-P02	1corintios-1-30-P02	1	none	"{""none"": 1}"	{}	none	ἐγενήθη	ἐγενήθη
MG0036	36	1corintios	49	49	1:31	1:31	1corintios-1-31-P01	1corintios-1-31-P01	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	independence_transition+number_change+person_change+subordination_transition	γέγραπται	γέγραπται
MG0037	37	1corintios	50	50	1:31	1:31	1corintios-1-31-P02	1corintios-1-31-P02	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	independence_transition+number_change+person_change+subordination_transition	καυχάσθω	καυχάσθω
MG0038	38	1corintios	51	51	2:1	2:1	1corintios-2-1-P01	1corintios-2-1-P01	1	candidate	"{""candidate"": 1}"	"{""number_change"": 1, ""person_change"": 1}"	number_change+person_change	ἦλθον	ἦλθον
MG0039	39	1corintios	52	53	2:2	2:3	1corintios-2-2-P01	1corintios-2-3-P01	2	none	"{""none"": 2}"	{}	none	ἔκρινά	ἐγενόμην
MG0040	40	1corintios	54	55	2:5	2:6	1corintios-2-5-P01	1corintios-2-6-P01	2	candidate	"{""candidate"": 2}"	"{""independence_transition"": 2, ""subordination_transition"": 2}"	independence_transition+subordination_transition	ᾖ	λαλοῦμεν
MG0041	41	1corintios	56	56	2:7	2:7	1corintios-2-7-P01	1corintios-2-7-P01	1	none	"{""none"": 1}"	{}	none	λαλοῦμεν	λαλοῦμεν
MG0042	42	1corintios	57	57	2:7	2:7	1corintios-2-7-P02	1corintios-2-7-P02	1	candidate	"{""candidate"": 1}"	"{""number_change"": 1, ""person_change"": 1}"	number_change+person_change	προώρισεν	προώρισεν
MG0043	43	1corintios	58	58	2:8	2:8	1corintios-2-8-P01	1corintios-2-8-P01	1	none	"{""none"": 1}"	{}	none	ἔγνωκεν	ἔγνωκεν
MG0044	44	1corintios	59	59	2:8	2:8	1corintios-2-8-P02	1corintios-2-8-P02	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""subordination_transition"": 1}"	independence_transition+number_change+subordination_transition	ἔγνωσαν	ἔγνωσαν
MG0045	45	1corintios	60	60	2:8	2:8	1corintios-2-8-P03	1corintios-2-8-P03	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	independence_transition+subordination_transition	ἐσταύρωσαν	ἐσταύρωσαν
MG0046	46	1corintios	61	61	2:9	2:9	1corintios-2-9-P01	1corintios-2-9-P01	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""subordination_transition"": 1}"	independence_transition+number_change+subordination_transition	γέγραπται	γέγραπται
MG0047	47	1corintios	62	62	2:9	2:9	1corintios-2-9-P02	1corintios-2-9-P02	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""subordination_transition"": 1}"	independence_transition+number_change+subordination_transition	εἶδεν	εἶδεν
MG0048	48	1corintios	63	63	2:9	2:9	1corintios-2-9-P03	1corintios-2-9-P03	1	none	"{""none"": 1}"	{}	none	ἤκουσεν	ἤκουσεν
MG0049	49	1corintios	64	64	2:9	2:9	1corintios-2-9-P04	1corintios-2-9-P04	1	candidate	"{""candidate"": 1}"	"{""number_change"": 1}"	number_change	ἀνέβη	ἀνέβη
MG0050	50	1corintios	65	68	2:9	2:11	1corintios-2-9-P05	1corintios-2-11-P01	4	none	"{""none"": 4}"	{}	none	ἡτοίμασεν	οἶδεν
MG0051	51	1corintios	69	72	2:11	2:13	1corintios-2-11-P02	1corintios-2-13-P01	4	candidate	"{""candidate"": 4}"	"{""independence_transition"": 4, ""subordination_transition"": 4}"	independence_transition+subordination_transition	ἔγνωκεν	λαλοῦμεν
MG0052	52	1corintios	73	73	2:14	2:14	1corintios-2-14-P01	1corintios-2-14-P01	1	none	"{""none"": 1}"	{}	none	δέχεται	δέχεται
MG0053	53	1corintios	74	74	2:14	2:14	1corintios-2-14-P02	1corintios-2-14-P02	1	candidate	"{""candidate"": 1}"	"{""number_change"": 1, ""person_change"": 1}"	number_change+person_change	ἐστίν	ἐστίν
MG0054	54	1corintios	75	75	2:14	2:14	1corintios-2-14-P03	1corintios-2-14-P03	1	none	"{""none"": 1}"	{}	none	δύναται	δύναται
MG0055	55	1corintios	76	77	2:14	2:15	1corintios-2-14-P04	1corintios-2-15-P01	2	candidate	"{""candidate"": 2}"	"{""independence_transition"": 2, ""subordination_transition"": 2}"	independence_transition+subordination_transition	ἀνακρίνεται	ἀνακρίνει
MG0056	56	1corintios	78	80	2:15	2:16	1corintios-2-15-P02	1corintios-2-16-P02	3	none	"{""none"": 3}"	{}	none	ἀνακρίνεται	συμβιβάσει
MG0057	57	1corintios	81	81	2:16	2:16	1corintios-2-16-P03	1corintios-2-16-P03	1	candidate	"{""candidate"": 1}"	"{""number_change"": 1, ""person_change"": 1}"	number_change+person_change	ἔχομεν	ἔχομεν
MG0058	58	1corintios	82	82	3:1	3:1	1corintios-3-1-P01	1corintios-3-1-P01	1	candidate	"{""candidate"": 1}"	"{""number_change"": 1}"	number_change	ἠδυνήθην	ἠδυνήθην
MG0059	59	1corintios	83	83	3:2	3:2	1corintios-3-2-P01	1corintios-3-2-P01	1	none	"{""none"": 1}"	{}	none	ἐπότισα	ἐπότισα
MG0060	60	1corintios	84	84	3:2	3:2	1corintios-3-2-P02	1corintios-3-2-P02	1	candidate	"{""candidate"": 1}"	"{""number_change"": 1, ""person_change"": 1}"	number_change+person_change	ἐδύνασθε	ἐδύνασθε
MG0061	61	1corintios	85	88	3:2	3:3	1corintios-3-2-P03	1corintios-3-3-P03	4	none	"{""none"": 4}"	{}	none	δύνασθε	περιπατεῖτε
MG0062	62	1corintios	89	89	3:4	3:4	1corintios-3-4-P01	1corintios-3-4-P01	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	independence_transition+number_change+person_change+subordination_transition	λέγῃ	λέγῃ
MG0063	63	1corintios	90	90	3:4	3:4	1corintios-3-4-P02	1corintios-3-4-P02	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	independence_transition+person_change+subordination_transition	εἰμι	εἰμι
MG0064	64	1corintios	91	92	3:4	3:5	1corintios-3-4-P03	1corintios-3-5-P01	2	candidate	"{""candidate"": 2}"	"{""number_change"": 2, ""person_change"": 2}"	number_change+person_change	ἐστε	ἐστιν
MG0065	65	1corintios	93	93	3:5	3:5	1corintios-3-5-P02	1corintios-3-5-P02	1	none	"{""none"": 1}"	{}	none	ἐστιν	ἐστιν
MG0066	66	1corintios	94	94	3:5	3:5	1corintios-3-5-P03	1corintios-3-5-P03	1	candidate	"{""candidate"": 1}"	"{""number_change"": 1, ""person_change"": 1}"	number_change+person_change	ἐπιστεύσατε	ἐπιστεύσατε
MG0067	67	1corintios	95	96	3:5	3:6	1corintios-3-5-P04	1corintios-3-6-P01	2	candidate	"{""candidate"": 2}"	"{""independence_transition"": 2, ""subordination_transition"": 2}"	independence_transition+subordination_transition	ἔδωκεν	ἐφύτευσα
MG0068	68	1corintios	97	98	3:6	3:6	1corintios-3-6-P02	1corintios-3-6-P03	2	none	"{""none"": 2}"	{}	none	ἐπότισεν	ηὔξανεν
MG0069	69	1corintios	99	100	3:7	3:8	1corintios-3-7-P01	1corintios-3-8-P01	2	candidate	"{""candidate"": 2}"	"{""independence_transition"": 2, ""subordination_transition"": 2}"	independence_transition+subordination_transition	ἐστίν	εἰσιν
MG0070	70	1corintios	101	101	3:8	3:8	1corintios-3-8-P02	1corintios-3-8-P02	1	candidate	"{""candidate"": 1}"	"{""number_change"": 1}"	number_change	λήμψεται	λήμψεται
MG0071	71	1corintios	102	102	3:9	3:9	1corintios-3-9-P01	1corintios-3-9-P01	1	candidate	"{""candidate"": 1}"	"{""number_change"": 1, ""person_change"": 1}"	number_change+person_change	ἐσμεν	ἐσμεν
MG0072	72	1corintios	103	103	3:9	3:9	1corintios-3-9-P02	1corintios-3-9-P02	1	candidate	"{""candidate"": 1}"	"{""person_change"": 1}"	person_change	ἐστε	ἐστε
MG0073	73	1corintios	104	104	3:10	3:10	1corintios-3-10-P01	1corintios-3-10-P01	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	independence_transition+number_change+person_change+subordination_transition	ἔθηκα	ἔθηκα
MG0074	74	1corintios	105	105	3:10	3:10	1corintios-3-10-P02	1corintios-3-10-P02	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	independence_transition+person_change+subordination_transition	ἐποικοδομεῖ	ἐποικοδομεῖ
MG0075	75	1corintios	106	109	3:10	3:11	1corintios-3-10-P03	1corintios-3-11-P02	4	none	"{""none"": 4}"	{}	none	βλεπέτω	ἐστιν
MG0076	76	1corintios	110	111	3:12	3:13	1corintios-3-12-P01	1corintios-3-13-P01	2	candidate	"{""candidate"": 2}"	"{""independence_transition"": 2, ""subordination_transition"": 2}"	independence_transition+subordination_transition	ἐποικοδομεῖ	γενήσεται
MG0077	77	1corintios	112	112	3:13	3:13	1corintios-3-13-P02	1corintios-3-13-P02	1	none	"{""none"": 1}"	{}	none	δηλώσει	δηλώσει
MG0078	78	1corintios	113	114	3:13	3:13	1corintios-3-13-P03	1corintios-3-13-P04	2	candidate	"{""candidate"": 2}"	"{""independence_transition"": 2, ""subordination_transition"": 2}"	independence_transition+subordination_transition	ἀποκαλύπτεται	ἐστιν
MG0079	79	1corintios	115	115	3:13	3:13	1corintios-3-13-P05	1corintios-3-13-P05	1	none	"{""none"": 1}"	{}	none	δοκιμάσει	δοκιμάσει
MG0080	80	1corintios	116	117	3:14	3:14	1corintios-3-14-P01	1corintios-3-14-P02	2	candidate	"{""candidate"": 2}"	"{""independence_transition"": 2, ""subordination_transition"": 2}"	independence_transition+subordination_transition	μενεῖ	ἐποικοδόμησεν
MG0081	81	1corintios	118	118	3:14	3:14	1corintios-3-14-P03	1corintios-3-14-P03	1	none	"{""none"": 1}"	{}	none	λήμψεται	λήμψεται
MG0082	82	1corintios	119	120	3:15	3:15	1corintios-3-15-P01	1corintios-3-15-P02	2	candidate	"{""candidate"": 2}"	"{""independence_transition"": 2, ""subordination_transition"": 2}"	independence_transition+subordination_transition	κατακαήσεται	ζημιωθήσεται
MG0083	83	1corintios	121	121	3:15	3:15	1corintios-3-15-P03	1corintios-3-15-P03	1	none	"{""none"": 1}"	{}	none	σωθήσεται	σωθήσεται
MG0084	84	1corintios	122	122	3:16	3:16	1corintios-3-16-P01	1corintios-3-16-P01	1	candidate	"{""candidate"": 1}"	"{""number_change"": 1, ""person_change"": 1}"	number_change+person_change	οἴδατε	οἴδατε
MG0085	85	1corintios	123	125	3:16	3:17	1corintios-3-16-P02	1corintios-3-17-P01	3	candidate	"{""candidate"": 3}"	"{""independence_transition"": 3, ""subordination_transition"": 3}"	independence_transition+subordination_transition	ἐστε	φθείρει
MG0086	86	1corintios	126	126	3:17	3:17	1corintios-3-17-P02	1corintios-3-17-P02	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	independence_transition+number_change+person_change+subordination_transition	φθερεῖ	φθερεῖ
MG0087	87	1corintios	127	127	3:17	3:17	1corintios-3-17-P03	1corintios-3-17-P03	1	none	"{""none"": 1}"	{}	none	ἐστιν	ἐστιν
MG0088	88	1corintios	128	128	3:17	3:17	1corintios-3-17-P04	1corintios-3-17-P04	1	candidate	"{""candidate"": 1}"	"{""number_change"": 1, ""person_change"": 1}"	number_change+person_change	ἐστε	ἐστε
MG0089	89	1corintios	129	129	3:18	3:18	1corintios-3-18-P01	1corintios-3-18-P01	1	none	"{""none"": 1}"	{}	none	ἐξαπατάτω	ἐξαπατάτω
MG0090	90	1corintios	130	131	3:18	3:18	1corintios-3-18-P02	1corintios-3-18-P03	2	candidate	"{""candidate"": 2}"	"{""independence_transition"": 2, ""subordination_transition"": 2}"	independence_transition+subordination_transition	δοκεῖ	γενέσθω
MG0091	91	1corintios	132	132	3:18	3:18	1corintios-3-18-P04	1corintios-3-18-P04	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	independence_transition+number_change+person_change+subordination_transition	γένηται	γένηται
MG0092	92	1corintios	133	133	3:19	3:19	1corintios-3-19-P01	1corintios-3-19-P01	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	independence_transition+number_change+person_change+subordination_transition	ἐστιν	ἐστιν
MG0093	93	1corintios	134	134	3:19	3:19	1corintios-3-19-P02	1corintios-3-19-P02	1	candidate	"{""candidate"": 1}"	"{""number_change"": 1, ""person_change"": 1}"	number_change+person_change	γέγραπται	γέγραπται
MG0094	94	1corintios	135	135	3:20	3:20	1corintios-3-20-P01	1corintios-3-20-P01	1	none	"{""none"": 1}"	{}	none	γινώσκει	γινώσκει
MG0095	95	1corintios	136	136	3:20	3:20	1corintios-3-20-P02	1corintios-3-20-P02	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""subordination_transition"": 1}"	independence_transition+number_change+subordination_transition	εἰσὶν	εἰσὶν
MG0096	96	1corintios	137	137	3:21	3:21	1corintios-3-21-P01	1corintios-3-21-P01	1	none	"{""none"": 1}"	{}	none	καυχάσθω	καυχάσθω
MG0097	97	1corintios	138	138	3:21	3:21	1corintios-3-21-P02	1corintios-3-21-P02	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""subordination_transition"": 1}"	independence_transition+number_change+subordination_transition	ἐστιν	ἐστιν
MG0098	98	1corintios	139	140	4:1	4:2	1corintios-4-1-P01	1corintios-4-2-P01	2	none	"{""none"": 2}"	{}	none	λογιζέσθω	ζητεῖται
MG0099	99	1corintios	141	142	4:2	4:3	1corintios-4-2-P02	1corintios-4-3-P01	2	candidate	"{""candidate"": 2}"	"{""independence_transition"": 2, ""subordination_transition"": 2}"	independence_transition+subordination_transition	εὑρεθῇ	ἐστιν
MG0100	100	1corintios	143	143	4:3	4:3	1corintios-4-3-P02	1corintios-4-3-P02	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	independence_transition+person_change+subordination_transition	ἀνακριθῶ	ἀνακριθῶ
MG0101	101	1corintios	144	144	4:3	4:3	1corintios-4-3-P03	1corintios-4-3-P03	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	independence_transition+subordination_transition	ἀνακρίνω	ἀνακρίνω
MG0102	102	1corintios	145	147	4:4	4:4	1corintios-4-4-P01	1corintios-4-4-P03	3	none	"{""none"": 3}"	{}	none	σύνοιδα	ἐστιν
MG0103	103	1corintios	148	148	4:5	4:5	1corintios-4-5-P01	1corintios-4-5-P01	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	independence_transition+number_change+person_change+subordination_transition	κρίνετε	κρίνετε
MG0104	104	1corintios	149	149	4:5	4:5	1corintios-4-5-P02	1corintios-4-5-P02	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	independence_transition+number_change+person_change+subordination_transition	ἔλθῃ	ἔλθῃ
MG0105	105	1corintios	150	152	4:5	4:5	1corintios-4-5-P03	1corintios-4-5-P05	3	none	"{""none"": 3}"	{}	none	φωτίσει	γενήσεται
MG0106	106	1corintios	153	153	4:6	4:6	1corintios-4-6-P01	1corintios-4-6-P01	1	candidate	"{""candidate"": 1}"	"{""person_change"": 1}"	person_change	μετεσχημάτισα	μετεσχημάτισα
MG0107	107	1corintios	154	154	4:6	4:6	1corintios-4-6-P02	1corintios-4-6-P02	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	independence_transition+number_change+person_change+subordination_transition	μάθητε	μάθητε
MG0108	108	1corintios	155	155	4:6	4:6	1corintios-4-6-P03	1corintios-4-6-P03	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	independence_transition+number_change+person_change+subordination_transition	γέγραπται	γέγραπται
MG0109	109	1corintios	156	156	4:6	4:6	1corintios-4-6-P04	1corintios-4-6-P04	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	independence_transition+number_change+person_change+subordination_transition	φυσιοῦσθε	φυσιοῦσθε
MG0110	110	1corintios	157	157	4:7	4:7	1corintios-4-7-P01	1corintios-4-7-P01	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	independence_transition+number_change+person_change+subordination_transition	διακρίνει	διακρίνει
MG0111	111	1corintios	158	158	4:7	4:7	1corintios-4-7-P02	1corintios-4-7-P02	1	candidate	"{""candidate"": 1}"	"{""person_change"": 1}"	person_change	ἔχεις	ἔχεις
MG0112	112	1corintios	159	159	4:7	4:7	1corintios-4-7-P03	1corintios-4-7-P03	1	none	"{""none"": 1}"	{}	none	ἔλαβες	ἔλαβες
MG0113	113	1corintios	160	161	4:7	4:7	1corintios-4-7-P04	1corintios-4-7-P05	2	candidate	"{""candidate"": 2}"	"{""independence_transition"": 2, ""subordination_transition"": 2}"	independence_transition+subordination_transition	ἔλαβες	καυχᾶσαι
MG0114	114	1corintios	162	162	4:8	4:8	1corintios-4-8-P01	1corintios-4-8-P01	1	candidate	"{""candidate"": 1}"	"{""number_change"": 1}"	number_change	ἐστέ	ἐστέ
MG0115	115	1corintios	163	165	4:8	4:8	1corintios-4-8-P02	1corintios-4-8-P04	3	none	"{""none"": 3}"	{}	none	ἐπλουτήσατε	ἐβασιλεύσατε
MG0116	116	1corintios	166	166	4:8	4:8	1corintios-4-8-P05	1corintios-4-8-P05	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	independence_transition+person_change+subordination_transition	συμβασιλεύσωμεν	συμβασιλεύσωμεν
MG0117	117	1corintios	167	167	4:9	4:9	1corintios-4-9-P01	1corintios-4-9-P01	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""subordination_transition"": 1}"	independence_transition+number_change+subordination_transition	δοκῶ	δοκῶ
MG0118	118	1corintios	168	168	4:9	4:9	1corintios-4-9-P02	1corintios-4-9-P02	1	none	"{""none"": 1}"	{}	none	ἀπέδειξεν	ἀπέδειξεν
MG0119	119	1corintios	169	169	4:9	4:9	1corintios-4-9-P03	1corintios-4-9-P03	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""subordination_transition"": 1}"	independence_transition+number_change+subordination_transition	ἐγενήθημεν	ἐγενήθημεν
