stream_index	book	chapter	verse	predication_id	previous_predication_id	finite_verb	finite_compact	subject_person	subject_number	subject_refinement_status	subject_refinement_source	continuity_status	continuity_source	independence_status	subordination_status	movement_status	movement_reason_count	movement_reasons
47	1corintios	1	30	1corintios-1-30-P01	1corintios-1-29-P01	ἐστε	V-PAI-2P	2	P	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	candidate	not_detected	strong	5	"[""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""]"
48	1corintios	1	30	1corintios-1-30-P02	1corintios-1-30-P01	ἐγενήθη	V-API-3S	3	S	finite_morphology_fallback	finite_compact_person_number	shift	existing_continuity_status	candidate	not_detected	strong	3	"[""number_change"", ""person_change"", ""subject_shift""]"
49	1corintios	1	31	1corintios-1-31-P01	1corintios-1-30-P02	γέγραπται	V-XPI-3S	3	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	unresolved	candidate	candidate	2	"[""independence_transition"", ""subordination_transition""]"
50	1corintios	1	31	1corintios-1-31-P02	1corintios-1-31-P01	καυχάσθω	V-PMD-3S	3	S	finite_morphology_fallback	finite_compact_person_number	same	existing_continuity_status	candidate	not_detected	candidate	2	"[""independence_transition"", ""subordination_transition""]"
51	1corintios	2	1	1corintios-2-1-P01	1corintios-1-31-P02	ἦλθον	V-AAI-1S	1	S	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	candidate	not_detected	candidate	2	"[""person_change"", ""subject_shift""]"
52	1corintios	2	2	1corintios-2-2-P01	1corintios-2-1-P01	ἔκρινά	V-AAI-1S	1	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]
53	1corintios	2	3	1corintios-2-3-P01	1corintios-2-2-P01	ἐγενόμην	V-AMI-1S	1	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]
54	1corintios	2	5	1corintios-2-5-P01	1corintios-2-3-P01	ᾖ	V-PAS-3S	3	S	finite_morphology_fallback	finite_compact_person_number	shift	existing_continuity_status	unresolved	candidate	strong	4	"[""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""]"
55	1corintios	2	6	1corintios-2-6-P01	1corintios-2-5-P01	λαλοῦμεν	V-PAI-1P	1	P	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	candidate	not_detected	strong	5	"[""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""]"
56	1corintios	2	7	1corintios-2-7-P01	1corintios-2-6-P01	λαλοῦμεν	V-PAI-1P	1	P	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]
57	1corintios	2	7	1corintios-2-7-P02	1corintios-2-7-P01	προώρισεν	V-AAI-3S	3	S	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	candidate	not_detected	strong	3	"[""number_change"", ""person_change"", ""subject_shift""]"
58	1corintios	2	8	1corintios-2-8-P01	1corintios-2-7-P02	ἔγνωκεν	V-XAI-3S	3	S	finite_morphology_fallback	finite_compact_person_number	same	existing_continuity_status	candidate	not_detected	none	0	[]
59	1corintios	2	8	1corintios-2-8-P02	1corintios-2-8-P01	ἔγνωσαν	V-AAI-3P	3	P	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	unresolved	candidate	strong	4	"[""independence_transition"", ""number_change"", ""subject_shift"", ""subordination_transition""]"
60	1corintios	2	8	1corintios-2-8-P03	1corintios-2-8-P02	ἐσταύρωσαν	V-AAI-3P	3	P	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	candidate	2	"[""independence_transition"", ""subordination_transition""]"
61	1corintios	2	9	1corintios-2-9-P01	1corintios-2-8-P03	γέγραπται	V-XPI-3S	3	S	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	unresolved	candidate	strong	4	"[""independence_transition"", ""number_change"", ""subject_shift"", ""subordination_transition""]"
62	1corintios	2	9	1corintios-2-9-P02	1corintios-2-9-P01	εἶδεν	V-AAI-3S	3	S	finite_morphology_fallback	finite_compact_person_number	same	existing_continuity_status	candidate	not_detected	candidate	2	"[""independence_transition"", ""subordination_transition""]"
63	1corintios	2	9	1corintios-2-9-P03	1corintios-2-9-P02	ἤκουσεν	V-AAI-3S	3	S	finite_morphology_fallback	finite_compact_person_number	same	existing_continuity_status	candidate	not_detected	none	0	[]
64	1corintios	2	9	1corintios-2-9-P04	1corintios-2-9-P03	ἀνέβη	V-AAI-3S	3	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]
65	1corintios	2	9	1corintios-2-9-P05	1corintios-2-9-P04	ἡτοίμασεν	V-AAI-3S	3	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]
66	1corintios	2	10	1corintios-2-10-P01	1corintios-2-9-P05	ἀπεκάλυψεν	V-AAI-3S	3	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]
67	1corintios	2	10	1corintios-2-10-P02	1corintios-2-10-P01	ἐραυνᾷ	V-PAI-3S	3	S	finite_morphology_fallback	finite_compact_person_number	same	existing_continuity_status	candidate	not_detected	none	0	[]
68	1corintios	2	11	1corintios-2-11-P01	1corintios-2-10-P02	οἶδεν	V-XAI-3S	3	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]
69	1corintios	2	11	1corintios-2-11-P02	1corintios-2-11-P01	ἔγνωκεν	V-XAI-3S	3	S	finite_morphology_fallback	finite_compact_person_number	same	existing_continuity_status	unresolved	candidate	candidate	2	"[""independence_transition"", ""subordination_transition""]"
70	1corintios	2	12	1corintios-2-12-P01	1corintios-2-11-P02	ἐλάβομεν	V-AAI-1P	1	P	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	candidate	not_detected	strong	5	"[""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""]"
71	1corintios	2	12	1corintios-2-12-P02	1corintios-2-12-P01	εἰδῶμεν	V-XAS-1P	1	P	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	unresolved	candidate	candidate	2	"[""independence_transition"", ""subordination_transition""]"
72	1corintios	2	13	1corintios-2-13-P01	1corintios-2-12-P02	λαλοῦμεν	V-PAI-1P	1	P	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	candidate	2	"[""independence_transition"", ""subordination_transition""]"
73	1corintios	2	14	1corintios-2-14-P01	1corintios-2-13-P01	δέχεται	V-PMI-3S	3	S	finite_morphology_fallback	finite_compact_person_number	shift	existing_continuity_status	candidate	not_detected	strong	3	"[""number_change"", ""person_change"", ""subject_shift""]"
74	1corintios	2	14	1corintios-2-14-P02	1corintios-2-14-P01	ἐστίν	V-PAI-3S	3	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]
75	1corintios	2	14	1corintios-2-14-P03	1corintios-2-14-P02	δύναται	V-PMI-3S	3	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]
76	1corintios	2	14	1corintios-2-14-P04	1corintios-2-14-P03	ἀνακρίνεται	V-PPI-3S	3	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	unresolved	candidate	candidate	2	"[""independence_transition"", ""subordination_transition""]"
77	1corintios	2	15	1corintios-2-15-P01	1corintios-2-14-P04	ἀνακρίνει	V-PAI-3S	3	S	finite_morphology_fallback	finite_compact_person_number	same	existing_continuity_status	candidate	not_detected	candidate	2	"[""independence_transition"", ""subordination_transition""]"
78	1corintios	2	15	1corintios-2-15-P02	1corintios-2-15-P01	ἀνακρίνεται	V-PPI-3S	3	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]
79	1corintios	2	16	1corintios-2-16-P01	1corintios-2-15-P02	ἔγνω	V-AAI-3S	3	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]
80	1corintios	2	16	1corintios-2-16-P02	1corintios-2-16-P01	συμβιβάσει	V-FAI-3S	3	S	finite_morphology_fallback	finite_compact_person_number	same	existing_continuity_status	candidate	not_detected	none	0	[]
81	1corintios	2	16	1corintios-2-16-P03	1corintios-2-16-P02	ἔχομεν	V-PAI-1P	1	P	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	candidate	not_detected	strong	3	"[""number_change"", ""person_change"", ""subject_shift""]"
82	1corintios	3	1	1corintios-3-1-P01	1corintios-2-16-P03	ἠδυνήθην	V-API-1S	1	S	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	candidate	not_detected	candidate	2	"[""number_change"", ""subject_shift""]"
83	1corintios	3	2	1corintios-3-2-P01	1corintios-3-1-P01	ἐπότισα	V-AAI-1S	1	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]
84	1corintios	3	2	1corintios-3-2-P02	1corintios-3-2-P01	ἐδύνασθε	V-IMI-2P	2	P	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	candidate	not_detected	strong	3	"[""number_change"", ""person_change"", ""subject_shift""]"
85	1corintios	3	2	1corintios-3-2-P03	1corintios-3-2-P02	δύνασθε	V-PMI-2P	2	P	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]
86	1corintios	3	3	1corintios-3-3-P01	1corintios-3-2-P03	ἐστε	V-PAI-2P	2	P	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]
87	1corintios	3	3	1corintios-3-3-P02	1corintios-3-3-P01	ἐστε	V-PAI-2P	2	P	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]
88	1corintios	3	3	1corintios-3-3-P03	1corintios-3-3-P02	περιπατεῖτε	V-PAI-2P	2	P	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]
89	1corintios	3	4	1corintios-3-4-P01	1corintios-3-3-P03	λέγῃ	V-PAS-3S	3	S	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	unresolved	candidate	strong	5	"[""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""]"
90	1corintios	3	4	1corintios-3-4-P02	1corintios-3-4-P01	εἰμι	V-PAI-1S	1	S	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	candidate	not_detected	strong	4	"[""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""]"
91	1corintios	3	4	1corintios-3-4-P03	1corintios-3-4-P02	ἐστε	V-PAI-2P	2	P	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	candidate	not_detected	strong	3	"[""number_change"", ""person_change"", ""subject_shift""]"
92	1corintios	3	5	1corintios-3-5-P01	1corintios-3-4-P03	ἐστιν	V-PAI-3S	3	S	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	candidate	not_detected	strong	3	"[""number_change"", ""person_change"", ""subject_shift""]"
93	1corintios	3	5	1corintios-3-5-P02	1corintios-3-5-P01	ἐστιν	V-PAI-3S	3	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]
94	1corintios	3	5	1corintios-3-5-P03	1corintios-3-5-P02	ἐπιστεύσατε	V-AAI-2P	2	P	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	candidate	not_detected	strong	3	"[""number_change"", ""person_change"", ""subject_shift""]"
95	1corintios	3	5	1corintios-3-5-P04	1corintios-3-5-P03	ἔδωκεν	V-AAI-3S	3	S	finite_morphology_fallback	finite_compact_person_number	shift	existing_continuity_status	unresolved	candidate	strong	5	"[""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""]"
96	1corintios	3	6	1corintios-3-6-P01	1corintios-3-5-P04	ἐφύτευσα	V-AAI-1S	1	S	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	candidate	not_detected	strong	4	"[""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""]"
97	1corintios	3	6	1corintios-3-6-P02	1corintios-3-6-P01	ἐπότισεν	V-AAI-3S	3	S	finite_morphology_fallback	finite_compact_person_number	shift	existing_continuity_status	candidate	not_detected	candidate	2	"[""person_change"", ""subject_shift""]"
98	1corintios	3	6	1corintios-3-6-P03	1corintios-3-6-P02	ηὔξανεν	V-IAI-3S	3	S	finite_morphology_fallback	finite_compact_person_number	same	existing_continuity_status	candidate	not_detected	none	0	[]
99	1corintios	3	7	1corintios-3-7-P01	1corintios-3-6-P03	ἐστίν	V-PAI-3S	3	S	finite_morphology_fallback	finite_compact_person_number	same	existing_continuity_status	unresolved	candidate	candidate	2	"[""independence_transition"", ""subordination_transition""]"
100	1corintios	3	8	1corintios-3-8-P01	1corintios-3-7-P01	εἰσιν	V-PAI-3P	3	P	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	candidate	not_detected	strong	4	"[""independence_transition"", ""number_change"", ""subject_shift"", ""subordination_transition""]"
101	1corintios	3	8	1corintios-3-8-P02	1corintios-3-8-P01	λήμψεται	V-FMI-3S	3	S	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	candidate	not_detected	candidate	2	"[""number_change"", ""subject_shift""]"
102	1corintios	3	9	1corintios-3-9-P01	1corintios-3-8-P02	ἐσμεν	V-PAI-1P	1	P	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	candidate	not_detected	strong	3	"[""number_change"", ""person_change"", ""subject_shift""]"
103	1corintios	3	9	1corintios-3-9-P02	1corintios-3-9-P01	ἐστε	V-PAI-2P	2	P	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	candidate	not_detected	candidate	2	"[""person_change"", ""subject_shift""]"
104	1corintios	3	10	1corintios-3-10-P01	1corintios-3-9-P02	ἔθηκα	V-AAI-1S	1	S	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	unresolved	candidate	strong	5	"[""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""]"
105	1corintios	3	10	1corintios-3-10-P02	1corintios-3-10-P01	ἐποικοδομεῖ	V-PAI-3S	3	S	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	candidate	not_detected	strong	4	"[""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""]"
106	1corintios	3	10	1corintios-3-10-P03	1corintios-3-10-P02	βλεπέτω	V-PAD-3S	3	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]
107	1corintios	3	10	1corintios-3-10-P04	1corintios-3-10-P03	ἐποικοδομεῖ	V-PAI-3S	3	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]
108	1corintios	3	11	1corintios-3-11-P01	1corintios-3-10-P04	δύναται	V-PMI-3S	3	S	finite_morphology_fallback	finite_compact_person_number	same	existing_continuity_status	candidate	not_detected	none	0	[]
109	1corintios	3	11	1corintios-3-11-P02	1corintios-3-11-P01	ἐστιν	V-PAI-3S	3	S	finite_morphology_fallback	finite_compact_person_number	same	existing_continuity_status	candidate	not_detected	none	0	[]
110	1corintios	3	12	1corintios-3-12-P01	1corintios-3-11-P02	ἐποικοδομεῖ	V-PAI-3S	3	S	finite_morphology_fallback	finite_compact_person_number	same	existing_continuity_status	unresolved	candidate	candidate	2	"[""independence_transition"", ""subordination_transition""]"
111	1corintios	3	13	1corintios-3-13-P01	1corintios-3-12-P01	γενήσεται	V-FMI-3S	3	S	finite_morphology_fallback	finite_compact_person_number	same	existing_continuity_status	candidate	not_detected	candidate	2	"[""independence_transition"", ""subordination_transition""]"
