book	chapter	continuity_source	continuity_status	finite_compact	finite_verb	independence_status	movement_reason_count	movement_reasons	movement_status	predication_id	previous_predication_id	stream_index	subject_number	subject_person	subject_refinement_source	subject_refinement_status	subordination_status	verse	continuity_status_refined	continuity_refinement
1corintios	1	existing_continuity_status	same	V-XPI-3S	γέγραπται	unresolved	2	"[""independence_transition"", ""subordination_transition""]"	candidate	1corintios-1-31-P01	1corintios-1-30-P02	49	S	3	finite_verb_morphology	explicit_or_morphological	candidate	31	same	none
1corintios	1	existing_continuity_status	same	V-PMD-3S	καυχάσθω	candidate	2	"[""independence_transition"", ""subordination_transition""]"	candidate	1corintios-1-31-P02	1corintios-1-31-P01	50	S	3	finite_compact_person_number	finite_morphology_fallback	not_detected	31	same	none
1corintios	2	existing_continuity_status	shift	V-AAI-1S	ἦλθον	candidate	2	"[""person_change"", ""subject_shift""]"	candidate	1corintios-2-1-P01	1corintios-1-31-P02	51	S	1	finite_verb_morphology	explicit_or_morphological	not_detected	1	shift	none
1corintios	2	existing_continuity_status	same	V-AAI-1S	ἔκρινά	candidate	0	[]	none	1corintios-2-2-P01	1corintios-2-1-P01	52	S	1	finite_verb_morphology	explicit_or_morphological	not_detected	2	same	none
1corintios	2	existing_continuity_status	same	V-AMI-1S	ἐγενόμην	candidate	0	[]	none	1corintios-2-3-P01	1corintios-2-2-P01	53	S	1	finite_verb_morphology	explicit_or_morphological	not_detected	3	same	none
1corintios	2	existing_continuity_status	shift	V-PAS-3S	ᾖ	unresolved	4	"[""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""]"	strong	1corintios-2-5-P01	1corintios-2-3-P01	54	S	3	finite_compact_person_number	finite_morphology_fallback	candidate	5	shift	none
1corintios	2	existing_continuity_status	shift	V-PAI-1P	λαλοῦμεν	candidate	5	"[""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""]"	strong	1corintios-2-6-P01	1corintios-2-5-P01	55	P	1	finite_verb_morphology	explicit_or_morphological	not_detected	6	shift	none
1corintios	2	existing_continuity_status	same	V-PAI-1P	λαλοῦμεν	candidate	0	[]	none	1corintios-2-7-P01	1corintios-2-6-P01	56	P	1	finite_verb_morphology	explicit_or_morphological	not_detected	7	same	none
1corintios	2	existing_continuity_status	shift	V-AAI-3S	προώρισεν	candidate	3	"[""number_change"", ""person_change"", ""subject_shift""]"	strong	1corintios-2-7-P02	1corintios-2-7-P01	57	S	3	finite_verb_morphology	explicit_or_morphological	not_detected	7	shift	none
1corintios	2	existing_continuity_status	same	V-XAI-3S	ἔγνωκεν	candidate	0	[]	none	1corintios-2-8-P01	1corintios-2-7-P02	58	S	3	finite_compact_person_number	finite_morphology_fallback	not_detected	8	same	none
1corintios	2	existing_continuity_status	shift	V-AAI-3P	ἔγνωσαν	unresolved	4	"[""independence_transition"", ""number_change"", ""subject_shift"", ""subordination_transition""]"	strong	1corintios-2-8-P02	1corintios-2-8-P01	59	P	3	finite_verb_morphology	explicit_or_morphological	candidate	8	shift	none
1corintios	2	existing_continuity_status	same	V-AAI-3P	ἐσταύρωσαν	candidate	2	"[""independence_transition"", ""subordination_transition""]"	candidate	1corintios-2-8-P03	1corintios-2-8-P02	60	P	3	finite_verb_morphology	explicit_or_morphological	not_detected	8	same	none
1corintios	2	existing_continuity_status	shift	V-XPI-3S	γέγραπται	unresolved	4	"[""independence_transition"", ""number_change"", ""subject_shift"", ""subordination_transition""]"	strong	1corintios-2-9-P01	1corintios-2-8-P03	61	S	3	finite_verb_morphology	explicit_or_morphological	candidate	9	shift	none
1corintios	2	existing_continuity_status	same	V-AAI-3S	εἶδεν	candidate	2	"[""independence_transition"", ""subordination_transition""]"	candidate	1corintios-2-9-P02	1corintios-2-9-P01	62	S	3	finite_compact_person_number	finite_morphology_fallback	not_detected	9	same	none
1corintios	2	existing_continuity_status	same	V-AAI-3S	ἤκουσεν	candidate	0	[]	none	1corintios-2-9-P03	1corintios-2-9-P02	63	S	3	finite_compact_person_number	finite_morphology_fallback	not_detected	9	same	none
1corintios	2	existing_continuity_status	same	V-AAI-3S	ἀνέβη	candidate	0	[]	none	1corintios-2-9-P04	1corintios-2-9-P03	64	S	3	finite_verb_morphology	explicit_or_morphological	not_detected	9	same	none
