book	end_reference	end_stream_index	first_finite_verb	first_predication_id	group_index	last_finite_verb	last_predication_id	movement_class_counts	movement_status_counts	record_count	start_reference	start_stream_index	structural_regime_id	total_structural_weight	merged_regimes	merged_regime_id
1corintios	4:3	142	λογιζέσθω	1corintios-4-1-P01	61	ἐστιν	1corintios-4-3-P01	"{""stable"": 2, ""turbulence"": 2}"	"{""candidate"": 2, ""none"": 2}"	4	4:1	139	SR0061	4		SMR0016
1corintios	4:5	148	ἀνακριθῶ	1corintios-4-3-P02	62	κρίνετε	1corintios-4-5-P01	"{""stable"": 2, ""structural"": 1, ""turbulence"": 1}"	"{""candidate"": 1, ""none"": 2, ""strong"": 1}"	6	4:3	143	SR0062	20	['SR0063', 'SR0064']	SMR0017
1corintios	4:7	157	ἔλθῃ	1corintios-4-5-P02	65	διακρίνει	1corintios-4-7-P01	"{""stable"": 3, ""structural"": 1}"	"{""none"": 3, ""strong"": 1}"	9	4:5	149	SR0065	44	['SR0066', 'SR0067', 'SR0068', 'SR0069', 'SR0070']	SMR0018
1corintios	4:7	161	ἔχεις	1corintios-4-7-P02	71	καυχᾶσαι	1corintios-4-7-P05	"{""stable"": 1, ""structural"": 1, ""turbulence"": 2}"	"{""candidate"": 3, ""none"": 1}"	4	4:7	158	SR0071	8		SMR0019
1corintios	4:9	168	ἐστέ	1corintios-4-8-P01	72	ἀπέδειξεν	1corintios-4-9-P02	"{""stable"": 3, ""structural"": 1}"	"{""candidate"": 1, ""none"": 3}"	7	4:8	162	SR0072	20	['SR0073', 'SR0074', 'SR0075']	SMR0020
1corintios	5:6	202	ἐγενήθημεν	1corintios-4-9-P03	76	ζυμοῖ	1corintios-5-6-P02	"{""stable"": 8, ""structural"": 1, ""turbulence"": 2}"	"{""candidate"": 2, ""none"": 8, ""strong"": 1}"	34	4:9	169	SR0076	140	['SR0077', 'SR0078', 'SR0079', 'SR0080', 'SR0081', 'SR0082', 'SR0083', 'SR0084', 'SR0085', 'SR0086', 'SR0087', 'SR0088', 'SR0089', 'SR0090', 'SR0091', 'SR0092', 'SR0093', 'SR0094', 'SR0095', 'SR0096']	SMR0021
1corintios	6:5	224	ἐκκαθάρατε	1corintios-5-7-P01	97	λέγω	1corintios-6-5-P01	"{""stable"": 1, ""structural"": 1, ""turbulence"": 1}"	"{""candidate"": 1, ""none"": 1, ""strong"": 1}"	22	5:7	203	SR0097	122	['SR0098', 'SR0099', 'SR0100', 'SR0101', 'SR0102', 'SR0103', 'SR0104', 'SR0105', 'SR0106', 'SR0107', 'SR0108', 'SR0109', 'SR0110', 'SR0111', 'SR0112', 'SR0113', 'SR0114']	SMR0022
1corintios	6:7	228	ἔνι	1corintios-6-5-P02	115	ἐστιν	1corintios-6-7-P01	"{""stable"": 3, ""structural"": 1}"	"{""candidate"": 1, ""none"": 3}"	4	6:5	225	SR0115	4		SMR0023
1corintios	6:10	237	ἔχετε	1corintios-6-7-P02	116	κληρονομήσουσιν	1corintios-6-10-P01	"{""stable"": 4, ""structural"": 1, ""turbulence"": 1}"	"{""candidate"": 1, ""none"": 4, ""strong"": 1}"	9	6:7	229	SR0116	26	['SR0117', 'SR0118', 'SR0119']	SMR0024
1corintios	6:11	241	ἦτε	1corintios-6-11-P01	120	ἐδικαιώθητε	1corintios-6-11-P04	"{""stable"": 3, ""structural"": 1}"	"{""candidate"": 1, ""none"": 3}"	4	6:11	238	SR0120	4		SMR0025
1corintios	6:12	245	ἔξεστιν	1corintios-6-12-P01	121	ἐξουσιασθήσομαι	1corintios-6-12-P04	"{""stable"": 2, ""structural"": 1}"	"{""none"": 2, ""strong"": 1}"	4	6:12	242	SR0121	10	['SR0122']	SMR0026
