structural_signature_id	source_regime_id	merged_regime_id	book	start_stream_index	end_stream_index	start_reference	end_reference	record_count	total_structural_weight	max_structural_weight	weight_per_record	structural_density	turbulence_density	stable_density	continuity_same_density	continuity_shift_density	continuity_unresolved_density	continuity_initial_density	dominant_movement_class	dominant_movement_status	dominant_continuity_status	dominant_subject_profile	movement_class_counts	movement_status_counts	continuity_counts	subject_profile_counts	signature_code
SMR0030	SR0108	SMR0030	1corintios	262	267	6:19	6:20	6	8	4	1.3333	0.1667	0.3333	0.5	0.0	0.0	1.0	0.0	stable	candidate	unresolved	2P	"{""stable"": 3, ""structural"": 1, ""turbulence"": 2}"	"{""candidate"": 3, ""none"": 3}"	"{""unresolved"": 6}"	"{""--"": 1, ""2P"": 5}"	structural=low|turbulence=medium|stable=high|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=medium
SMR0031	SR0109	SMR0031	1corintios	268	281	7:1	7:8	14	22	6	1.5714	0.2857	0.1429	0.5714	0.0	0.0	1.0	0.0	stable	none	unresolved	2P	"{""stable"": 8, ""structural"": 4, ""turbulence"": 2}"	"{""candidate"": 2, ""none"": 8, ""strong"": 4}"	"{""unresolved"": 14}"	"{""1S"": 3, ""2P"": 9, ""3S"": 2}"	structural=medium|turbulence=low|stable=high|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=medium
SMR0032	SR0114	SMR0032	1corintios	282	286	7:8	7:10	5	12	6	2.4	0.6	0.2	0.2	0.0	0.0	1.0	0.0	structural	candidate	unresolved	3P	"{""stable"": 1, ""structural"": 3, ""turbulence"": 1}"	"{""candidate"": 3, ""none"": 1, ""strong"": 1}"	"{""unresolved"": 5}"	"{""1S"": 1, ""3P"": 3, ""3S"": 1}"	structural=high|turbulence=low|stable=low|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=high
SMR0033	SR0117	SMR0033	1corintios	287	289	7:11	7:11	3	6	4	2.0	0.3333	0.3333	0.3333	0.0	0.0	1.0	0.0	structural	strong	unresolved	3S	"{""stable"": 1, ""structural"": 1, ""turbulence"": 1}"	"{""candidate"": 1, ""none"": 1, ""strong"": 1}"	"{""unresolved"": 3}"	"{""3S"": 3}"	structural=medium|turbulence=medium|stable=medium|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=high
SMR0034	SR0118	SMR0034	1corintios	290	322	7:12	7:21	33	38	2	1.1515	0.2121	0.3636	0.4242	0.0	0.0	1.0	0.0	stable	candidate	unresolved	3S	"{""stable"": 14, ""structural"": 7, ""turbulence"": 12}"	"{""candidate"": 19, ""none"": 14}"	"{""unresolved"": 33}"	"{""--"": 5, ""1S"": 4, ""2S"": 5, ""3S"": 19}"	structural=low|turbulence=medium|stable=medium|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=medium
SMR0035	SR0121	SMR0035	1corintios	323	326	7:21	7:22	4	6	4	1.5	0.25	0.25	0.5	0.0	0.0	1.0	0.0	stable	none	unresolved	2S	"{""stable"": 2, ""structural"": 1, ""turbulence"": 1}"	"{""candidate"": 1, ""none"": 2, ""strong"": 1}"	"{""unresolved"": 4}"	"{""2S"": 4}"	structural=medium|turbulence=medium|stable=high|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=medium
SMR0036	SR0122	SMR0036	1corintios	327	330	7:23	7:24	4	6	4	1.5	0.5	0.0	0.5	0.0	0.0	1.0	0.0	structural	candidate	unresolved	2P	"{""stable"": 2, ""structural"": 2}"	"{""candidate"": 2, ""none"": 2}"	"{""unresolved"": 4}"	"{""2P"": 3, ""3S"": 1}"	structural=high|turbulence=none|stable=high|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=medium
SMR0037	SR0124	SMR0037	1corintios	331	333	7:25	7:26	3	2	2	0.6667	0.3333	0.0	0.6667	0.0	0.0	1.0	0.0	stable	none	unresolved	1S	"{""stable"": 2, ""structural"": 1}"	"{""candidate"": 1, ""none"": 2}"	"{""unresolved"": 3}"	"{""1S"": 3}"	structural=medium|turbulence=none|stable=high|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=low
SMR0038	SR0125	SMR0038	1corintios	334	342	7:27	7:28	9	18	4	2.0	0.4444	0.2222	0.3333	0.0	0.0	1.0	0.0	structural	candidate	unresolved	2S	"{""stable"": 3, ""structural"": 4, ""turbulence"": 2}"	"{""candidate"": 4, ""none"": 3, ""strong"": 2}"	"{""unresolved"": 9}"	"{""2S"": 7, ""3P"": 1, ""3S"": 1}"	structural=medium|turbulence=low|stable=medium|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=high
SMR0039	SR0129	SMR0039	1corintios	343	349	7:28	7:32	7	10	4	1.4286	0.2857	0.1429	0.5714	0.0	0.0	1.0	0.0	stable	none	unresolved	1S	"{""stable"": 4, ""structural"": 2, ""turbulence"": 1}"	"{""candidate"": 2, ""none"": 4, ""strong"": 1}"	"{""unresolved"": 7}"	"{""--"": 1, ""1S"": 5, ""3S"": 1}"	structural=medium|turbulence=low|stable=high|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=medium
SMR0040	SR0131	SMR0040	1corintios	350	380	7:32	7:40	31	32	4	1.0323	0.1935	0.2903	0.5161	0.0	0.0	1.0	0.0	stable	none	unresolved	3S	"{""stable"": 16, ""structural"": 6, ""turbulence"": 9}"	"{""candidate"": 14, ""none"": 16, ""strong"": 1}"	"{""unresolved"": 31}"	"{""--"": 1, ""1S"": 4, ""3P"": 1, ""3S"": 25}"	structural=low|turbulence=medium|stable=high|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=medium
SMR0041	SR0133	SMR0041	1corintios	381	385	8:1	8:2	5	8	2	1.6	0.2	0.6	0.2	0.0	0.0	1.0	0.0	turbulence	candidate	unresolved	1P	"{""stable"": 1, ""structural"": 1, ""turbulence"": 3}"	"{""candidate"": 4, ""none"": 1}"	"{""unresolved"": 5}"	"{""1P"": 5}"	structural=low|turbulence=high|stable=low|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=medium
SMR0042	SR0134	SMR0042	1corintios	386	390	8:2	8:4	5	14	6	2.8	0.4	0.4	0.2	0.0	0.0	1.0	0.0	structural	candidate	unresolved	3S	"{""stable"": 1, ""structural"": 2, ""turbulence"": 2}"	"{""candidate"": 3, ""none"": 1, ""strong"": 1}"	"{""unresolved"": 5}"	"{""1P"": 1, ""3S"": 4}"	structural=medium|turbulence=medium|stable=low|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=high
SMR0043	SR0136	SMR0043	1corintios	391	395	8:5	8:8	5	8	2	1.6	0.4	0.4	0.2	0.0	0.0	1.0	0.0	structural	candidate	unresolved	3P	"{""stable"": 1, ""structural"": 2, ""turbulence"": 2}"	"{""candidate"": 4, ""none"": 1}"	"{""unresolved"": 5}"	"{""3P"": 4, ""3S"": 1}"	structural=medium|turbulence=medium|stable=low|continuity_same=none|continuity_shift=none|continuity_unresolved=very_high|weight=medium
