calibrated_window_id	book	window_index	start_ref	end_ref	start_stream_index	end_stream_index	predication_count	raw_band	calibrated_band	calibration_reason	band_changed	dominant_field	dominant_tendency	state_counts	label_counts	label_dominance_ratio	persistence_total	transition_total	extension_total	weakening_total	pressure_delta	smoothed_band	smoothing_changed	smoothing_neighborhood
CMW00035	1corintios	35	8:13	9:6	409	420	12	mixed_continuity	mixed_continuity	default_mixed	False	stable	EXPONE	"{""stable"": 7, ""transitioning"": 2, ""unstable"": 3}"	"{""ACLARA"": 5, ""CONDICIÓN"": 1, ""EXPONE"": 7, ""PROPÓSITO"": 1}"	0.5	25	26	17	16	1	mixed_continuity	False	"[""CMW00034"", ""CMW00035"", ""CMW00036""]"
CMW00036	1corintios	36	9:7	9:10	421	432	12	mixed_continuity	mixed_continuity	default_mixed	False	stable	EXPONE	"{""stable"": 7, ""transitioning"": 3, ""unstable"": 2}"	"{""ACLARA"": 5, ""EXPONE"": 7}"	0.5833	27	24	17	14	-3	mixed_continuity	False	"[""CMW00035"", ""CMW00036"", ""CMW00037""]"
CMW00037	1corintios	37	9:10	9:15	433	444	12	mixed_continuity	mixed_continuity	default_mixed	False	stable	ACLARA	"{""recovering"": 1, ""stable"": 5, ""transitioning"": 3, ""unstable"": 3}"	"{""ACLARA"": 8, ""CONDICIÓN"": 3, ""EXPONE"": 5, ""PROPÓSITO"": 1, ""RAZÓN"": 2}"	0.4211	21	32	16	19	11	mixed_continuity	False	"[""CMW00036"", ""CMW00037"", ""CMW00038""]"
CMW00038	1corintios	38	9:15	9:18	445	456	12	movement_accumulation	mixed_continuity	default_mixed	True	stable	EXPONE	"{""stable"": 7, ""transitioning"": 4, ""unstable"": 1}"	"{""ACLARA"": 5, ""CONDICIÓN"": 4, ""EXPONE"": 7, ""PROPÓSITO"": 1}"	0.4118	29	22	22	12	-7	mixed_continuity	False	"[""CMW00037"", ""CMW00038"", ""CMW00039""]"
CMW00039	1corintios	39	9:18	9:23	457	468	12	extended_stable_field	extended_stable_field	stable_ratio_threshold	False	stable	EXPONE	"{""stable"": 11, ""transitioning"": 1}"	"{""ACLARA"": 4, ""EXPONE"": 11, ""PROPÓSITO"": 7}"	0.5	35	4	23	2	-31	mixed_continuity	True	"[""CMW00038"", ""CMW00039"", ""CMW00040""]"
CMW00040	1corintios	40	9:23	9:27	469	480	12	transition_cluster	mixed_continuity	default_mixed	True	stable	ACLARA	"{""recovering"": 2, ""stable"": 5, ""transitioning"": 1, ""unstable"": 4}"	"{""ACLARA"": 8, ""EXPONE"": 5, ""PROPÓSITO"": 3, ""RAZÓN"": 1}"	0.4706	17	32	11	20	15	extended_stable_field	True	"[""CMW00039"", ""CMW00040"", ""CMW00041""]"
CMW00041	1corintios	41	9:27	10:6	481	492	12	extended_stable_field	extended_stable_field	stable_ratio_threshold	False	stable	EXPONE	"{""recovering"": 2, ""stable"": 9, ""transitioning"": 1}"	"{""ACLARA"": 4, ""EXPONE"": 9, ""RAZÓN"": 1}"	0.6429	29	8	19	4	-21	mixed_continuity	True	"[""CMW00040"", ""CMW00041"", ""CMW00042""]"
CMW00042	1corintios	42	10:6	10:10	493	504	12	transition_cluster	transition_cluster	unstable_ratio_pressure	False	unstable	ACLARA	"{""recovering"": 1, ""stable"": 4, ""unstable"": 7}"	"{""ACLARA"": 11, ""EXPONE"": 4}"	0.7333	12	44	8	29	32	extended_stable_field	True	"[""CMW00041"", ""CMW00042"", ""CMW00043""]"
CMW00043	1corintios	43	10:10	10:14	505	516	12	mixed_continuity	mixed_continuity	default_mixed	False	stable	EXPONE	"{""recovering"": 1, ""stable"": 7, ""transitioning"": 1, ""unstable"": 3}"	"{""ACLARA"": 5, ""CONDICIÓN"": 1, ""EXPONE"": 7, ""RESULTADO"": 1}"	0.5	23	25	16	15	2	transition_cluster	True	"[""CMW00042"", ""CMW00043"", ""CMW00044""]"
CMW00044	1corintios	44	10:15	10:19	517	528	12	transition_cluster	transition_cluster	unstable_ratio_pressure	False	unstable	ACLARA	"{""recovering"": 1, ""stable"": 1, ""unstable"": 10}"	"{""ACLARA"": 12, ""EXPONE"": 1, ""RAZÓN"": 1}"	0.8571	3	62	2	41	59	mixed_continuity	True	"[""CMW00043"", ""CMW00044"", ""CMW00045""]"
