paso9_support_id	book	chapter	verse	reference	stream_index	predication_id	connector_support	continuity_support	candidate_labels	confidence	evidence_sources	final_label_assigned
P900011	1corintios	1	11	1:11	11	1corintios-1-11-P02	[]	"[""ACLARA""]"	"[""ACLARA""]"	low	"[""continuity:shift"", ""audit:weak_shift""]"	False
P900012	1corintios	1	12	1:12	12	1corintios-1-12-P01	"[""RAZÓN"", ""ACLARA""]"	"[""ACLARA""]"	"[""RAZÓN"", ""ACLARA""]"	moderate	"[""connector:οτι:explanatory"", ""continuity:shift"", ""audit:demonstrable_shift""]"	False
P900013	1corintios	1	12	1:12	13	1corintios-1-12-P02	[]	"[""ACLARA""]"	"[""ACLARA""]"	low	"[""continuity:shift"", ""audit:demonstrable_shift""]"	False
P900014	1corintios	1	12	1:12	14	1corintios-1-12-P03	"[""RAZÓN"", ""ACLARA""]"	"[""ACLARA""]"	"[""RAZÓN"", ""ACLARA""]"	moderate	"[""connector:οτι:explanatory"", ""continuity:shift"", ""audit:demonstrable_shift""]"	False
P900015	1corintios	1	13	1:13	15	1corintios-1-13-P01	[]	"[""ACLARA""]"	"[""ACLARA""]"	low	"[""continuity:shift"", ""audit:demonstrable_shift""]"	False
P900016	1corintios	1	13	1:13	16	1corintios-1-13-P02	[]	"[""EXPONE""]"	"[""EXPONE""]"	low	"[""continuity:same"", ""audit:not_shift""]"	False
P900017	1corintios	1	13	1:13	17	1corintios-1-13-P03	[]	"[""ACLARA""]"	"[""ACLARA""]"	low	"[""continuity:shift"", ""audit:demonstrable_shift""]"	False
P900018	1corintios	1	14	1:14	18	1corintios-1-14-P01	[]	"[""ACLARA""]"	"[""ACLARA""]"	low	"[""continuity:shift"", ""audit:demonstrable_shift""]"	False
P900019	1corintios	1	14	1:14	19	1corintios-1-14-P02	[]	"[""EXPONE""]"	"[""EXPONE""]"	low	"[""continuity:same"", ""audit:not_shift""]"	False
P900020	1corintios	1	15	1:15	20	1corintios-1-15-P01	"[""RAZÓN"", ""ACLARA""]"	"[""ACLARA""]"	"[""RAZÓN"", ""ACLARA""]"	moderate	"[""connector:οτι:explanatory"", ""continuity:shift"", ""audit:demonstrable_shift""]"	False
P900021	1corintios	1	15	1:15	21	1corintios-1-15-P02	"[""PROPÓSITO""]"	"[""ACLARA""]"	"[""PROPÓSITO"", ""ACLARA""]"	moderate	"[""connector:ινα:purpose"", ""continuity:shift"", ""audit:demonstrable_shift""]"	False
P900022	1corintios	1	16	1:16	22	1corintios-1-16-P01	"[""RAZÓN"", ""ACLARA""]"	"[""ACLARA""]"	"[""RAZÓN"", ""ACLARA""]"	moderate	"[""connector:οτι:explanatory"", ""continuity:shift"", ""audit:demonstrable_shift""]"	False
P900023	1corintios	1	16	1:16	23	1corintios-1-16-P02	[]	"[""EXPONE""]"	"[""EXPONE""]"	low	"[""continuity:same"", ""audit:not_shift""]"	False
P900024	1corintios	1	16	1:16	24	1corintios-1-16-P03	[]	"[""EXPONE""]"	"[""EXPONE""]"	low	"[""continuity:same"", ""audit:not_shift""]"	False
P900025	1corintios	1	17	1:17	25	1corintios-1-17-P01	"[""CONDICIÓN""]"	"[""ACLARA""]"	"[""CONDICIÓN"", ""ACLARA""]"	moderate	"[""connector:ει:conditional"", ""continuity:shift"", ""audit:demonstrable_shift""]"	False
P900026	1corintios	1	17	1:17	26	1corintios-1-17-P02	[]	"[""EXPONE""]"	"[""EXPONE""]"	low	"[""continuity:same"", ""audit:not_shift""]"	False
P900027	1corintios	1	18	1:18	27	1corintios-1-18-P01	"[""PROPÓSITO""]"	"[""EXPONE""]"	"[""PROPÓSITO"", ""EXPONE""]"	moderate	"[""connector:ινα:purpose"", ""continuity:same"", ""audit:not_shift""]"	False
P900028	1corintios	1	18	1:18	28	1corintios-1-18-P02	[]	"[""EXPONE""]"	"[""EXPONE""]"	low	"[""continuity:same"", ""audit:not_shift""]"	False
P900029	1corintios	1	19	1:19	29	1corintios-1-19-P01	[]	"[""EXPONE""]"	"[""EXPONE""]"	low	"[""continuity:same"", ""audit:not_shift""]"	False
P900030	1corintios	1	19	1:19	30	1corintios-1-19-P02	[]	"[""ACLARA""]"	"[""ACLARA""]"	low	"[""continuity:shift"", ""audit:demonstrable_shift""]"	False
P900031	1corintios	1	19	1:19	31	1corintios-1-19-P03	[]	"[""EXPONE""]"	"[""EXPONE""]"	low	"[""continuity:same"", ""audit:not_shift""]"	False
P900032	1corintios	1	20	1:20	32	1corintios-1-20-P01	[]	"[""ACLARA""]"	"[""ACLARA""]"	low	"[""continuity:shift"", ""audit:demonstrable_shift""]"	False
P900033	1corintios	1	21	1:21	33	1corintios-1-21-P01	[]	"[""EXPONE""]"	"[""EXPONE""]"	low	"[""continuity:same"", ""audit:not_shift""]"	False
P900034	1corintios	1	21	1:21	34	1corintios-1-21-P02	[]	"[""EXPONE""]"	"[""EXPONE""]"	low	"[""continuity:same"", ""audit:not_shift""]"	False
P900035	1corintios	1	22	1:22	35	1corintios-1-22-P01	[]	"[""ACLARA""]"	"[""ACLARA""]"	low	"[""continuity:shift"", ""audit:weak_shift""]"	False
P900036	1corintios	1	22	1:22	36	1corintios-1-22-P02	[]	"[""EXPONE""]"	"[""EXPONE""]"	low	"[""continuity:same"", ""audit:not_shift""]"	False
P900037	1corintios	1	23	1:23	37	1corintios-1-23-P01	[]	"[""ACLARA""]"	"[""ACLARA""]"	low	"[""continuity:shift"", ""audit:demonstrable_shift""]"	False
P900038	1corintios	1	25	1:25	38	1corintios-1-25-P01	[]	"[""ACLARA""]"	"[""ACLARA""]"	low	"[""continuity:shift"", ""audit:demonstrable_shift""]"	False
P900039	1corintios	1	26	1:26	39	1corintios-1-26-P01	"[""RAZÓN"", ""ACLARA""]"	"[""ACLARA""]"	"[""RAZÓN"", ""ACLARA""]"	moderate	"[""connector:οτι:explanatory"", ""continuity:shift"", ""audit:demonstrable_shift""]"	False
P900040	1corintios	1	27	1:27	40	1corintios-1-27-P01	[]	"[""ACLARA""]"	"[""ACLARA""]"	low	"[""continuity:shift"", ""audit:demonstrable_shift""]"	False
P900041	1corintios	1	27	1:27	41	1corintios-1-27-P02	[]	"[""EXPONE""]"	"[""EXPONE""]"	low	"[""continuity:same"", ""audit:not_shift""]"	False
P900042	1corintios	1	27	1:27	42	1corintios-1-27-P03	"[""PROPÓSITO""]"	"[""EXPONE""]"	"[""PROPÓSITO"", ""EXPONE""]"	moderate	"[""connector:ινα:purpose"", ""continuity:same"", ""audit:not_shift""]"	False
P900043	1corintios	1	27	1:27	43	1corintios-1-27-P04	[]	"[""EXPONE""]"	"[""EXPONE""]"	low	"[""continuity:same"", ""audit:not_shift""]"	False
P900044	1corintios	1	28	1:28	44	1corintios-1-28-P01	"[""PROPÓSITO""]"	"[""EXPONE""]"	"[""PROPÓSITO"", ""EXPONE""]"	moderate	"[""connector:ινα:purpose"", ""continuity:same"", ""audit:not_shift""]"	False
P900045	1corintios	1	28	1:28	45	1corintios-1-28-P02	[]	"[""EXPONE""]"	"[""EXPONE""]"	low	"[""continuity:same"", ""audit:not_shift""]"	False
P900046	1corintios	1	29	1:29	46	1corintios-1-29-P01	"[""PROPÓSITO""]"	"[""EXPONE""]"	"[""PROPÓSITO"", ""EXPONE""]"	moderate	"[""connector:ινα:purpose"", ""continuity:same"", ""audit:not_shift""]"	False
P900047	1corintios	1	30	1:30	47	1corintios-1-30-P01	[]	"[""ACLARA""]"	"[""ACLARA""]"	low	"[""continuity:shift"", ""audit:demonstrable_shift""]"	False
P900048	1corintios	1	30	1:30	48	1corintios-1-30-P02	[]	"[""ACLARA""]"	"[""ACLARA""]"	low	"[""continuity:shift"", ""audit:demonstrable_shift""]"	False
P900049	1corintios	1	31	1:31	49	1corintios-1-31-P01	[]	"[""EXPONE""]"	"[""EXPONE""]"	low	"[""continuity:same"", ""audit:not_shift""]"	False
P900050	1corintios	1	31	1:31	50	1corintios-1-31-P02	"[""PROPÓSITO"", ""ACLARA""]"	"[""EXPONE""]"	"[""PROPÓSITO"", ""ACLARA"", ""EXPONE""]"	moderate	"[""connector:ινα:purpose"", ""connector:καθως:comparative"", ""continuity:same"", ""audit:not_shift""]"	False
P900051	1corintios	2	1	2:1	51	1corintios-2-1-P01	[]	"[""ACLARA""]"	"[""ACLARA""]"	low	"[""continuity:shift"", ""audit:demonstrable_shift""]"	False
P900052	1corintios	2	2	2:2	52	1corintios-2-2-P01	[]	"[""EXPONE""]"	"[""EXPONE""]"	low	"[""continuity:same"", ""audit:not_shift""]"	False
P900053	1corintios	2	3	2:3	53	1corintios-2-3-P01	[]	"[""EXPONE""]"	"[""EXPONE""]"	low	"[""continuity:same"", ""audit:not_shift""]"	False
P900054	1corintios	2	5	2:5	54	1corintios-2-5-P01	[]	"[""ACLARA""]"	"[""ACLARA""]"	low	"[""continuity:shift"", ""audit:demonstrable_shift""]"	False
P900055	1corintios	2	6	2:6	55	1corintios-2-6-P01	"[""PROPÓSITO""]"	"[""ACLARA""]"	"[""PROPÓSITO"", ""ACLARA""]"	moderate	"[""connector:ινα:purpose"", ""continuity:shift"", ""audit:demonstrable_shift""]"	False
P900056	1corintios	2	7	2:7	56	1corintios-2-7-P01	[]	"[""EXPONE""]"	"[""EXPONE""]"	low	"[""continuity:same"", ""audit:not_shift""]"	False
P900057	1corintios	2	7	2:7	57	1corintios-2-7-P02	[]	"[""ACLARA""]"	"[""ACLARA""]"	low	"[""continuity:shift"", ""audit:demonstrable_shift""]"	False
P900058	1corintios	2	8	2:8	58	1corintios-2-8-P01	[]	"[""EXPONE""]"	"[""EXPONE""]"	low	"[""continuity:same"", ""audit:not_shift""]"	False
P900059	1corintios	2	8	2:8	59	1corintios-2-8-P02	[]	"[""ACLARA""]"	"[""ACLARA""]"	low	"[""continuity:shift"", ""audit:weak_shift""]"	False
P900060	1corintios	2	8	2:8	60	1corintios-2-8-P03	"[""CONDICIÓN""]"	"[""EXPONE""]"	"[""CONDICIÓN"", ""EXPONE""]"	moderate	"[""connector:ει:conditional"", ""continuity:same"", ""audit:not_shift""]"	False
P900061	1corintios	2	9	2:9	61	1corintios-2-9-P01	[]	"[""ACLARA""]"	"[""ACLARA""]"	low	"[""continuity:shift"", ""audit:weak_shift""]"	False
P900062	1corintios	2	9	2:9	62	1corintios-2-9-P02	"[""ACLARA""]"	"[""EXPONE""]"	"[""ACLARA"", ""EXPONE""]"	moderate	"[""connector:καθως:comparative"", ""continuity:same"", ""audit:not_shift""]"	False
P900063	1corintios	2	9	2:9	63	1corintios-2-9-P03	[]	"[""EXPONE""]"	"[""EXPONE""]"	low	"[""continuity:same"", ""audit:not_shift""]"	False
P900064	1corintios	2	9	2:9	64	1corintios-2-9-P04	[]	"[""EXPONE""]"	"[""EXPONE""]"	low	"[""continuity:same"", ""audit:not_shift""]"	False
P900065	1corintios	2	9	2:9	65	1corintios-2-9-P05	[]	"[""EXPONE""]"	"[""EXPONE""]"	low	"[""continuity:same"", ""audit:not_shift""]"	False
P900066	1corintios	2	10	2:10	66	1corintios-2-10-P01	[]	"[""EXPONE""]"	"[""EXPONE""]"	low	"[""continuity:same"", ""audit:not_shift""]"	False
P900067	1corintios	2	10	2:10	67	1corintios-2-10-P02	[]	"[""EXPONE""]"	"[""EXPONE""]"	low	"[""continuity:same"", ""audit:not_shift""]"	False
P900068	1corintios	2	11	2:11	68	1corintios-2-11-P01	[]	"[""EXPONE""]"	"[""EXPONE""]"	low	"[""continuity:same"", ""audit:not_shift""]"	False
P900069	1corintios	2	11	2:11	69	1corintios-2-11-P02	[]	"[""EXPONE""]"	"[""EXPONE""]"	low	"[""continuity:same"", ""audit:not_shift""]"	False
P900070	1corintios	2	12	2:12	70	1corintios-2-12-P01	"[""CONDICIÓN""]"	"[""ACLARA""]"	"[""CONDICIÓN"", ""ACLARA""]"	moderate	"[""connector:ει:conditional"", ""continuity:shift"", ""audit:demonstrable_shift""]"	False
P900071	1corintios	2	12	2:12	71	1corintios-2-12-P02	[]	"[""EXPONE""]"	"[""EXPONE""]"	low	"[""continuity:same"", ""audit:not_shift""]"	False
P900072	1corintios	2	13	2:13	72	1corintios-2-13-P01	"[""PROPÓSITO""]"	"[""EXPONE""]"	"[""PROPÓSITO"", ""EXPONE""]"	moderate	"[""connector:ινα:purpose"", ""continuity:same"", ""audit:not_shift""]"	False
P900073	1corintios	2	14	2:14	73	1corintios-2-14-P01	[]	"[""ACLARA""]"	"[""ACLARA""]"	low	"[""continuity:shift"", ""audit:demonstrable_shift""]"	False
P900074	1corintios	2	14	2:14	74	1corintios-2-14-P02	[]	"[""EXPONE""]"	"[""EXPONE""]"	low	"[""continuity:same"", ""audit:not_shift""]"	False
P900075	1corintios	2	14	2:14	75	1corintios-2-14-P03	[]	"[""EXPONE""]"	"[""EXPONE""]"	low	"[""continuity:same"", ""audit:not_shift""]"	False
P900076	1corintios	2	14	2:14	76	1corintios-2-14-P04	[]	"[""EXPONE""]"	"[""EXPONE""]"	low	"[""continuity:same"", ""audit:not_shift""]"	False
P900077	1corintios	2	15	2:15	77	1corintios-2-15-P01	"[""RAZÓN"", ""ACLARA""]"	"[""EXPONE""]"	"[""RAZÓN"", ""ACLARA"", ""EXPONE""]"	moderate	"[""connector:οτι:explanatory"", ""continuity:same"", ""audit:not_shift""]"	False
P900078	1corintios	2	15	2:15	78	1corintios-2-15-P02	[]	"[""EXPONE""]"	"[""EXPONE""]"	low	"[""continuity:same"", ""audit:not_shift""]"	False
P900079	1corintios	2	16	2:16	79	1corintios-2-16-P01	[]	"[""EXPONE""]"	"[""EXPONE""]"	low	"[""continuity:same"", ""audit:not_shift""]"	False
P900080	1corintios	2	16	2:16	80	1corintios-2-16-P02	[]	"[""EXPONE""]"	"[""EXPONE""]"	low	"[""continuity:same"", ""audit:not_shift""]"	False
P900081	1corintios	2	16	2:16	81	1corintios-2-16-P03	[]	"[""ACLARA""]"	"[""ACLARA""]"	low	"[""continuity:shift"", ""audit:demonstrable_shift""]"	False
P900082	1corintios	3	1	3:1	82	1corintios-3-1-P01	[]	"[""ACLARA""]"	"[""ACLARA""]"	low	"[""continuity:shift"", ""audit:weak_shift""]"	False
P900083	1corintios	3	2	3:2	83	1corintios-3-2-P01	[]	"[""EXPONE""]"	"[""EXPONE""]"	low	"[""continuity:same"", ""audit:not_shift""]"	False
P900084	1corintios	3	2	3:2	84	1corintios-3-2-P02	[]	"[""ACLARA""]"	"[""ACLARA""]"	low	"[""continuity:shift"", ""audit:demonstrable_shift""]"	False
P900085	1corintios	3	2	3:2	85	1corintios-3-2-P03	[]	"[""EXPONE""]"	"[""EXPONE""]"	low	"[""continuity:same"", ""audit:not_shift""]"	False
P900086	1corintios	3	3	3:3	86	1corintios-3-3-P01	[]	"[""EXPONE""]"	"[""EXPONE""]"	low	"[""continuity:same"", ""audit:not_shift""]"	False
P900087	1corintios	3	3	3:3	87	1corintios-3-3-P02	[]	"[""EXPONE""]"	"[""EXPONE""]"	low	"[""continuity:same"", ""audit:not_shift""]"	False
P900088	1corintios	3	3	3:3	88	1corintios-3-3-P03	[]	"[""EXPONE""]"	"[""EXPONE""]"	low	"[""continuity:same"", ""audit:not_shift""]"	False
P900089	1corintios	3	4	3:4	89	1corintios-3-4-P01	[]	"[""ACLARA""]"	"[""ACLARA""]"	low	"[""continuity:shift"", ""audit:demonstrable_shift""]"	False
P900090	1corintios	3	4	3:4	90	1corintios-3-4-P02	[]	"[""ACLARA""]"	"[""ACLARA""]"	low	"[""connector:οταν:temporal"", ""continuity:shift"", ""audit:demonstrable_shift""]"	False
P900091	1corintios	3	4	3:4	91	1corintios-3-4-P03	[]	"[""ACLARA""]"	"[""ACLARA""]"	low	"[""continuity:shift"", ""audit:demonstrable_shift""]"	False
P900092	1corintios	3	5	3:5	92	1corintios-3-5-P01	[]	"[""ACLARA""]"	"[""ACLARA""]"	low	"[""continuity:shift"", ""audit:demonstrable_shift""]"	False
P900093	1corintios	3	5	3:5	93	1corintios-3-5-P02	[]	"[""EXPONE""]"	"[""EXPONE""]"	low	"[""continuity:same"", ""audit:not_shift""]"	False
P900094	1corintios	3	5	3:5	94	1corintios-3-5-P03	[]	"[""ACLARA""]"	"[""ACLARA""]"	low	"[""continuity:shift"", ""audit:demonstrable_shift""]"	False
P900095	1corintios	3	5	3:5	95	1corintios-3-5-P04	[]	"[""ACLARA""]"	"[""ACLARA""]"	low	"[""continuity:shift"", ""audit:demonstrable_shift""]"	False
P900096	1corintios	3	6	3:6	96	1corintios-3-6-P01	"[""ACLARA""]"	"[""ACLARA""]"	"[""ACLARA""]"	moderate	"[""connector:ως:comparative"", ""continuity:shift"", ""audit:demonstrable_shift""]"	False
P900097	1corintios	3	6	3:6	97	1corintios-3-6-P02	[]	"[""ACLARA""]"	"[""ACLARA""]"	low	"[""continuity:shift"", ""audit:demonstrable_shift""]"	False
P900098	1corintios	3	6	3:6	98	1corintios-3-6-P03	[]	"[""EXPONE""]"	"[""EXPONE""]"	low	"[""continuity:same"", ""audit:not_shift""]"	False
P900099	1corintios	3	7	3:7	99	1corintios-3-7-P01	"[""RESULTADO""]"	"[""EXPONE""]"	"[""RESULTADO"", ""EXPONE""]"	moderate	"[""connector:ωστε:inferential"", ""continuity:same"", ""audit:not_shift""]"	False
P900100	1corintios	3	8	3:8	100	1corintios-3-8-P01	[]	"[""ACLARA""]"	"[""ACLARA""]"	low	"[""continuity:shift"", ""audit:weak_shift""]"	False
P900101	1corintios	3	8	3:8	101	1corintios-3-8-P02	[]	"[""ACLARA""]"	"[""ACLARA""]"	low	"[""continuity:shift"", ""audit:weak_shift""]"	False
P900102	1corintios	3	9	3:9	102	1corintios-3-9-P01	[]	"[""ACLARA""]"	"[""ACLARA""]"	low	"[""continuity:shift"", ""audit:demonstrable_shift""]"	False
P900103	1corintios	3	9	3:9	103	1corintios-3-9-P02	[]	"[""ACLARA""]"	"[""ACLARA""]"	low	"[""continuity:shift"", ""audit:demonstrable_shift""]"	False
P900104	1corintios	3	10	3:10	104	1corintios-3-10-P01	[]	"[""ACLARA""]"	"[""ACLARA""]"	low	"[""continuity:shift"", ""audit:demonstrable_shift""]"	False
P900105	1corintios	3	10	3:10	105	1corintios-3-10-P02	"[""ACLARA""]"	"[""ACLARA""]"	"[""ACLARA""]"	moderate	"[""connector:ως:comparative"", ""continuity:shift"", ""audit:demonstrable_shift""]"	False
P900106	1corintios	3	10	3:10	106	1corintios-3-10-P03	[]	"[""EXPONE""]"	"[""EXPONE""]"	low	"[""continuity:same"", ""audit:not_shift""]"	False
P900107	1corintios	3	10	3:10	107	1corintios-3-10-P04	[]	"[""EXPONE""]"	"[""EXPONE""]"	low	"[""continuity:same"", ""audit:not_shift""]"	False
P900108	1corintios	3	11	3:11	108	1corintios-3-11-P01	[]	"[""EXPONE""]"	"[""EXPONE""]"	low	"[""continuity:same"", ""audit:not_shift""]"	False
P900109	1corintios	3	11	3:11	109	1corintios-3-11-P02	[]	"[""EXPONE""]"	"[""EXPONE""]"	low	"[""continuity:same"", ""audit:not_shift""]"	False
P900110	1corintios	3	12	3:12	110	1corintios-3-12-P01	[]	"[""EXPONE""]"	"[""EXPONE""]"	low	"[""continuity:same"", ""audit:not_shift""]"	False
P900111	1corintios	3	13	3:13	111	1corintios-3-13-P01	"[""CONDICIÓN""]"	"[""EXPONE""]"	"[""CONDICIÓN"", ""EXPONE""]"	moderate	"[""connector:ει:conditional"", ""continuity:same"", ""audit:not_shift""]"	False
P900112	1corintios	3	13	3:13	112	1corintios-3-13-P02	[]	"[""EXPONE""]"	"[""EXPONE""]"	low	"[""continuity:same"", ""audit:not_shift""]"	False
P900113	1corintios	3	13	3:13	113	1corintios-3-13-P03	[]	"[""EXPONE""]"	"[""EXPONE""]"	low	"[""continuity:same"", ""audit:not_shift""]"	False
P900114	1corintios	3	13	3:13	114	1corintios-3-13-P04	"[""RAZÓN"", ""ACLARA""]"	"[""EXPONE""]"	"[""RAZÓN"", ""ACLARA"", ""EXPONE""]"	moderate	"[""connector:οτι:explanatory"", ""continuity:same"", ""audit:not_shift""]"	False
P900115	1corintios	3	13	3:13	115	1corintios-3-13-P05	[]	"[""EXPONE""]"	"[""EXPONE""]"	low	"[""continuity:same"", ""audit:not_shift""]"	False
P900116	1corintios	3	14	3:14	116	1corintios-3-14-P01	[]	"[""EXPONE""]"	"[""EXPONE""]"	low	"[""continuity:same"", ""audit:not_shift""]"	False
P900117	1corintios	3	14	3:14	117	1corintios-3-14-P02	"[""CONDICIÓN""]"	"[""EXPONE""]"	"[""CONDICIÓN"", ""EXPONE""]"	moderate	"[""connector:ει:conditional"", ""continuity:same"", ""audit:not_shift""]"	False
P900118	1corintios	3	14	3:14	118	1corintios-3-14-P03	[]	"[""EXPONE""]"	"[""EXPONE""]"	low	"[""continuity:same"", ""audit:not_shift""]"	False
P900119	1corintios	3	15	3:15	119	1corintios-3-15-P01	[]	"[""EXPONE""]"	"[""EXPONE""]"	low	"[""continuity:same"", ""audit:not_shift""]"	False
P900120	1corintios	3	15	3:15	120	1corintios-3-15-P02	"[""CONDICIÓN""]"	"[""EXPONE""]"	"[""CONDICIÓN"", ""EXPONE""]"	moderate	"[""connector:ει:conditional"", ""continuity:same"", ""audit:not_shift""]"	False
P900121	1corintios	3	15	3:15	121	1corintios-3-15-P03	[]	"[""EXPONE""]"	"[""EXPONE""]"	low	"[""continuity:same"", ""audit:not_shift""]"	False
P900122	1corintios	3	16	3:16	122	1corintios-3-16-P01	[]	"[""ACLARA""]"	"[""ACLARA""]"	low	"[""continuity:shift"", ""audit:demonstrable_shift""]"	False
P900123	1corintios	3	16	3:16	123	1corintios-3-16-P02	[]	"[""EXPONE""]"	"[""EXPONE""]"	low	"[""continuity:same"", ""audit:not_shift""]"	False
P900124	1corintios	3	16	3:16	124	1corintios-3-16-P03	"[""RAZÓN"", ""ACLARA""]"	"[""ACLARA""]"	"[""RAZÓN"", ""ACLARA""]"	moderate	"[""connector:οτι:explanatory"", ""continuity:shift"", ""audit:demonstrable_shift""]"	False
P900125	1corintios	3	17	3:17	125	1corintios-3-17-P01	[]	"[""EXPONE""]"	"[""EXPONE""]"	low	"[""continuity:same"", ""audit:not_shift""]"	False
P900126	1corintios	3	17	3:17	126	1corintios-3-17-P02	"[""CONDICIÓN""]"	"[""EXPONE""]"	"[""CONDICIÓN"", ""EXPONE""]"	moderate	"[""connector:ει:conditional"", ""continuity:same"", ""audit:not_shift""]"	False
P900127	1corintios	3	17	3:17	127	1corintios-3-17-P03	[]	"[""EXPONE""]"	"[""EXPONE""]"	low	"[""continuity:same"", ""audit:not_shift""]"	False
P900128	1corintios	3	17	3:17	128	1corintios-3-17-P04	[]	"[""ACLARA""]"	"[""ACLARA""]"	low	"[""continuity:shift"", ""audit:demonstrable_shift""]"	False
P900129	1corintios	3	18	3:18	129	1corintios-3-18-P01	[]	"[""ACLARA""]"	"[""ACLARA""]"	low	"[""continuity:shift"", ""audit:demonstrable_shift""]"	False
P900130	1corintios	3	18	3:18	130	1corintios-3-18-P02	[]	"[""EXPONE""]"	"[""EXPONE""]"	low	"[""continuity:same"", ""audit:not_shift""]"	False
P900131	1corintios	3	18	3:18	131	1corintios-3-18-P03	"[""CONDICIÓN""]"	"[""EXPONE""]"	"[""CONDICIÓN"", ""EXPONE""]"	moderate	"[""connector:ει:conditional"", ""continuity:same"", ""audit:not_shift""]"	False
P900132	1corintios	3	18	3:18	132	1corintios-3-18-P04	[]	"[""EXPONE""]"	"[""EXPONE""]"	low	"[""continuity:same"", ""audit:not_shift""]"	False
P900133	1corintios	3	19	3:19	133	1corintios-3-19-P01	"[""PROPÓSITO""]"	"[""EXPONE""]"	"[""PROPÓSITO"", ""EXPONE""]"	moderate	"[""connector:ινα:purpose"", ""continuity:same"", ""audit:not_shift""]"	False
P900134	1corintios	3	19	3:19	134	1corintios-3-19-P02	[]	"[""EXPONE""]"	"[""EXPONE""]"	low	"[""continuity:same"", ""audit:not_shift""]"	False
P900135	1corintios	3	20	3:20	135	1corintios-3-20-P01	[]	"[""EXPONE""]"	"[""EXPONE""]"	low	"[""continuity:same"", ""audit:not_shift""]"	False
P900136	1corintios	3	20	3:20	136	1corintios-3-20-P02	[]	"[""ACLARA""]"	"[""ACLARA""]"	low	"[""continuity:shift"", ""audit:weak_shift""]"	False
P900137	1corintios	3	21	3:21	137	1corintios-3-21-P01	"[""RAZÓN"", ""ACLARA"", ""RESULTADO""]"	"[""ACLARA""]"	"[""RAZÓN"", ""ACLARA"", ""RESULTADO""]"	moderate	"[""connector:οτι:explanatory"", ""connector:ωστε:inferential"", ""continuity:shift"", ""audit:weak_shift""]"	False
P900138	1corintios	3	21	3:21	138	1corintios-3-21-P02	[]	"[""EXPONE""]"	"[""EXPONE""]"	low	"[""continuity:same"", ""audit:not_shift""]"	False
P900139	1corintios	4	1	4:1	139	1corintios-4-1-P01	[]	"[""EXPONE""]"	"[""EXPONE""]"	low	"[""continuity:same"", ""audit:not_shift""]"	False
P900140	1corintios	4	2	4:2	140	1corintios-4-2-P01	[]	"[""EXPONE""]"	"[""EXPONE""]"	low	"[""continuity:same"", ""audit:not_shift""]"	False
P900141	1corintios	4	2	4:2	141	1corintios-4-2-P02	[]	"[""EXPONE""]"	"[""EXPONE""]"	low	"[""continuity:same"", ""audit:not_shift""]"	False
P900142	1corintios	4	3	4:3	142	1corintios-4-3-P01	"[""PROPÓSITO""]"	"[""EXPONE""]"	"[""PROPÓSITO"", ""EXPONE""]"	moderate	"[""connector:ινα:purpose"", ""continuity:same"", ""audit:not_shift""]"	False
