movement_window_id	book	window_index	start_ref	end_ref	start_stream_index	end_stream_index	predication_count	movement_band	dominant_field	dominant_tendency	state_counts	label_counts	persistence_total	transition_total	extension_total	weakening_total
MW00066	1corintios	66	14:18	14:22	781	792	12	mixed_continuity	stable	ACLARA	"{""recovering"": 1, ""stable"": 5, ""transitioning"": 3, ""unstable"": 3}"	"{""ACLARA"": 7, ""EXPONE"": 5, ""PROPÓSITO"": 1, ""RAZÓN"": 1, ""RESULTADO"": 1}"	19	31	12	18
MW00067	1corintios	67	14:23	14:25	793	804	12	mixed_continuity	stable	EXPONE	"{""recovering"": 3, ""stable"": 7, ""transitioning"": 1, ""unstable"": 1}"	"{""ACLARA"": 5, ""CONDICIÓN"": 2, ""EXPONE"": 7, ""RAZÓN"": 1}"	23	16	17	9
MW00068	1corintios	68	14:26	14:28	805	816	12	extended_stable_field	stable	EXPONE	"{""stable"": 10, ""transitioning"": 2}"	"{""ACLARA"": 3, ""CONDICIÓN"": 1, ""EXPONE"": 10, ""RAZÓN"": 1}"	34	8	23	4
MW00069	1corintios	69	14:28	14:34	817	828	12	recovery_field	stable	ACLARA	"{""recovering"": 5, ""stable"": 5, ""transitioning"": 1, ""unstable"": 1}"	"{""ACLARA"": 7, ""CONDICIÓN"": 1, ""EXPONE"": 5, ""PROPÓSITO"": 1}"	17	20	12	11
MW00070	1corintios	70	14:34	14:38	829	840	12	recovery_field	stable	ACLARA	"{""recovering"": 4, ""stable"": 6, ""transitioning"": 2}"	"{""ACLARA"": 7, ""CONDICIÓN"": 2, ""EXPONE"": 6, ""RAZÓN"": 1}"	22	16	16	8
MW00071	1corintios	71	14:38	15:2	841	852	12	mixed_continuity	stable	EXPONE	"{""stable"": 6, ""transitioning"": 3, ""unstable"": 3}"	"{""ACLARA"": 6, ""CONDICIÓN"": 2, ""EXPONE"": 6, ""RESULTADO"": 1}"	24	31	17	18
MW00072	1corintios	72	15:3	15:9	853	864	12	mixed_continuity	stable	ACLARA	"{""recovering"": 2, ""stable"": 7, ""transitioning"": 3}"	"{""ACLARA"": 9, ""CONDICIÓN"": 1, ""EXPONE"": 7, ""RAZÓN"": 4}"	27	16	18	8
MW00073	1corintios	73	15:9	15:12	865	876	12	transition_cluster	stable	ACLARA	"{""recovering"": 3, ""stable"": 5, ""unstable"": 4}"	"{""ACLARA"": 7, ""CONDICIÓN"": 1, ""EXPONE"": 5, ""RAZÓN"": 1}"	15	30	11	19
MW00074	1corintios	74	15:13	15:17	877	888	12	mixed_continuity	stable	ACLARA	"{""recovering"": 2, ""stable"": 7, ""transitioning"": 2, ""unstable"": 1}"	"{""ACLARA"": 7, ""CONDICIÓN"": 4, ""EXPONE"": 7, ""RAZÓN"": 3}"	25	18	20	10
MW00075	1corintios	75	15:18	15:27	889	900	12	mixed_continuity	stable	EXPONE	"{""recovering"": 2, ""stable"": 7, ""unstable"": 3}"	"{""ACLARA"": 5, ""CONDICIÓN"": 1, ""EXPONE"": 7}"	21	22	15	14
