movement_window_id	book	window_index	start_ref	end_ref	start_stream_index	end_stream_index	predication_count	movement_band	dominant_field	dominant_tendency	state_counts	label_counts	persistence_total	transition_total	extension_total	weakening_total
MW00040	1corintios	40	9:23	9:27	469	480	12	transition_cluster	stable	ACLARA	"{""recovering"": 2, ""stable"": 5, ""transitioning"": 1, ""unstable"": 4}"	"{""ACLARA"": 8, ""EXPONE"": 5, ""PROPÓSITO"": 3, ""RAZÓN"": 1}"	17	32	11	20
MW00041	1corintios	41	9:27	10:6	481	492	12	extended_stable_field	stable	EXPONE	"{""recovering"": 2, ""stable"": 9, ""transitioning"": 1}"	"{""ACLARA"": 4, ""EXPONE"": 9, ""RAZÓN"": 1}"	29	8	19	4
MW00042	1corintios	42	10:6	10:10	493	504	12	transition_cluster	unstable	ACLARA	"{""recovering"": 1, ""stable"": 4, ""unstable"": 7}"	"{""ACLARA"": 11, ""EXPONE"": 4}"	12	44	8	29
MW00043	1corintios	43	10:10	10:14	505	516	12	mixed_continuity	stable	EXPONE	"{""recovering"": 1, ""stable"": 7, ""transitioning"": 1, ""unstable"": 3}"	"{""ACLARA"": 5, ""CONDICIÓN"": 1, ""EXPONE"": 7, ""RESULTADO"": 1}"	23	25	16	15
MW00044	1corintios	44	10:15	10:19	517	528	12	transition_cluster	unstable	ACLARA	"{""recovering"": 1, ""stable"": 1, ""unstable"": 10}"	"{""ACLARA"": 12, ""EXPONE"": 1, ""RAZÓN"": 1}"	3	62	2	41
MW00045	1corintios	45	10:19	10:23	529	540	12	movement_accumulation	stable	ACLARA	"{""recovering"": 1, ""stable"": 6, ""transitioning"": 4, ""unstable"": 1}"	"{""ACLARA"": 8, ""EXPONE"": 6, ""RAZÓN"": 3}"	26	24	16	13
MW00046	1corintios	46	10:23	10:30	541	552	12	transition_cluster	unstable	ACLARA	"{""stable"": 4, ""transitioning"": 3, ""unstable"": 5}"	"{""ACLARA"": 8, ""CONDICIÓN"": 2, ""EXPONE"": 4}"	18	42	13	26
MW00047	1corintios	47	10:30	11:2	553	564	12	transition_cluster	stable	EXPONE	"{""stable"": 6, ""transitioning"": 1, ""unstable"": 5}"	"{""ACLARA"": 6, ""CONDICIÓN"": 1, ""EXPONE"": 6, ""PROPÓSITO"": 1}"	20	34	14	22
MW00048	1corintios	48	11:2	11:7	565	576	12	extended_stable_field	stable	EXPONE	"{""stable"": 8, ""transitioning"": 2, ""unstable"": 2}"	"{""ACLARA"": 5, ""CONDICIÓN"": 2, ""EXPONE"": 8, ""RAZÓN"": 2}"	28	20	20	12
MW00049	1corintios	49	11:8	11:16	577	588	12	extended_stable_field	stable	EXPONE	"{""stable"": 10, ""transitioning"": 2}"	"{""ACLARA"": 4, ""CONDICIÓN"": 2, ""EXPONE"": 10, ""RAZÓN"": 2}"	34	8	24	4
MW00050	1corintios	50	11:16	11:22	589	600	12	transition_cluster	unstable	ACLARA	"{""recovering"": 3, ""stable"": 4, ""transitioning"": 1, ""unstable"": 4}"	"{""ACLARA"": 8, ""CONDICIÓN"": 1, ""EXPONE"": 4, ""PROPÓSITO"": 1, ""RAZÓN"": 1}"	14	34	10	21
