book	certainty_finite_verb	certainty_independence	certainty_predication	chapter	finite_compact	finite_lemma	finite_morphgnt	finite_verb	g_idx	independence_source	independence_status	nbla_idx	nbla_text	predication_id	stream_index	subject_inherited_from	subject_number	subject_person	subject_refinement_source	subject_refinement_status	subject_source	subject_status	subject_token	subordination_markers	subordination_source	subordination_status	verse
1corintios	confirmed	unresolved	candidate	1	V-PAS-3S	καταισχύνω	V- 3PAS-S--	καταισχύνῃ	10	subordination_marker_scan_only	unresolved	11	avergonzar	1corintios-1-27-P02	41	1corintios-1-25-P01	S	3	inheritance_allowed	inherited	nearest_agreeing_nominative_no_visible_boundary	candidate	08	"[{""form"": ""ἵνα"", ""key"": ""ινα"", ""token"": ""09""}]"	explicit_marker_after_previous_finite_before_current_finite	candidate	27
1corintios	confirmed	candidate	candidate	1	V-AMI-3S	ἐκλέγομαι	V- 3AMI-S--	ἐξελέξατο	18	subordination_marker_scan_only	candidate	17-18	ha escogido	1corintios-1-27-P03	42		S	3	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology	confirmed		[]		not_detected	27
1corintios	confirmed	unresolved	candidate	1	V-PAS-3S	καταισχύνω	V- 3PAS-S--	καταισχύνῃ	22	subordination_marker_scan_only	unresolved	24	avergonzar	1corintios-1-27-P04	43	1corintios-1-27-P02	S	3	inheritance_allowed	inherited	nearest_agreeing_nominative_no_visible_boundary	candidate	20	"[{""form"": ""ἵνα"", ""key"": ""ινα"", ""token"": ""21""}]"	explicit_marker_after_previous_finite_before_current_finite	candidate	27
1corintios	confirmed	candidate	candidate	1	V-AMI-3S	ἐκλέγομαι	V- 3AMI-S--	ἐξελέξατο	09	subordination_marker_scan_only	candidate	03-04	ha escogido	1corintios-1-28-P01	44		S	3	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology	confirmed		[]		not_detected	28
1corintios	confirmed	unresolved	candidate	1	V-AAS-3S	καταργέω	V- 3AAS-S--	καταργήσῃ	18	subordination_marker_scan_only	unresolved	16	anular	1corintios-1-28-P02	45		S	3	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology	confirmed		"[{""form"": ""ἵνα"", ""key"": ""ινα"", ""token"": ""15""}]"	explicit_marker_after_previous_finite_before_current_finite	candidate	28
1corintios	confirmed	unresolved	candidate	1	V-AMS-3S	καυχάομαι	V- 3AMS-S--	καυχήσηται	03	subordination_marker_scan_only	unresolved	04-05	se jacte	1corintios-1-29-P01	46		S	3	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology	confirmed		"[{""form"": ""ὅπως"", ""key"": ""οπως"", ""token"": ""01""}]"	explicit_marker_after_previous_finite_before_current_finite	candidate	29
1corintios	confirmed	candidate	candidate	1	V-PAI-2P	εἰμί	V- 2PAI-P--	ἐστε	05	subordination_marker_scan_only	candidate	05	están	1corintios-1-30-P01	47		P	2	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology	confirmed		[]		not_detected	30
1corintios	confirmed	candidate	candidate	1	V-API-3S	γίνομαι	V- 3API-S--	ἐγενήθη	10	subordination_marker_scan_only	candidate	12-13	se hizo	1corintios-1-30-P02	48	1corintios-1-30-P01	P	2	inheritance_allowed	inherited	nearest_agreeing_nominative_no_visible_boundary	candidate	09	[]		not_detected	30
1corintios	confirmed	unresolved	candidate	1	V-XPI-3S	γράφω	V- 3XPI-S--	γέγραπται	03	subordination_marker_scan_only	unresolved	05-06	está escrito	1corintios-1-31-P01	49		S	3	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology	confirmed		"[{""form"": ""ἵνα"", ""key"": ""ινα"", ""token"": ""01""}, {""form"": ""καθὼς"", ""key"": ""καθως"", ""token"": ""02""}]"	explicit_marker_after_previous_finite_before_current_finite	candidate	31
1corintios	confirmed	candidate	candidate	1	V-PMD-3S	καυχάομαι	V- 3PMD-S--	καυχάσθω	08	subordination_marker_scan_only	candidate	11-13	que se gloríe	1corintios-1-31-P02	50	1corintios-1-30-P02	P	2	inheritance_allowed	inherited	nearest_agreeing_nominative_no_visible_boundary	candidate	04	[]		not_detected	31
1corintios	confirmed	candidate	candidate	2	V-AAI-1S	ἔρχομαι	V- 1AAI-S--	ἦλθον	06	subordination_marker_scan_only	candidate	14	fui	1corintios-2-1-P01	51		S	1	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology	confirmed		[]		not_detected	1
1corintios	confirmed	candidate	candidate	2	V-AAI-1S	κρίνω	V- 1AAI-S--	ἔκρινά	03	subordination_marker_scan_only	candidate	03-04	me propuse	1corintios-2-2-P01	52		S	1	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology	confirmed		[]		not_detected	2
1corintios	confirmed	candidate	candidate	2	V-AMI-1S	γίνομαι	V- 1AMI-S--	ἐγενόμην	11	subordination_marker_scan_only	candidate	01	estuve	1corintios-2-3-P01	53		S	1	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology	confirmed		[]		not_detected	3
1corintios	confirmed	unresolved	candidate	2	V-PAS-3S	εἰμί	V- 3PAS-S--	ᾖ	06	subordination_marker_scan_only	unresolved	08	descanse	1corintios-2-5-P01	54				no_valid_inheritance	unresolved	nearest_agreeing_nominative_no_visible_boundary	candidate	03	"[{""form"": ""ἵνα"", ""key"": ""ινα"", ""token"": ""01""}]"	explicit_marker_after_previous_finite_before_current_finite	candidate	5
1corintios	confirmed	candidate	candidate	2	V-PAI-1P	λαλέω	V- 1PAI-P--	λαλοῦμεν	03	subordination_marker_scan_only	candidate	03	hablamos	1corintios-2-6-P01	55		P	1	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology	confirmed		[]		not_detected	6
1corintios	confirmed	candidate	candidate	2	V-PAI-1P	λαλέω	V- 1PAI-P--	λαλοῦμεν	02	subordination_marker_scan_only	candidate	03	hablamos	1corintios-2-7-P01	56		P	1	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology	confirmed		[]		not_detected	7
1corintios	confirmed	candidate	candidate	2	V-AAI-3S	προορίζω	V- 3AAI-S--	προώρισεν	10	subordination_marker_scan_only	candidate	19	predestinó	1corintios-2-7-P02	57		S	3	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology	confirmed		[]		not_detected	7
1corintios	confirmed	candidate	candidate	2	V-XAI-3S	γινώσκω	V- 3XAI-S--	ἔγνωκεν	08	subordination_marker_scan_only	candidate	11-12	ha entendido	1corintios-2-8-P01	58	1corintios-2-7-P02	S	3	inheritance_allowed	inherited	nearest_agreeing_nominative_no_visible_boundary	candidate	02	[]		not_detected	8
