BOOK	CH	VS	CLAUSE_ID	FINITE_GREEK	NODE_TYPE	PARENT_CLAUSE	RELATIONSHIP_TYPE	TREE_DEPTH	OWNERSHIP_CONFIDENCE	TREE_STATUS	SPAN_TEXT	NOTES
1corintios	1	11	C2	εἰσιν	leaf	C1	subordinate	1	medium	suggested	ὅτι ἔριδες ἐν ὑμῖν ==εἰσιν==	function follows connector inventory; coordinating connector between finite clauses; source and target clauses available
1corintios	1	12	C1	λέγω	root-parent			0		unresolved-root	==λέγω== δὲ τοῦτο	no-confirmed-topology
1corintios	1	12	C2	λέγει	leaf	C1	coordinate	1	medium	suggested	ὅτι ἕκαστος ὑμῶν ==λέγει== ἐγὼ μέν	function follows connector inventory; coordinating connector between finite clauses; source and target clauses available
1corintios	1	12	C3	εἰμι	root-or-unresolved			0		unresolved-root	==εἰμι== παύλου ἐγὼ δὲ ἀπολλῶ ἐγὼ δὲ κηφᾶ ἐγὼ δὲ χριστοῦ	no-confirmed-topology
1corintios	1	13	C1	μεμέρισται	root-or-unresolved			0		unresolved-root	==μεμέρισται== ὁ χριστός μὴ παῦλος	no-confirmed-topology
1corintios	1	13	C2	ἐσταυρώθη	root-parent			0		unresolved-root	==ἐσταυρώθη== ὑπὲρ ὑμῶν ἢ εἰς τὸ ὄνομα παύλου	no-confirmed-topology
1corintios	1	13	C3	ἐβαπτίσθητε	leaf	C2	coordinate	1	medium	suggested	==ἐβαπτίσθητε==	context-sensitive function; keep as suggested; coordinating connector between finite clauses; source and target clauses available
1corintios	1	14	C1	εὐχαριστῶ	root-parent			0		unresolved-root	==εὐχαριστῶ==	no-confirmed-topology
1corintios	1	14	C2	ἐβάπτισα	leaf	C1	subordinate	1	medium	suggested	ὅτι οὐδένα ὑμῶν ==ἐβάπτισα== εἰ μὴ κρίσπον καὶ γάϊον	context-sensitive function; keep as suggested; subordinating connector before/near target finite clause; source and target clauses available
1corintios	1	15	C1	εἴπῃ	root-parent			0		unresolved-root	ἵνα μή τις ==εἴπῃ==	no-confirmed-topology
1corintios	1	15	C2	ἐβαπτίσθητε	leaf	C1	subordinate	1	medium	suggested	ὅτι εἰς τὸ ἐμὸν ὄνομα ==ἐβαπτίσθητε==	context-sensitive function; keep as suggested; subordinating connector before/near target finite clause; source and target clauses available
1corintios	1	16	C1	ἐβάπτισα	root-parent			0		unresolved-root	==ἐβάπτισα== δὲ καὶ τὸν στεφανᾶ οἶκον λοιπὸν οὐκ	no-confirmed-topology
1corintios	1	16	C2	οἶδα	internal-node	C1	coordinate	1	medium	suggested	==οἶδα==	function follows connector inventory; coordinating connector between finite clauses; source and target clauses available; parallel-coordinate-structure-detected
1corintios	1	16	C3	ἐβάπτισα	leaf	C2	subordinate	2	medium	suggested	εἴ τινα ἄλλον ==ἐβάπτισα==	function follows connector inventory; subordinating connector before/near target finite clause; source and target clauses available
1corintios	1	17	C1	ἀπέστειλέν	root-parent			0		unresolved-root	οὐ γὰρ ==ἀπέστειλέν== με χριστὸς βαπτίζειν ἀλλὰ εὐαγγελίζεσθαι οὐκ ἐν σοφίᾳ λόγου	no-confirmed-topology
1corintios	1	17	C2	κενωθῇ	leaf	C1	coordinate	1	medium	suggested	ἵνα μὴ ==κενωθῇ== ὁ σταυρὸς τοῦ χριστοῦ	function follows connector inventory; coordinating connector between finite clauses; source and target clauses available
1corintios	1	18	C1	ἐστίν	root-parent			0		unresolved-root	ὁ λόγος γὰρ ὁ τοῦ σταυροῦ τοῖς μὲν ἀπολλυμένοις μωρία ==ἐστίν== τοῖς δὲ σῳζομένοις ἡμῖν δύναμις θεοῦ	no-confirmed-topology
1corintios	1	18	C2	ἐστιν	leaf	C1	coordinate	1	medium	suggested	==ἐστιν==	function follows connector inventory; coordinating connector between finite clauses; source and target clauses available
1corintios	1	19	C1	γέγραπται	root-parent			0		unresolved-root	==γέγραπται== γάρ	no-confirmed-topology
1corintios	1	19	C2	ἀπολῶ	leaf	C1	subordinate	1	medium	suggested	==ἀπολῶ== τὴν σοφίαν τῶν σοφῶν καὶ τὴν σύνεσιν τῶν συνετῶν	function follows connector inventory; coordinating connector between finite clauses; source and target clauses available
1corintios	1	19	C3	ἀθετήσω	root-or-unresolved			0		unresolved-root	==ἀθετήσω==	no-confirmed-topology; parallel-coordinate-structure-detected
1corintios	1	20	C1	ἐμώρανεν	root-or-unresolved			0		unresolved-root	ποῦ σοφός ποῦ γραμματεύς ποῦ συζητητὴς τοῦ αἰῶνος τούτου οὐχὶ ==ἐμώρανεν== ὁ θεὸς τὴν σοφίαν τοῦ κόσμου	no-confirmed-topology
1corintios	1	21	C1	ἔγνω	root-or-unresolved			0		unresolved-root	ἐπειδὴ γὰρ ἐν τῇ σοφίᾳ τοῦ θεοῦ οὐκ ==ἔγνω== ὁ κόσμος διὰ τῆς σοφίας τὸν θεόν	no-confirmed-topology
1corintios	1	21	C2	εὐδόκησεν	root-or-unresolved			0		unresolved-root	==εὐδόκησεν== ὁ θεὸς διὰ τῆς μωρίας τοῦ κηρύγματος σῶσαι τοὺς πιστεύοντας	no-confirmed-topology
