paso13_action_support_id	book	chapter	verse	reference	stream_index	predication_id	subject_support	verb_support	scope_support	paso9_candidate_labels	continuity_field_state	minimal_action_support	confidence	evidence	final_action_statement_assigned
P1300011	1corintios	1	11	1:11	11	1corintios-1-11-P02	unknown	εἰσιν		"[""ACLARA""]"	recovering	sujeto no resuelto — εἰσιν	low	"[""verb:εἰσιν"", ""subject:unknown"", ""field:recovering"", ""paso9:ACLARA""]"	False
P1300012	1corintios	1	12	1:12	12	1corintios-1-12-P01	implicit-1S	λέγω		"[""RAZÓN"", ""ACLARA""]"	unstable	implicit-1S — λέγω	low	"[""verb:λέγω"", ""subject:implicit-1S"", ""field:unstable"", ""paso9:RAZÓN,ACLARA""]"	False
P1300013	1corintios	1	12	1:12	13	1corintios-1-12-P02	unknown	λέγει		"[""ACLARA""]"	unstable	sujeto no resuelto — λέγει	low	"[""verb:λέγει"", ""subject:unknown"", ""field:unstable"", ""paso9:ACLARA""]"	False
P1300014	1corintios	1	12	1:12	14	1corintios-1-12-P03	implicit-1S	εἰμι		"[""RAZÓN"", ""ACLARA""]"	unstable	implicit-1S — εἰμι	low	"[""verb:εἰμι"", ""subject:implicit-1S"", ""field:unstable"", ""paso9:RAZÓN,ACLARA""]"	False
P1300015	1corintios	1	13	1:13	15	1corintios-1-13-P01	implicit-3S	μεμέρισται		"[""ACLARA""]"	unstable	implicit-3S — μεμέρισται	low	"[""verb:μεμέρισται"", ""subject:implicit-3S"", ""field:unstable"", ""paso9:ACLARA""]"	False
P1300016	1corintios	1	13	1:13	16	1corintios-1-13-P02	unknown	ἐσταυρώθη		"[""EXPONE""]"	stable	sujeto no resuelto — ἐσταυρώθη	low	"[""verb:ἐσταυρώθη"", ""subject:unknown"", ""field:stable"", ""paso9:EXPONE""]"	False
P1300017	1corintios	1	13	1:13	17	1corintios-1-13-P03	implicit-2P	ἐβαπτίσθητε		"[""ACLARA""]"	unstable	implicit-2P — ἐβαπτίσθητε	low	"[""verb:ἐβαπτίσθητε"", ""subject:implicit-2P"", ""field:unstable"", ""paso9:ACLARA""]"	False
P1300018	1corintios	1	14	1:14	18	1corintios-1-14-P01	implicit-1S	εὐχαριστῶ		"[""ACLARA""]"	unstable	implicit-1S — εὐχαριστῶ	low	"[""verb:εὐχαριστῶ"", ""subject:implicit-1S"", ""field:unstable"", ""paso9:ACLARA""]"	False
P1300019	1corintios	1	14	1:14	19	1corintios-1-14-P02	implicit-1S	ἐβάπτισα		"[""EXPONE""]"	stable	implicit-1S — ἐβάπτισα	low	"[""verb:ἐβάπτισα"", ""subject:implicit-1S"", ""field:stable"", ""paso9:EXPONE""]"	False
P1300020	1corintios	1	15	1:15	20	1corintios-1-15-P01	unknown	εἴπῃ		"[""RAZÓN"", ""ACLARA""]"	unstable	sujeto no resuelto — εἴπῃ	low	"[""verb:εἴπῃ"", ""subject:unknown"", ""field:unstable"", ""paso9:RAZÓN,ACLARA""]"	False
P1300021	1corintios	1	15	1:15	21	1corintios-1-15-P02	implicit-2P	ἐβαπτίσθητε		"[""PROPÓSITO"", ""ACLARA""]"	transitioning	implicit-2P — ἐβαπτίσθητε	low	"[""verb:ἐβαπτίσθητε"", ""subject:implicit-2P"", ""field:transitioning"", ""paso9:PROPÓSITO,ACLARA""]"	False
P1300022	1corintios	1	16	1:16	22	1corintios-1-16-P01	implicit-1S	ἐβάπτισα		"[""RAZÓN"", ""ACLARA""]"	transitioning	implicit-1S — ἐβάπτισα	low	"[""verb:ἐβάπτισα"", ""subject:implicit-1S"", ""field:transitioning"", ""paso9:RAZÓN,ACLARA""]"	False
P1300023	1corintios	1	16	1:16	23	1corintios-1-16-P02	implicit-1S	οἶδα		"[""EXPONE""]"	stable	implicit-1S — οἶδα	low	"[""verb:οἶδα"", ""subject:implicit-1S"", ""field:stable"", ""paso9:EXPONE""]"	False
P1300024	1corintios	1	16	1:16	24	1corintios-1-16-P03	implicit-1S	ἐβάπτισα		"[""EXPONE""]"	stable	implicit-1S — ἐβάπτισα	low	"[""verb:ἐβάπτισα"", ""subject:implicit-1S"", ""field:stable"", ""paso9:EXPONE""]"	False
P1300025	1corintios	1	17	1:17	25	1corintios-1-17-P01	implicit-3S	ἀπέστειλέν		"[""CONDICIÓN"", ""ACLARA""]"	transitioning	implicit-3S — ἀπέστειλέν	low	"[""verb:ἀπέστειλέν"", ""subject:implicit-3S"", ""field:transitioning"", ""paso9:CONDICIÓN,ACLARA""]"	False
P1300026	1corintios	1	17	1:17	26	1corintios-1-17-P02	implicit-3S	κενωθῇ		"[""EXPONE""]"	stable	implicit-3S — κενωθῇ	low	"[""verb:κενωθῇ"", ""subject:implicit-3S"", ""field:stable"", ""paso9:EXPONE""]"	False
P1300027	1corintios	1	18	1:18	27	1corintios-1-18-P01	unknown	ἐστίν		"[""PROPÓSITO"", ""EXPONE""]"	stable	sujeto no resuelto — ἐστίν	low	"[""verb:ἐστίν"", ""subject:unknown"", ""field:stable"", ""paso9:PROPÓSITO,EXPONE""]"	False
P1300028	1corintios	1	18	1:18	28	1corintios-1-18-P02	unknown	ἐστιν		"[""EXPONE""]"	stable	sujeto no resuelto — ἐστιν	low	"[""verb:ἐστιν"", ""subject:unknown"", ""field:stable"", ""paso9:EXPONE""]"	False
P1300029	1corintios	1	19	1:19	29	1corintios-1-19-P01	implicit-3S	γέγραπται		"[""EXPONE""]"	stable	implicit-3S — γέγραπται	low	"[""verb:γέγραπται"", ""subject:implicit-3S"", ""field:stable"", ""paso9:EXPONE""]"	False
P1300030	1corintios	1	19	1:19	30	1corintios-1-19-P02	implicit-1S	ἀπολῶ		"[""ACLARA""]"	transitioning	implicit-1S — ἀπολῶ	low	"[""verb:ἀπολῶ"", ""subject:implicit-1S"", ""field:transitioning"", ""paso9:ACLARA""]"	False
P1300031	1corintios	1	19	1:19	31	1corintios-1-19-P03	implicit-1S	ἀθετήσω		"[""EXPONE""]"	stable	implicit-1S — ἀθετήσω	low	"[""verb:ἀθετήσω"", ""subject:implicit-1S"", ""field:stable"", ""paso9:EXPONE""]"	False
P1300032	1corintios	1	20	1:20	32	1corintios-1-20-P01	unknown	ἐμώρανεν		"[""ACLARA""]"	transitioning	sujeto no resuelto — ἐμώρανεν	low	"[""verb:ἐμώρανεν"", ""subject:unknown"", ""field:transitioning"", ""paso9:ACLARA""]"	False
P1300033	1corintios	1	21	1:21	33	1corintios-1-21-P01	implicit-3S	ἔγνω		"[""EXPONE""]"	stable	implicit-3S — ἔγνω	low	"[""verb:ἔγνω"", ""subject:implicit-3S"", ""field:stable"", ""paso9:EXPONE""]"	False
P1300034	1corintios	1	21	1:21	34	1corintios-1-21-P02	unknown	εὐδόκησεν		"[""EXPONE""]"	stable	sujeto no resuelto — εὐδόκησεν	low	"[""verb:εὐδόκησεν"", ""subject:unknown"", ""field:stable"", ""paso9:EXPONE""]"	False
P1300035	1corintios	1	22	1:22	35	1corintios-1-22-P01	unknown	αἰτοῦσιν		"[""ACLARA""]"	recovering	sujeto no resuelto — αἰτοῦσιν	low	"[""verb:αἰτοῦσιν"", ""subject:unknown"", ""field:recovering"", ""paso9:ACLARA""]"	False
P1300036	1corintios	1	22	1:22	36	1corintios-1-22-P02	unknown	ζητοῦσιν		"[""EXPONE""]"	stable	sujeto no resuelto — ζητοῦσιν	low	"[""verb:ζητοῦσιν"", ""subject:unknown"", ""field:stable"", ""paso9:EXPONE""]"	False
P1300037	1corintios	1	23	1:23	37	1corintios-1-23-P01	implicit-1P	κηρύσσομεν		"[""ACLARA""]"	unstable	implicit-1P — κηρύσσομεν	low	"[""verb:κηρύσσομεν"", ""subject:implicit-1P"", ""field:unstable"", ""paso9:ACLARA""]"	False
P1300038	1corintios	1	25	1:25	38	1corintios-1-25-P01	unknown	ἐστίν		"[""ACLARA""]"	unstable	sujeto no resuelto — ἐστίν	low	"[""verb:ἐστίν"", ""subject:unknown"", ""field:unstable"", ""paso9:ACLARA""]"	False
P1300039	1corintios	1	26	1:26	39	1corintios-1-26-P01	implicit-2P	βλέπετε		"[""RAZÓN"", ""ACLARA""]"	transitioning	implicit-2P — βλέπετε	low	"[""verb:βλέπετε"", ""subject:implicit-2P"", ""field:transitioning"", ""paso9:RAZÓN,ACLARA""]"	False
P1300040	1corintios	1	27	1:27	40	1corintios-1-27-P01	implicit-3S	ἐξελέξατο		"[""ACLARA""]"	transitioning	implicit-3S — ἐξελέξατο	low	"[""verb:ἐξελέξατο"", ""subject:implicit-3S"", ""field:transitioning"", ""paso9:ACLARA""]"	False
P1300041	1corintios	1	27	1:27	41	1corintios-1-27-P02	unknown	καταισχύνῃ		"[""EXPONE""]"	stable	sujeto no resuelto — καταισχύνῃ	low	"[""verb:καταισχύνῃ"", ""subject:unknown"", ""field:stable"", ""paso9:EXPONE""]"	False
P1300042	1corintios	1	27	1:27	42	1corintios-1-27-P03	implicit-3S	ἐξελέξατο		"[""PROPÓSITO"", ""EXPONE""]"	stable	implicit-3S — ἐξελέξατο	low	"[""verb:ἐξελέξατο"", ""subject:implicit-3S"", ""field:stable"", ""paso9:PROPÓSITO,EXPONE""]"	False
P1300043	1corintios	1	27	1:27	43	1corintios-1-27-P04	unknown	καταισχύνῃ		"[""EXPONE""]"	stable	sujeto no resuelto — καταισχύνῃ	low	"[""verb:καταισχύνῃ"", ""subject:unknown"", ""field:stable"", ""paso9:EXPONE""]"	False
P1300044	1corintios	1	28	1:28	44	1corintios-1-28-P01	implicit-3S	ἐξελέξατο		"[""PROPÓSITO"", ""EXPONE""]"	stable	implicit-3S — ἐξελέξατο	low	"[""verb:ἐξελέξατο"", ""subject:implicit-3S"", ""field:stable"", ""paso9:PROPÓSITO,EXPONE""]"	False
P1300045	1corintios	1	28	1:28	45	1corintios-1-28-P02	implicit-3S	καταργήσῃ		"[""EXPONE""]"	stable	implicit-3S — καταργήσῃ	low	"[""verb:καταργήσῃ"", ""subject:implicit-3S"", ""field:stable"", ""paso9:EXPONE""]"	False
P1300046	1corintios	1	29	1:29	46	1corintios-1-29-P01	implicit-3S	καυχήσηται		"[""PROPÓSITO"", ""EXPONE""]"	stable	implicit-3S — καυχήσηται	low	"[""verb:καυχήσηται"", ""subject:implicit-3S"", ""field:stable"", ""paso9:PROPÓSITO,EXPONE""]"	False
P1300047	1corintios	1	30	1:30	47	1corintios-1-30-P01	implicit-2P	ἐστε		"[""ACLARA""]"	transitioning	implicit-2P — ἐστε	low	"[""verb:ἐστε"", ""subject:implicit-2P"", ""field:transitioning"", ""paso9:ACLARA""]"	False
P1300048	1corintios	1	30	1:30	48	1corintios-1-30-P02	unknown	ἐγενήθη		"[""ACLARA""]"	transitioning	sujeto no resuelto — ἐγενήθη	low	"[""verb:ἐγενήθη"", ""subject:unknown"", ""field:transitioning"", ""paso9:ACLARA""]"	False
P1300049	1corintios	1	31	1:31	49	1corintios-1-31-P01	implicit-3S	γέγραπται		"[""EXPONE""]"	stable	implicit-3S — γέγραπται	low	"[""verb:γέγραπται"", ""subject:implicit-3S"", ""field:stable"", ""paso9:EXPONE""]"	False
P1300050	1corintios	1	31	1:31	50	1corintios-1-31-P02	unknown	καυχάσθω		"[""PROPÓSITO"", ""ACLARA"", ""EXPONE""]"	stable	sujeto no resuelto — καυχάσθω	low	"[""verb:καυχάσθω"", ""subject:unknown"", ""field:stable"", ""paso9:PROPÓSITO,ACLARA,EXPONE""]"	False
P1300051	1corintios	2	1	2:1	51	1corintios-2-1-P01	implicit-1S	ἦλθον		"[""ACLARA""]"	transitioning	implicit-1S — ἦλθον	low	"[""verb:ἦλθον"", ""subject:implicit-1S"", ""field:transitioning"", ""paso9:ACLARA""]"	False
P1300052	1corintios	2	2	2:2	52	1corintios-2-2-P01	implicit-1S	ἔκρινά		"[""EXPONE""]"	stable	implicit-1S — ἔκρινά	low	"[""verb:ἔκρινά"", ""subject:implicit-1S"", ""field:stable"", ""paso9:EXPONE""]"	False
P1300053	1corintios	2	3	2:3	53	1corintios-2-3-P01	implicit-1S	ἐγενόμην		"[""EXPONE""]"	stable	implicit-1S — ἐγενόμην	low	"[""verb:ἐγενόμην"", ""subject:implicit-1S"", ""field:stable"", ""paso9:EXPONE""]"	False
P1300054	1corintios	2	5	2:5	54	1corintios-2-5-P01	unknown	ᾖ		"[""ACLARA""]"	unstable	sujeto no resuelto — ᾖ	low	"[""verb:ᾖ"", ""subject:unknown"", ""field:unstable"", ""paso9:ACLARA""]"	False
P1300055	1corintios	2	6	2:6	55	1corintios-2-6-P01	implicit-1P	λαλοῦμεν		"[""PROPÓSITO"", ""ACLARA""]"	transitioning	implicit-1P — λαλοῦμεν	low	"[""verb:λαλοῦμεν"", ""subject:implicit-1P"", ""field:transitioning"", ""paso9:PROPÓSITO,ACLARA""]"	False
P1300056	1corintios	2	7	2:7	56	1corintios-2-7-P01	implicit-1P	λαλοῦμεν		"[""EXPONE""]"	stable	implicit-1P — λαλοῦμεν	low	"[""verb:λαλοῦμεν"", ""subject:implicit-1P"", ""field:stable"", ""paso9:EXPONE""]"	False
P1300057	1corintios	2	7	2:7	57	1corintios-2-7-P02	implicit-3S	προώρισεν		"[""ACLARA""]"	transitioning	implicit-3S — προώρισεν	low	"[""verb:προώρισεν"", ""subject:implicit-3S"", ""field:transitioning"", ""paso9:ACLARA""]"	False
P1300058	1corintios	2	8	2:8	58	1corintios-2-8-P01	unknown	ἔγνωκεν		"[""EXPONE""]"	stable	sujeto no resuelto — ἔγνωκεν	low	"[""verb:ἔγνωκεν"", ""subject:unknown"", ""field:stable"", ""paso9:EXPONE""]"	False
P1300059	1corintios	2	8	2:8	59	1corintios-2-8-P02	implicit-3P	ἔγνωσαν		"[""ACLARA""]"	recovering	implicit-3P — ἔγνωσαν	low	"[""verb:ἔγνωσαν"", ""subject:implicit-3P"", ""field:recovering"", ""paso9:ACLARA""]"	False
P1300060	1corintios	2	8	2:8	60	1corintios-2-8-P03	implicit-3P	ἐσταύρωσαν		"[""CONDICIÓN"", ""EXPONE""]"	stable	implicit-3P — ἐσταύρωσαν	low	"[""verb:ἐσταύρωσαν"", ""subject:implicit-3P"", ""field:stable"", ""paso9:CONDICIÓN,EXPONE""]"	False
P1300061	1corintios	2	9	2:9	61	1corintios-2-9-P01	implicit-3S	γέγραπται		"[""ACLARA""]"	recovering	implicit-3S — γέγραπται	low	"[""verb:γέγραπται"", ""subject:implicit-3S"", ""field:recovering"", ""paso9:ACLARA""]"	False
P1300062	1corintios	2	9	2:9	62	1corintios-2-9-P02	unknown	εἶδεν		"[""ACLARA"", ""EXPONE""]"	stable	sujeto no resuelto — εἶδεν	low	"[""verb:εἶδεν"", ""subject:unknown"", ""field:stable"", ""paso9:ACLARA,EXPONE""]"	False
P1300063	1corintios	2	9	2:9	63	1corintios-2-9-P03	unknown	ἤκουσεν		"[""EXPONE""]"	stable	sujeto no resuelto — ἤκουσεν	low	"[""verb:ἤκουσεν"", ""subject:unknown"", ""field:stable"", ""paso9:EXPONE""]"	False
P1300064	1corintios	2	9	2:9	64	1corintios-2-9-P04	implicit-3S	ἀνέβη		"[""EXPONE""]"	stable	implicit-3S — ἀνέβη	low	"[""verb:ἀνέβη"", ""subject:implicit-3S"", ""field:stable"", ""paso9:EXPONE""]"	False
P1300065	1corintios	2	9	2:9	65	1corintios-2-9-P05	implicit-3S	ἡτοίμασεν		"[""EXPONE""]"	stable	implicit-3S — ἡτοίμασεν	low	"[""verb:ἡτοίμασεν"", ""subject:implicit-3S"", ""field:stable"", ""paso9:EXPONE""]"	False
P1300066	1corintios	2	10	2:10	66	1corintios-2-10-P01	implicit-3S	ἀπεκάλυψεν		"[""EXPONE""]"	stable	implicit-3S — ἀπεκάλυψεν	low	"[""verb:ἀπεκάλυψεν"", ""subject:implicit-3S"", ""field:stable"", ""paso9:EXPONE""]"	False
P1300067	1corintios	2	10	2:10	67	1corintios-2-10-P02	unknown	ἐραυνᾷ		"[""EXPONE""]"	stable	sujeto no resuelto — ἐραυνᾷ	low	"[""verb:ἐραυνᾷ"", ""subject:unknown"", ""field:stable"", ""paso9:EXPONE""]"	False
P1300068	1corintios	2	11	2:11	68	1corintios-2-11-P01	implicit-3S	οἶδεν		"[""EXPONE""]"	stable	implicit-3S — οἶδεν	low	"[""verb:οἶδεν"", ""subject:implicit-3S"", ""field:stable"", ""paso9:EXPONE""]"	False
P1300069	1corintios	2	11	2:11	69	1corintios-2-11-P02	unknown	ἔγνωκεν		"[""EXPONE""]"	stable	sujeto no resuelto — ἔγνωκεν	low	"[""verb:ἔγνωκεν"", ""subject:unknown"", ""field:stable"", ""paso9:EXPONE""]"	False
P1300070	1corintios	2	12	2:12	70	1corintios-2-12-P01	implicit-1P	ἐλάβομεν		"[""CONDICIÓN"", ""ACLARA""]"	transitioning	implicit-1P — ἐλάβομεν	low	"[""verb:ἐλάβομεν"", ""subject:implicit-1P"", ""field:transitioning"", ""paso9:CONDICIÓN,ACLARA""]"	False
P1300071	1corintios	2	12	2:12	71	1corintios-2-12-P02	implicit-1P	εἰδῶμεν		"[""EXPONE""]"	stable	implicit-1P — εἰδῶμεν	low	"[""verb:εἰδῶμεν"", ""subject:implicit-1P"", ""field:stable"", ""paso9:EXPONE""]"	False
P1300072	1corintios	2	13	2:13	72	1corintios-2-13-P01	implicit-1P	λαλοῦμεν		"[""PROPÓSITO"", ""EXPONE""]"	stable	implicit-1P — λαλοῦμεν	low	"[""verb:λαλοῦμεν"", ""subject:implicit-1P"", ""field:stable"", ""paso9:PROPÓSITO,EXPONE""]"	False
P1300073	1corintios	2	14	2:14	73	1corintios-2-14-P01	unknown	δέχεται		"[""ACLARA""]"	transitioning	sujeto no resuelto — δέχεται	low	"[""verb:δέχεται"", ""subject:unknown"", ""field:transitioning"", ""paso9:ACLARA""]"	False
P1300074	1corintios	2	14	2:14	74	1corintios-2-14-P02	implicit-3S	ἐστίν		"[""EXPONE""]"	stable	implicit-3S — ἐστίν	low	"[""verb:ἐστίν"", ""subject:implicit-3S"", ""field:stable"", ""paso9:EXPONE""]"	False
P1300075	1corintios	2	14	2:14	75	1corintios-2-14-P03	implicit-3S	δύναται		"[""EXPONE""]"	stable	implicit-3S — δύναται	low	"[""verb:δύναται"", ""subject:implicit-3S"", ""field:stable"", ""paso9:EXPONE""]"	False
P1300076	1corintios	2	14	2:14	76	1corintios-2-14-P04	implicit-3S	ἀνακρίνεται		"[""EXPONE""]"	stable	implicit-3S — ἀνακρίνεται	low	"[""verb:ἀνακρίνεται"", ""subject:implicit-3S"", ""field:stable"", ""paso9:EXPONE""]"	False
P1300077	1corintios	2	15	2:15	77	1corintios-2-15-P01	unknown	ἀνακρίνει		"[""RAZÓN"", ""ACLARA"", ""EXPONE""]"	stable	sujeto no resuelto — ἀνακρίνει	low	"[""verb:ἀνακρίνει"", ""subject:unknown"", ""field:stable"", ""paso9:RAZÓN,ACLARA,EXPONE""]"	False
P1300078	1corintios	2	15	2:15	78	1corintios-2-15-P02	implicit-3S	ἀνακρίνεται		"[""EXPONE""]"	stable	implicit-3S — ἀνακρίνεται	low	"[""verb:ἀνακρίνεται"", ""subject:implicit-3S"", ""field:stable"", ""paso9:EXPONE""]"	False
P1300079	1corintios	2	16	2:16	79	1corintios-2-16-P01	implicit-3S	ἔγνω		"[""EXPONE""]"	stable	implicit-3S — ἔγνω	low	"[""verb:ἔγνω"", ""subject:implicit-3S"", ""field:stable"", ""paso9:EXPONE""]"	False
P1300080	1corintios	2	16	2:16	80	1corintios-2-16-P02	unknown	συμβιβάσει		"[""EXPONE""]"	stable	sujeto no resuelto — συμβιβάσει	low	"[""verb:συμβιβάσει"", ""subject:unknown"", ""field:stable"", ""paso9:EXPONE""]"	False
P1300081	1corintios	2	16	2:16	81	1corintios-2-16-P03	implicit-1P	ἔχομεν		"[""ACLARA""]"	unstable	implicit-1P — ἔχομεν	low	"[""verb:ἔχομεν"", ""subject:implicit-1P"", ""field:unstable"", ""paso9:ACLARA""]"	False
P1300082	1corintios	3	1	3:1	82	1corintios-3-1-P01	implicit-1S	ἠδυνήθην		"[""ACLARA""]"	recovering	implicit-1S — ἠδυνήθην	low	"[""verb:ἠδυνήθην"", ""subject:implicit-1S"", ""field:recovering"", ""paso9:ACLARA""]"	False
P1300083	1corintios	3	2	3:2	83	1corintios-3-2-P01	implicit-1S	ἐπότισα		"[""EXPONE""]"	stable	implicit-1S — ἐπότισα	low	"[""verb:ἐπότισα"", ""subject:implicit-1S"", ""field:stable"", ""paso9:EXPONE""]"	False
P1300084	1corintios	3	2	3:2	84	1corintios-3-2-P02	implicit-2P	ἐδύνασθε		"[""ACLARA""]"	transitioning	implicit-2P — ἐδύνασθε	low	"[""verb:ἐδύνασθε"", ""subject:implicit-2P"", ""field:transitioning"", ""paso9:ACLARA""]"	False
P1300085	1corintios	3	2	3:2	85	1corintios-3-2-P03	implicit-2P	δύνασθε		"[""EXPONE""]"	stable	implicit-2P — δύνασθε	low	"[""verb:δύνασθε"", ""subject:implicit-2P"", ""field:stable"", ""paso9:EXPONE""]"	False
P1300086	1corintios	3	3	3:3	86	1corintios-3-3-P01	implicit-2P	ἐστε		"[""EXPONE""]"	stable	implicit-2P — ἐστε	low	"[""verb:ἐστε"", ""subject:implicit-2P"", ""field:stable"", ""paso9:EXPONE""]"	False
P1300087	1corintios	3	3	3:3	87	1corintios-3-3-P02	implicit-2P	ἐστε		"[""EXPONE""]"	stable	implicit-2P — ἐστε	low	"[""verb:ἐστε"", ""subject:implicit-2P"", ""field:stable"", ""paso9:EXPONE""]"	False
P1300088	1corintios	3	3	3:3	88	1corintios-3-3-P03	implicit-2P	περιπατεῖτε		"[""EXPONE""]"	stable	implicit-2P — περιπατεῖτε	low	"[""verb:περιπατεῖτε"", ""subject:implicit-2P"", ""field:stable"", ""paso9:EXPONE""]"	False
P1300089	1corintios	3	4	3:4	89	1corintios-3-4-P01	implicit-3S	λέγῃ		"[""ACLARA""]"	unstable	implicit-3S — λέγῃ	low	"[""verb:λέγῃ"", ""subject:implicit-3S"", ""field:unstable"", ""paso9:ACLARA""]"	False
P1300090	1corintios	3	4	3:4	90	1corintios-3-4-P02	implicit-1S	εἰμι		"[""ACLARA""]"	unstable	implicit-1S — εἰμι	low	"[""verb:εἰμι"", ""subject:implicit-1S"", ""field:unstable"", ""paso9:ACLARA""]"	False
P1300091	1corintios	3	4	3:4	91	1corintios-3-4-P03	implicit-2P	ἐστε		"[""ACLARA""]"	unstable	implicit-2P — ἐστε	low	"[""verb:ἐστε"", ""subject:implicit-2P"", ""field:unstable"", ""paso9:ACLARA""]"	False
P1300092	1corintios	3	5	3:5	92	1corintios-3-5-P01	implicit-3S	ἐστιν		"[""ACLARA""]"	unstable	implicit-3S — ἐστιν	low	"[""verb:ἐστιν"", ""subject:implicit-3S"", ""field:unstable"", ""paso9:ACLARA""]"	False
P1300093	1corintios	3	5	3:5	93	1corintios-3-5-P02	implicit-3S	ἐστιν		"[""EXPONE""]"	stable	implicit-3S — ἐστιν	low	"[""verb:ἐστιν"", ""subject:implicit-3S"", ""field:stable"", ""paso9:EXPONE""]"	False
P1300094	1corintios	3	5	3:5	94	1corintios-3-5-P03	implicit-2P	ἐπιστεύσατε		"[""ACLARA""]"	unstable	implicit-2P — ἐπιστεύσατε	low	"[""verb:ἐπιστεύσατε"", ""subject:implicit-2P"", ""field:unstable"", ""paso9:ACLARA""]"	False
P1300095	1corintios	3	5	3:5	95	1corintios-3-5-P04	unknown	ἔδωκεν		"[""ACLARA""]"	unstable	sujeto no resuelto — ἔδωκεν	low	"[""verb:ἔδωκεν"", ""subject:unknown"", ""field:unstable"", ""paso9:ACLARA""]"	False
P1300096	1corintios	3	6	3:6	96	1corintios-3-6-P01	implicit-1S	ἐφύτευσα		"[""ACLARA""]"	transitioning	implicit-1S — ἐφύτευσα	low	"[""verb:ἐφύτευσα"", ""subject:implicit-1S"", ""field:transitioning"", ""paso9:ACLARA""]"	False
P1300097	1corintios	3	6	3:6	97	1corintios-3-6-P02	unknown	ἐπότισεν		"[""ACLARA""]"	transitioning	sujeto no resuelto — ἐπότισεν	low	"[""verb:ἐπότισεν"", ""subject:unknown"", ""field:transitioning"", ""paso9:ACLARA""]"	False
P1300098	1corintios	3	6	3:6	98	1corintios-3-6-P03	unknown	ηὔξανεν		"[""EXPONE""]"	stable	sujeto no resuelto — ηὔξανεν	low	"[""verb:ηὔξανεν"", ""subject:unknown"", ""field:stable"", ""paso9:EXPONE""]"	False
P1300099	1corintios	3	7	3:7	99	1corintios-3-7-P01	unknown	ἐστίν		"[""RESULTADO"", ""EXPONE""]"	stable	sujeto no resuelto — ἐστίν	low	"[""verb:ἐστίν"", ""subject:unknown"", ""field:stable"", ""paso9:RESULTADO,EXPONE""]"	False
