stream_index	book	chapter	verse	predication_id	finite_verb	finite_compact	subject_person	subject_number	subject_status	subject_source	subject_refinement_status	subject_refinement_source	subject_inherited_from	independence_status	subordination_status
77	1corintios	2	15	1corintios-2-15-P01	ἀνακρίνει	V-PAI-3S	3	S	candidate	nearest_agreeing_nominative_no_visible_boundary	inherited	inheritance_allowed	1corintios-2-14-P03	candidate	not_detected
78	1corintios	2	15	1corintios-2-15-P02	ἀνακρίνεται	V-PPI-3S	3	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
79	1corintios	2	16	1corintios-2-16-P01	ἔγνω	V-AAI-3S	3	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
80	1corintios	2	16	1corintios-2-16-P02	συμβιβάσει	V-FAI-3S	3	S	candidate	nearest_agreeing_nominative_no_visible_boundary	inherited	inheritance_allowed	1corintios-2-16-P01	candidate	not_detected
81	1corintios	2	16	1corintios-2-16-P03	ἔχομεν	V-PAI-1P	1	P	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
82	1corintios	3	1	1corintios-3-1-P01	ἠδυνήθην	V-API-1S	1	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
83	1corintios	3	2	1corintios-3-2-P01	ἐπότισα	V-AAI-1S	1	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
84	1corintios	3	2	1corintios-3-2-P02	ἐδύνασθε	V-IMI-2P	2	P	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
85	1corintios	3	2	1corintios-3-2-P03	δύνασθε	V-PMI-2P	2	P	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
86	1corintios	3	3	1corintios-3-3-P01	ἐστε	V-PAI-2P	2	P	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
87	1corintios	3	3	1corintios-3-3-P02	ἐστε	V-PAI-2P	2	P	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
88	1corintios	3	3	1corintios-3-3-P03	περιπατεῖτε	V-PAI-2P	2	P	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
89	1corintios	3	4	1corintios-3-4-P01	λέγῃ	V-PAS-3S	3	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		unresolved	candidate
90	1corintios	3	4	1corintios-3-4-P02	εἰμι	V-PAI-1S	1	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
91	1corintios	3	4	1corintios-3-4-P03	ἐστε	V-PAI-2P	2	P	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
92	1corintios	3	5	1corintios-3-5-P01	ἐστιν	V-PAI-3S	3	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
93	1corintios	3	5	1corintios-3-5-P02	ἐστιν	V-PAI-3S	3	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
94	1corintios	3	5	1corintios-3-5-P03	ἐπιστεύσατε	V-AAI-2P	2	P	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
95	1corintios	3	5	1corintios-3-5-P04	ἔδωκεν	V-AAI-3S			candidate	nearest_agreeing_nominative_no_visible_boundary	unresolved	no_valid_inheritance		unresolved	candidate
96	1corintios	3	6	1corintios-3-6-P01	ἐφύτευσα	V-AAI-1S	1	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
97	1corintios	3	6	1corintios-3-6-P02	ἐπότισεν	V-AAI-3S	1	S	candidate	nearest_agreeing_nominative_no_visible_boundary	inherited	inheritance_allowed	1corintios-3-6-P01	candidate	not_detected
98	1corintios	3	6	1corintios-3-6-P03	ηὔξανεν	V-IAI-3S	1	S	candidate	nearest_agreeing_nominative_no_visible_boundary	inherited	inheritance_allowed	1corintios-3-6-P02	candidate	not_detected
99	1corintios	3	7	1corintios-3-7-P01	ἐστίν	V-PAI-3S			candidate	nearest_agreeing_nominative_no_visible_boundary	unresolved	no_valid_inheritance		unresolved	candidate
