structural_regime_id	group_index	book	start_stream_index	end_stream_index	start_reference	end_reference	record_count	total_structural_weight	movement_class_counts	movement_status_counts	first_predication_id	last_predication_id	first_finite_verb	last_finite_verb
SR0348	348	1corintios	785	787	14:20	14:20	3	8	"{""stable"": 2, ""structural"": 1}"	"{""none"": 2, ""strong"": 1}"	1corintios-14-20-P01	1corintios-14-20-P03	γίνεσθε	γίνεσθε
SR0349	349	1corintios	788	788	14:21	14:21	1	6	"{""structural"": 1}"	"{""strong"": 1}"	1corintios-14-21-P01	1corintios-14-21-P01	γέγραπται	γέγραπται
SR0350	350	1corintios	789	789	14:21	14:21	1	6	"{""structural"": 1}"	"{""strong"": 1}"	1corintios-14-21-P02	1corintios-14-21-P02	λαλήσω	λαλήσω
SR0351	351	1corintios	790	790	14:21	14:21	1	8	"{""structural"": 1}"	"{""strong"": 1}"	1corintios-14-21-P03	1corintios-14-21-P03	εἰσακούσονταί	εἰσακούσονταί
SR0352	352	1corintios	791	791	14:21	14:21	1	4	"{""structural"": 1}"	"{""candidate"": 1}"	1corintios-14-21-P04	1corintios-14-21-P04	λέγει	λέγει
SR0353	353	1corintios	792	792	14:22	14:22	1	6	"{""structural"": 1}"	"{""strong"": 1}"	1corintios-14-22-P01	1corintios-14-22-P01	εἰσιν	εἰσιν
SR0354	354	1corintios	793	793	14:23	14:23	1	4	"{""structural"": 1}"	"{""candidate"": 1}"	1corintios-14-23-P01	1corintios-14-23-P01	συνέλθῃ	συνέλθῃ
SR0355	355	1corintios	794	796	14:23	14:23	3	6	"{""stable"": 2, ""structural"": 1}"	"{""none"": 2, ""strong"": 1}"	1corintios-14-23-P02	1corintios-14-23-P04	λαλῶσιν	ἐροῦσιν
SR0356	356	1corintios	797	797	14:23	14:23	1	6	"{""structural"": 1}"	"{""strong"": 1}"	1corintios-14-23-P05	1corintios-14-23-P05	μαίνεσθε	μαίνεσθε
SR0357	357	1corintios	798	798	14:24	14:24	1	4	"{""structural"": 1}"	"{""candidate"": 1}"	1corintios-14-24-P01	1corintios-14-24-P01	προφητεύωσιν	προφητεύωσιν
SR0358	358	1corintios	799	805	14:24	14:26	7	10	"{""stable"": 4, ""structural"": 1, ""turbulence"": 2}"	"{""candidate"": 2, ""none"": 4, ""strong"": 1}"	1corintios-14-24-P02	1corintios-14-26-P01	εἰσέλθῃ	ἐστιν
SR0359	359	1corintios	806	806	14:26	14:26	1	8	"{""structural"": 1}"	"{""strong"": 1}"	1corintios-14-26-P02	1corintios-14-26-P02	συνέρχησθε	συνέρχησθε
SR0360	360	1corintios	807	817	14:26	14:28	11	12	"{""stable"": 8, ""structural"": 1, ""turbulence"": 2}"	"{""candidate"": 2, ""none"": 8, ""strong"": 1}"	1corintios-14-26-P03	1corintios-14-28-P03	ἔχει	λαλείτω
SR0361	361	1corintios	818	819	14:29	14:29	2	4	"{""stable"": 1, ""structural"": 1}"	"{""candidate"": 1, ""none"": 1}"	1corintios-14-29-P01	1corintios-14-29-P02	λαλείτωσαν	διακρινέτωσαν
SR0362	362	1corintios	820	821	14:30	14:30	2	8	"{""structural"": 1, ""turbulence"": 1}"	"{""candidate"": 1, ""strong"": 1}"	1corintios-14-30-P01	1corintios-14-30-P02	ἀποκαλυφθῇ	σιγάτω
SR0363	363	1corintios	822	822	14:31	14:31	1	6	"{""structural"": 1}"	"{""strong"": 1}"	1corintios-14-31-P01	1corintios-14-31-P01	δύνασθε	δύνασθε
SR0364	364	1corintios	823	824	14:31	14:31	2	8	"{""structural"": 1, ""turbulence"": 1}"	"{""candidate"": 1, ""strong"": 1}"	1corintios-14-31-P02	1corintios-14-31-P03	μανθάνωσιν	παρακαλῶνται
SR0365	365	1corintios	825	826	14:32	14:33	2	4	"{""stable"": 1, ""structural"": 1}"	"{""candidate"": 1, ""none"": 1}"	1corintios-14-32-P01	1corintios-14-33-P01	ὑποτάσσεται	ἐστιν
SR0366	366	1corintios	827	827	14:34	14:34	1	4	"{""structural"": 1}"	"{""candidate"": 1}"	1corintios-14-34-P01	1corintios-14-34-P01	σιγάτωσαν	σιγάτωσαν
SR0367	367	1corintios	828	828	14:34	14:34	1	4	"{""structural"": 1}"	"{""candidate"": 1}"	1corintios-14-34-P02	1corintios-14-34-P02	ἐπιτρέπεται	ἐπιτρέπεται
SR0368	368	1corintios	829	829	14:34	14:34	1	4	"{""structural"": 1}"	"{""candidate"": 1}"	1corintios-14-34-P03	1corintios-14-34-P03	ὑποτασσέσθωσαν	ὑποτασσέσθωσαν
SR0369	369	1corintios	830	830	14:34	14:34	1	6	"{""structural"": 1}"	"{""strong"": 1}"	1corintios-14-34-P04	1corintios-14-34-P04	λέγει	λέγει
SR0370	370	1corintios	831	832	14:35	14:35	2	6	"{""structural"": 1, ""turbulence"": 1}"	"{""candidate"": 2}"	1corintios-14-35-P01	1corintios-14-35-P02	θέλουσιν	ἐπερωτάτωσαν
SR0371	371	1corintios	833	837	14:35	14:37	5	8	"{""stable"": 2, ""structural"": 1, ""turbulence"": 2}"	"{""candidate"": 3, ""none"": 2}"	1corintios-14-35-P03	1corintios-14-37-P02	ἐστιν	ἐπιγινωσκέτω
SR0372	372	1corintios	838	838	14:37	14:37	1	4	"{""structural"": 1}"	"{""candidate"": 1}"	1corintios-14-37-P03	1corintios-14-37-P03	γράφω	γράφω
SR0373	373	1corintios	839	841	14:37	14:38	3	8	"{""stable"": 1, ""structural"": 1, ""turbulence"": 1}"	"{""candidate"": 1, ""none"": 1, ""strong"": 1}"	1corintios-14-37-P04	1corintios-14-38-P02	ἐστίν	ἀγνοεῖται
SR0374	374	1corintios	842	843	14:39	14:39	2	10	"{""structural"": 1, ""turbulence"": 1}"	"{""candidate"": 1, ""strong"": 1}"	1corintios-14-39-P01	1corintios-14-39-P02	ζηλοῦτε	κωλύετε
SR0375	375	1corintios	844	844	14:40	14:40	1	6	"{""structural"": 1}"	"{""strong"": 1}"	1corintios-14-40-P01	1corintios-14-40-P01	γινέσθω	γινέσθω
SR0376	376	1corintios	845	846	15:1	15:1	2	4	"{""stable"": 1, ""structural"": 1}"	"{""candidate"": 1, ""none"": 1}"	1corintios-15-1-P01	1corintios-15-1-P02	γνωρίζω	εὐηγγελισάμην
SR0377	377	1corintios	847	849	15:1	15:2	3	6	"{""stable"": 2, ""structural"": 1}"	"{""none"": 2, ""strong"": 1}"	1corintios-15-1-P03	1corintios-15-2-P01	παρελάβετε	σῴζεσθε
SR0378	378	1corintios	850	850	15:2	15:2	1	6	"{""structural"": 1}"	"{""strong"": 1}"	1corintios-15-2-P02	1corintios-15-2-P02	εὐηγγελισάμην	εὐηγγελισάμην
SR0379	379	1corintios	851	852	15:2	15:2	2	8	"{""stable"": 1, ""structural"": 1}"	"{""none"": 1, ""strong"": 1}"	1corintios-15-2-P03	1corintios-15-2-P04	κατέχετε	ἐπιστεύσατε
SR0380	380	1corintios	853	854	15:3	15:3	2	8	"{""stable"": 1, ""structural"": 1}"	"{""none"": 1, ""strong"": 1}"	1corintios-15-3-P01	1corintios-15-3-P02	παρέδωκα	παρέλαβον
SR0381	381	1corintios	855	859	15:3	15:6	5	8	"{""stable"": 3, ""structural"": 1, ""turbulence"": 1}"	"{""candidate"": 1, ""none"": 3, ""strong"": 1}"	1corintios-15-3-P03	1corintios-15-6-P01	ἀπέθανεν	ὤφθη
SR0382	382	1corintios	860	861	15:6	15:6	2	4	"{""stable"": 1, ""structural"": 1}"	"{""candidate"": 1, ""none"": 1}"	1corintios-15-6-P02	1corintios-15-6-P03	μένουσιν	ἐκοιμήθησαν
SR0383	383	1corintios	862	863	15:7	15:8	2	4	"{""stable"": 1, ""structural"": 1}"	"{""candidate"": 1, ""none"": 1}"	1corintios-15-7-P01	1corintios-15-8-P01	ὤφθη	ὤφθη
SR0384	384	1corintios	864	868	15:9	15:10	5	4	"{""stable"": 4, ""structural"": 1}"	"{""candidate"": 1, ""none"": 4}"	1corintios-15-9-P01	1corintios-15-10-P02	εἰμι	εἰμι
SR0385	385	1corintios	869	869	15:10	15:10	1	4	"{""structural"": 1}"	"{""candidate"": 1}"	1corintios-15-10-P03	1corintios-15-10-P03	ἐγενήθη	ἐγενήθη
SR0386	386	1corintios	870	870	15:10	15:10	1	4	"{""structural"": 1}"	"{""candidate"": 1}"	1corintios-15-10-P04	1corintios-15-10-P04	ἐκοπίασα	ἐκοπίασα
SR0387	387	1corintios	871	871	15:11	15:11	1	4	"{""structural"": 1}"	"{""candidate"": 1}"	1corintios-15-11-P01	1corintios-15-11-P01	κηρύσσομεν	κηρύσσομεν
SR0388	388	1corintios	872	872	15:11	15:11	1	4	"{""structural"": 1}"	"{""candidate"": 1}"	1corintios-15-11-P02	1corintios-15-11-P02	ἐπιστεύσατε	ἐπιστεύσατε
SR0389	389	1corintios	873	874	15:12	15:12	2	8	"{""stable"": 1, ""structural"": 1}"	"{""none"": 1, ""strong"": 1}"	1corintios-15-12-P01	1corintios-15-12-P02	κηρύσσεται	ἐγήγερται
SR0390	390	1corintios	875	875	15:12	15:12	1	6	"{""structural"": 1}"	"{""strong"": 1}"	1corintios-15-12-P03	1corintios-15-12-P03	λέγουσιν	λέγουσιν
SR0391	391	1corintios	876	879	15:12	15:14	4	10	"{""stable"": 1, ""structural"": 1, ""turbulence"": 2}"	"{""candidate"": 2, ""none"": 1, ""strong"": 1}"	1corintios-15-12-P04	1corintios-15-14-P01	ἔστιν	ἐγήγερται
SR0392	392	1corintios	880	881	15:15	15:15	2	10	"{""structural"": 1, ""turbulence"": 1}"	"{""candidate"": 1, ""strong"": 1}"	1corintios-15-15-P01	1corintios-15-15-P02	εὑρισκόμεθα	ἐμαρτυρήσαμεν
SR0393	393	1corintios	882	883	15:15	15:15	2	8	"{""structural"": 1, ""turbulence"": 1}"	"{""candidate"": 1, ""strong"": 1}"	1corintios-15-15-P03	1corintios-15-15-P04	ἤγειρεν	ἤγειρεν
SR0394	394	1corintios	884	885	15:15	15:16	2	6	"{""structural"": 1, ""turbulence"": 1}"	"{""candidate"": 2}"	1corintios-15-15-P05	1corintios-15-16-P01	ἐγείρονται	ἐγείρονται
SR0395	395	1corintios	886	887	15:16	15:17	2	8	"{""structural"": 1, ""turbulence"": 1}"	"{""candidate"": 1, ""strong"": 1}"	1corintios-15-16-P02	1corintios-15-17-P01	ἐγήγερται	ἐγήγερται
SR0396	396	1corintios	888	888	15:17	15:17	1	8	"{""structural"": 1}"	"{""strong"": 1}"	1corintios-15-17-P02	1corintios-15-17-P02	ἐστὲ	ἐστὲ
SR0397	397	1corintios	889	889	15:18	15:18	1	4	"{""structural"": 1}"	"{""candidate"": 1}"	1corintios-15-18-P01	1corintios-15-18-P01	ἀπώλοντο	ἀπώλοντο
SR0398	398	1corintios	890	891	15:19	15:19	2	8	"{""structural"": 1, ""turbulence"": 1}"	"{""candidate"": 1, ""strong"": 1}"	1corintios-15-19-P01	1corintios-15-19-P02	ἐσμὲν	ἐσμέν
SR0399	399	1corintios	892	892	15:20	15:20	1	6	"{""structural"": 1}"	"{""strong"": 1}"	1corintios-15-20-P01	1corintios-15-20-P01	ἐγήγερται	ἐγήγερται
SR0400	400	1corintios	893	894	15:22	15:22	2	4	"{""stable"": 1, ""structural"": 1}"	"{""candidate"": 1, ""none"": 1}"	1corintios-15-22-P01	1corintios-15-22-P02	ἀποθνῄσκουσιν	ζῳοποιηθήσονται
SR0401	401	1corintios	895	905	15:24	15:28	11	14	"{""stable"": 6, ""structural"": 1, ""turbulence"": 4}"	"{""candidate"": 4, ""none"": 6, ""strong"": 1}"	1corintios-15-24-P01	1corintios-15-28-P03	παραδιδῷ	ᾖ
SR0402	402	1corintios	906	908	15:29	15:29	3	6	"{""stable"": 1, ""structural"": 1, ""turbulence"": 1}"	"{""candidate"": 2, ""none"": 1}"	1corintios-15-29-P01	1corintios-15-29-P03	ποιήσουσιν	βαπτίζονται
SR0403	403	1corintios	909	909	15:30	15:30	1	4	"{""structural"": 1}"	"{""candidate"": 1}"	1corintios-15-30-P01	1corintios-15-30-P01	κινδυνεύομεν	κινδυνεύομεν
SR0404	404	1corintios	910	912	15:31	15:32	3	6	"{""stable"": 1, ""structural"": 1, ""turbulence"": 1}"	"{""candidate"": 2, ""none"": 1}"	1corintios-15-31-P01	1corintios-15-32-P01	ἀποθνῄσκω	ἐθηριομάχησα
SR0405	405	1corintios	913	913	15:32	15:32	1	6	"{""structural"": 1}"	"{""strong"": 1}"	1corintios-15-32-P02	1corintios-15-32-P02	ἐγείρονται	ἐγείρονται
