BOOK	CH	VS	CLAUSE_ID	FINITE_G_IDX	FINITE_GREEK	FINITE_LEMMA	FINITE_RMAC	SPAN_START	SPAN_END	SPAN_GIDX	SPAN_TEXT	SPAN_STATUS	BOUNDARY_NOTES
1corintios	1	27	C1	06	ἐξελέξατο	ἐκλέγομαι	V-AMI-3S	01	08	01,02,03,04,05,06,07,08	ἀλλὰ τὰ μωρὰ τοῦ κόσμου ==ἐξελέξατο== ὁ θεός	suggested-span	neutral finite-anchor region
1corintios	1	27	C2	10	καταισχύνῃ	καταισχύνω	V-PAS-3S	09	17	09,10,11,12,13,14,15,16,17	ἵνα ==καταισχύνῃ== τοὺς σοφούς καὶ τὰ ἀσθενῆ τοῦ κόσμου	suggested-span	migrated subordinate connector ἵνα
1corintios	1	27	C3	18	ἐξελέξατο	ἐκλέγομαι	V-AMI-3S	18	20	18,19,20	==ἐξελέξατο== ὁ θεός	suggested-span	neutral finite-anchor region
1corintios	1	27	C4	22	καταισχύνῃ	καταισχύνω	V-PAS-3S	21	24	21,22,23,24	ἵνα ==καταισχύνῃ== τὰ ἰσχυρά	suggested-span	migrated subordinate connector ἵνα
1corintios	1	28	C1	09	ἐξελέξατο	ἐκλέγομαι	V-AMI-3S	01	17	01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17	καὶ τὰ ἀγενῆ τοῦ κόσμου καὶ τὰ ἐξουθενημένα ==ἐξελέξατο== ὁ θεός τὰ μὴ ὄντα ἵνα τὰ ὄντα	suggested-span	neutral finite-anchor region
1corintios	1	28	C2	18	καταργήσῃ	καταργέω	V-AAS-3S	18	18	18	==καταργήσῃ==	suggested-span	neutral finite-anchor region
1corintios	1	29	C1	03	καυχήσηται	καυχάομαι	V-AMS-3S	01	08	01,02,03,04,05,06,07,08	ὅπως μὴ ==καυχήσηται== πᾶσα σὰρξ ἐνώπιον τοῦ θεοῦ	suggested-span	neutral finite-anchor region
1corintios	1	30	C1	05	ἐστε	εἰμί	V-PAI-2P	01	09	01,02,03,04,05,06,07,08,09	ἐξ αὐτοῦ δὲ ὑμεῖς ==ἐστε== ἐν χριστῷ ἰησοῦ ὃς	suggested-span	neutral finite-anchor region
1corintios	1	30	C2	10	ἐγενήθη	γίνομαι	V-API-3S	10	20	10,11,12,13,14,15,16,17,18,19,20	==ἐγενήθη== σοφία ἡμῖν ἀπὸ θεοῦ δικαιοσύνη τε καὶ ἁγιασμὸς καὶ ἀπολύτρωσις	suggested-span	neutral finite-anchor region
1corintios	1	31	C1	03	γέγραπται	γράφω	V-XPI-3S	01	07	01,02,03,04,05,06,07	ἵνα καθὼς ==γέγραπται== ὁ καυχώμενος ἐν κυρίῳ	suggested-span	neutral finite-anchor region
1corintios	1	31	C2	08	καυχάσθω	καυχάομαι	V-PMD-3S	08	08	08	==καυχάσθω==	suggested-span	neutral finite-anchor region
1corintios	1	4	C1	01	εὐχαριστῶ	εὐχαριστέω	V-PAI-1S	01	18	01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18	==εὐχαριστῶ== τῷ θεῷ μου πάντοτε περὶ ὑμῶν ἐπὶ τῇ χάριτι τοῦ θεοῦ τῇ δοθείσῃ ὑμῖν ἐν χριστῷ ἰησοῦ	suggested-span	neutral finite-anchor region
1corintios	1	5	C1	04	ἐπλουτίσθητε	πλουτίζω	V-API-2P	01	12	01,02,03,04,05,06,07,08,09,10,11,12	ὅτι ἐν παντὶ ==ἐπλουτίσθητε== ἐν αὐτῷ ἐν παντὶ λόγῳ καὶ πάσῃ γνώσει	suggested-span	neutral finite-anchor region
1corintios	1	6	C1	06	ἐβεβαιώθη	βεβαιόω	V-API-3S	01	08	01,02,03,04,05,06,07,08	καθὼς τὸ μαρτύριον τοῦ χριστοῦ ==ἐβεβαιώθη== ἐν ὑμῖν	suggested-span	neutral finite-anchor region
1corintios	1	8	C1	03	βεβαιώσει	βεβαιόω	V-FAI-3S	01	15	01,02,03,04,05,06,07,08,09,10,11,12,13,14,15	ὃς καὶ ==βεβαιώσει== ὑμᾶς ἕως τέλους ἀνεγκλήτους ἐν τῇ ἡμέρᾳ τοῦ κυρίου ἡμῶν ἰησοῦ χριστοῦ	suggested-span	neutral finite-anchor region
1corintios	1	9	C1	06	ἐκλήθητε	καλέω	V-API-2P	01	16	01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16	πιστὸς ὁ θεὸς διʼ οὗ ==ἐκλήθητε== εἰς κοινωνίαν τοῦ υἱοῦ αὐτοῦ ἰησοῦ χριστοῦ τοῦ κυρίου ἡμῶν	suggested-span	neutral finite-anchor region
1corintios	10	1	C1	02	θέλω	θέλω	V-PAI-1S	01	14	01,02,03,04,05,06,07,08,09,10,11,12,13,14	οὐ ==θέλω== γὰρ ὑμᾶς ἀγνοεῖν ἀδελφοί ὅτι οἱ πατέρες ἡμῶν πάντες ὑπὸ τὴν νεφέλην	suggested-span	neutral finite-anchor region
1corintios	10	1	C2	15	ἦσαν	εἰμί	V-IAI-3P	15	20	15,16,17,18,19,20	==ἦσαν== καὶ πάντες διὰ τῆς θαλάσσης	suggested-span	neutral finite-anchor region
1corintios	10	1	C3	21	διῆλθον	διέρχομαι	V-AAI-3P	21	21	21	==διῆλθον==	suggested-span	neutral finite-anchor region
1corintios	10	10	C1	02	γογγύζετε	γογγύζω	V-PAD-2P	01	05	01,02,03,04,05	μηδὲ ==γογγύζετε== καθάπερ τινὲς αὐτῶν	suggested-span	neutral finite-anchor region
1corintios	10	10	C2	06	ἐγόγγυσαν	γογγύζω	V-AAI-3P	06	07	06,07	==ἐγόγγυσαν== καὶ	suggested-span	neutral finite-anchor region
