structural_regime_id	group_index	book	start_stream_index	end_stream_index	start_reference	end_reference	record_count	total_structural_weight	movement_class_counts	movement_status_counts	first_predication_id	last_predication_id	first_finite_verb	last_finite_verb
SR0214	214	1corintios	638	639	11:34	11:34	2	6	"{""structural"": 1, ""turbulence"": 1}"	"{""candidate"": 2}"	1corintios-11-34-P04	1corintios-11-34-P05	ἔλθω	διατάξομαι
SR0215	215	1corintios	640	640	12:1	12:1	1	0	"{""stable"": 1}"	"{""none"": 1}"	1corintios-12-1-P01	1corintios-12-1-P01	θέλω	θέλω
SR0216	216	1corintios	641	643	12:2	12:2	3	6	"{""stable"": 1, ""structural"": 1, ""turbulence"": 1}"	"{""candidate"": 2, ""none"": 1}"	1corintios-12-2-P01	1corintios-12-2-P03	οἴδατε	ἤγεσθε
SR0217	217	1corintios	644	644	12:3	12:3	1	6	"{""structural"": 1}"	"{""strong"": 1}"	1corintios-12-3-P01	1corintios-12-3-P01	γνωρίζω	γνωρίζω
SR0218	218	1corintios	645	645	12:3	12:3	1	6	"{""structural"": 1}"	"{""strong"": 1}"	1corintios-12-3-P02	1corintios-12-3-P02	λέγει	λέγει
SR0219	219	1corintios	646	646	12:3	12:3	1	6	"{""structural"": 1}"	"{""strong"": 1}"	1corintios-12-3-P03	1corintios-12-3-P03	δύναται	δύναται
SR0220	220	1corintios	647	649	12:4	12:6	3	4	"{""stable"": 2, ""structural"": 1}"	"{""candidate"": 1, ""none"": 2}"	1corintios-12-4-P01	1corintios-12-6-P01	εἰσίν	εἰσίν
SR0221	221	1corintios	650	656	12:7	12:12	7	6	"{""stable"": 4, ""structural"": 1, ""turbulence"": 2}"	"{""candidate"": 3, ""none"": 4}"	1corintios-12-7-P01	1corintios-12-12-P03	δίδοται	ἐστιν
SR0222	222	1corintios	657	659	12:13	12:14	3	4	"{""stable"": 2, ""structural"": 1}"	"{""candidate"": 1, ""none"": 2}"	1corintios-12-13-P01	1corintios-12-14-P01	ἐβαπτίσθημεν	ἔστιν
SR0223	223	1corintios	660	660	12:15	12:15	1	6	"{""structural"": 1}"	"{""strong"": 1}"	1corintios-12-15-P01	1corintios-12-15-P01	εἴπῃ	εἴπῃ
SR0224	224	1corintios	661	662	12:15	12:15	2	4	"{""structural"": 1, ""turbulence"": 1}"	"{""candidate"": 2}"	1corintios-12-15-P02	1corintios-12-15-P03	εἰμὶ	εἰμὶ
SR0225	225	1corintios	663	664	12:15	12:16	2	4	"{""structural"": 1, ""turbulence"": 1}"	"{""candidate"": 2}"	1corintios-12-15-P04	1corintios-12-16-P01	ἔστιν	εἴπῃ
SR0226	226	1corintios	665	666	12:16	12:16	2	4	"{""structural"": 1, ""turbulence"": 1}"	"{""candidate"": 2}"	1corintios-12-16-P02	1corintios-12-16-P03	εἰμὶ	εἰμὶ
SR0227	227	1corintios	667	679	12:16	12:24	13	10	"{""stable"": 8, ""structural"": 3, ""turbulence"": 2}"	"{""candidate"": 5, ""none"": 8}"	1corintios-12-16-P04	1corintios-12-24-P02	ἔστιν	συνεκέρασεν
SR0228	228	1corintios	680	680	12:25	12:25	1	6	"{""structural"": 1}"	"{""strong"": 1}"	1corintios-12-25-P01	1corintios-12-25-P01	ᾖ	ᾖ
SR0229	229	1corintios	681	681	12:25	12:25	1	4	"{""structural"": 1}"	"{""strong"": 1}"	1corintios-12-25-P02	1corintios-12-25-P02	μεριμνῶσι	μεριμνῶσι
SR0230	230	1corintios	682	685	12:26	12:26	4	2	"{""stable"": 3, ""structural"": 1}"	"{""candidate"": 1, ""none"": 3}"	1corintios-12-26-P01	1corintios-12-26-P04	πάσχει	συγχαίρει
SR0231	231	1corintios	686	686	12:27	12:27	1	4	"{""structural"": 1}"	"{""candidate"": 1}"	1corintios-12-27-P01	1corintios-12-27-P01	ἐστε	ἐστε
SR0232	232	1corintios	687	690	12:28	12:30	4	4	"{""stable"": 3, ""structural"": 1}"	"{""candidate"": 1, ""none"": 3}"	1corintios-12-28-P01	1corintios-12-30-P03	ἔθετο	διερμηνεύουσιν
SR0233	233	1corintios	691	691	12:31	12:31	1	4	"{""structural"": 1}"	"{""candidate"": 1}"	1corintios-12-31-P01	1corintios-12-31-P01	ζηλοῦτε	ζηλοῦτε
SR0234	234	1corintios	692	692	12:31	12:31	1	4	"{""structural"": 1}"	"{""candidate"": 1}"	1corintios-12-31-P02	1corintios-12-31-P02	δείκνυμι	δείκνυμι
SR0235	235	1corintios	693	719	13:1	13:8	27	14	"{""stable"": 20, ""structural"": 1, ""turbulence"": 6}"	"{""candidate"": 7, ""none"": 20}"	1corintios-13-1-P01	1corintios-13-8-P04	λαλῶ	καταργηθήσεται
SR0236	236	1corintios	720	721	13:9	13:9	2	4	"{""stable"": 1, ""structural"": 1}"	"{""candidate"": 1, ""none"": 1}"	1corintios-13-9-P01	1corintios-13-9-P02	γινώσκομεν	προφητεύομεν
SR0237	237	1corintios	722	722	13:10	13:10	1	6	"{""structural"": 1}"	"{""strong"": 1}"	1corintios-13-10-P01	1corintios-13-10-P01	ἔλθῃ	ἔλθῃ
SR0238	238	1corintios	723	723	13:10	13:10	1	6	"{""structural"": 1}"	"{""strong"": 1}"	1corintios-13-10-P02	1corintios-13-10-P02	καταργηθήσεται	καταργηθήσεται
SR0239	239	1corintios	724	729	13:11	13:11	6	10	"{""stable"": 2, ""structural"": 1, ""turbulence"": 3}"	"{""candidate"": 3, ""none"": 2, ""strong"": 1}"	1corintios-13-11-P01	1corintios-13-11-P06	ἤμην	κατήργηκα
SR0240	240	1corintios	730	730	13:12	13:12	1	2	"{""structural"": 1}"	"{""candidate"": 1}"	1corintios-13-12-P01	1corintios-13-12-P01	βλέπομεν	βλέπομεν
SR0241	241	1corintios	731	733	13:12	13:12	3	4	"{""stable"": 1, ""structural"": 1, ""turbulence"": 1}"	"{""candidate"": 2, ""none"": 1}"	1corintios-13-12-P02	1corintios-13-12-P04	γινώσκω	ἐπεγνώσθην
SR0242	242	1corintios	734	734	13:13	13:13	1	4	"{""structural"": 1}"	"{""strong"": 1}"	1corintios-13-13-P01	1corintios-13-13-P01	μένει	μένει
SR0243	243	1corintios	735	737	14:1	14:1	3	6	"{""stable"": 1, ""structural"": 1, ""turbulence"": 1}"	"{""candidate"": 2, ""none"": 1}"	1corintios-14-1-P01	1corintios-14-1-P03	διώκετε	προφητεύητε
SR0244	244	1corintios	738	743	14:2	14:4	6	6	"{""stable"": 5, ""structural"": 1}"	"{""none"": 5, ""strong"": 1}"	1corintios-14-2-P01	1corintios-14-4-P02	λαλεῖ	οἰκοδομεῖ
SR0245	245	1corintios	744	744	14:5	14:5	1	2	"{""structural"": 1}"	"{""candidate"": 1}"	1corintios-14-5-P01	1corintios-14-5-P01	θέλω	θέλω
SR0246	246	1corintios	745	747	14:5	14:5	3	6	"{""stable"": 2, ""structural"": 1}"	"{""none"": 2, ""strong"": 1}"	1corintios-14-5-P02	1corintios-14-5-P04	προφητεύητε	λάβῃ
SR0247	247	1corintios	748	751	14:6	14:7	4	8	"{""stable"": 1, ""structural"": 1, ""turbulence"": 2}"	"{""candidate"": 3, ""none"": 1}"	1corintios-14-6-P01	1corintios-14-7-P01	ἔλθω	δῷ
SR0248	248	1corintios	752	752	14:7	14:7	1	4	"{""structural"": 1}"	"{""strong"": 1}"	1corintios-14-7-P02	1corintios-14-7-P02	γνωσθήσεται	γνωσθήσεται
SR0249	249	1corintios	753	753	14:8	14:8	1	4	"{""structural"": 1}"	"{""strong"": 1}"	1corintios-14-8-P01	1corintios-14-8-P01	δῷ	δῷ
SR0250	250	1corintios	754	754	14:8	14:8	1	4	"{""structural"": 1}"	"{""strong"": 1}"	1corintios-14-8-P02	1corintios-14-8-P02	παρασκευάσεται	παρασκευάσεται
SR0251	251	1corintios	755	755	14:9	14:9	1	6	"{""structural"": 1}"	"{""strong"": 1}"	1corintios-14-9-P01	1corintios-14-9-P01	δῶτε	δῶτε
SR0252	252	1corintios	756	756	14:9	14:9	1	6	"{""structural"": 1}"	"{""strong"": 1}"	1corintios-14-9-P02	1corintios-14-9-P02	γνωσθήσεται	γνωσθήσεται
SR0253	253	1corintios	757	759	14:9	14:10	3	8	"{""structural"": 1, ""turbulence"": 2}"	"{""candidate"": 3}"	1corintios-14-9-P03	1corintios-14-10-P02	ἔσεσθε	εἰσιν
SR0254	254	1corintios	760	761	14:11	14:11	2	8	"{""structural"": 1, ""turbulence"": 1}"	"{""candidate"": 1, ""strong"": 1}"	1corintios-14-11-P01	1corintios-14-11-P02	εἰδῶ	ἔσομαι
SR0255	255	1corintios	762	765	14:12	14:13	4	12	"{""structural"": 1, ""turbulence"": 3}"	"{""candidate"": 3, ""strong"": 1}"	1corintios-14-12-P01	1corintios-14-13-P01	ἐστε	προσευχέσθω
SR0256	256	1corintios	766	766	14:13	14:13	1	6	"{""structural"": 1}"	"{""strong"": 1}"	1corintios-14-13-P02	1corintios-14-13-P02	διερμηνεύῃ	διερμηνεύῃ
SR0257	257	1corintios	767	767	14:14	14:14	1	2	"{""structural"": 1}"	"{""candidate"": 1}"	1corintios-14-14-P01	1corintios-14-14-P01	προσεύχωμαι	προσεύχωμαι
SR0258	258	1corintios	768	769	14:14	14:14	2	6	"{""stable"": 1, ""structural"": 1}"	"{""none"": 1, ""strong"": 1}"	1corintios-14-14-P02	1corintios-14-14-P03	προσεύχεται	ἐστιν
SR0259	259	1corintios	770	770	14:15	14:15	1	4	"{""structural"": 1}"	"{""candidate"": 1}"	1corintios-14-15-P01	1corintios-14-15-P01	ἐστιν	ἐστιν
SR0260	260	1corintios	771	774	14:15	14:15	4	2	"{""stable"": 3, ""structural"": 1}"	"{""candidate"": 1, ""none"": 3}"	1corintios-14-15-P02	1corintios-14-15-P05	προσεύξομαι	ψαλῶ
SR0261	261	1corintios	775	775	14:16	14:16	1	4	"{""structural"": 1}"	"{""strong"": 1}"	1corintios-14-16-P01	1corintios-14-16-P01	εὐλογῇς	εὐλογῇς
SR0262	262	1corintios	776	776	14:16	14:16	1	4	"{""structural"": 1}"	"{""strong"": 1}"	1corintios-14-16-P02	1corintios-14-16-P02	ἐρεῖ	ἐρεῖ
SR0263	263	1corintios	777	777	14:16	14:16	1	4	"{""structural"": 1}"	"{""strong"": 1}"	1corintios-14-16-P03	1corintios-14-16-P03	λέγεις	λέγεις
SR0264	264	1corintios	778	778	14:16	14:16	1	4	"{""structural"": 1}"	"{""strong"": 1}"	1corintios-14-16-P04	1corintios-14-16-P04	οἶδεν	οἶδεν
SR0265	265	1corintios	779	780	14:17	14:17	2	2	"{""stable"": 1, ""structural"": 1}"	"{""candidate"": 1, ""none"": 1}"	1corintios-14-17-P01	1corintios-14-17-P02	εὐχαριστεῖς	οἰκοδομεῖται
SR0266	266	1corintios	781	784	14:18	14:19	4	4	"{""stable"": 2, ""structural"": 1, ""turbulence"": 1}"	"{""candidate"": 2, ""none"": 2}"	1corintios-14-18-P01	1corintios-14-19-P02	εὐχαριστῶ	κατηχήσω
SR0267	267	1corintios	785	787	14:20	14:20	3	6	"{""stable"": 2, ""structural"": 1}"	"{""none"": 2, ""strong"": 1}"	1corintios-14-20-P01	1corintios-14-20-P03	γίνεσθε	γίνεσθε
SR0268	268	1corintios	788	788	14:21	14:21	1	4	"{""structural"": 1}"	"{""candidate"": 1}"	1corintios-14-21-P01	1corintios-14-21-P01	γέγραπται	γέγραπται
SR0269	269	1corintios	789	789	14:21	14:21	1	4	"{""structural"": 1}"	"{""strong"": 1}"	1corintios-14-21-P02	1corintios-14-21-P02	λαλήσω	λαλήσω
SR0270	270	1corintios	790	790	14:21	14:21	1	6	"{""structural"": 1}"	"{""strong"": 1}"	1corintios-14-21-P03	1corintios-14-21-P03	εἰσακούσονταί	εἰσακούσονταί
SR0271	271	1corintios	791	791	14:21	14:21	1	2	"{""structural"": 1}"	"{""candidate"": 1}"	1corintios-14-21-P04	1corintios-14-21-P04	λέγει	λέγει
SR0272	272	1corintios	792	792	14:22	14:22	1	4	"{""structural"": 1}"	"{""strong"": 1}"	1corintios-14-22-P01	1corintios-14-22-P01	εἰσιν	εἰσιν
SR0273	273	1corintios	793	794	14:23	14:23	2	4	"{""structural"": 1, ""turbulence"": 1}"	"{""candidate"": 2}"	1corintios-14-23-P01	1corintios-14-23-P02	συνέλθῃ	λαλῶσιν
