book	end_reference	end_stream_index	first_finite_verb	first_predication_id	group_index	last_finite_verb	last_predication_id	movement_class_counts	movement_status_counts	record_count	start_reference	start_stream_index	structural_regime_id	total_structural_weight	merged_regimes	merged_regime_id
1corintios	8:13	409	ἁμαρτάνετε	1corintios-8-12-P01	141	σκανδαλίσω	1corintios-8-13-P03	"{""structural"": 1, ""turbulence"": 3}"	"{""candidate"": 4}"	4	8:12	406	SR0141	10		SMR0046
1corintios	9:3	417	εἰμὶ	1corintios-9-1-P01	142	ἐστιν	1corintios-9-3-P01	"{""stable"": 2, ""turbulence"": 1}"	"{""candidate"": 1, ""none"": 2}"	8	9:1	410	SR0142	18	['SR0143', 'SR0144', 'SR0145']	SMR0047
1corintios	9:7	422	ἔχομεν	1corintios-9-4-P01	146	φυτεύει	1corintios-9-7-P02	"{""stable"": 4, ""structural"": 1}"	"{""candidate"": 1, ""none"": 4}"	5	9:4	418	SR0146	2		SMR0048
1corintios	9:9	429	ἐσθίει	1corintios-9-7-P03	147	κημώσεις	1corintios-9-9-P02	"{""stable"": 2, ""structural"": 1}"	"{""candidate"": 1, ""none"": 2}"	7	9:7	423	SR0147	10	['SR0148', 'SR0149', 'SR0150']	SMR0049
1corintios	9:10	433	μέλει	1corintios-9-9-P03	151	ὀφείλει	1corintios-9-10-P03	"{""stable"": 2, ""structural"": 1, ""turbulence"": 1}"	"{""candidate"": 2, ""none"": 2}"	4	9:9	430	SR0151	4		SMR0050
1corintios	9:16	448	ἐσπείραμεν	1corintios-9-11-P01	152	εὐαγγελίζωμαι	1corintios-9-16-P01	"{""stable"": 3, ""structural"": 1, ""turbulence"": 2}"	"{""candidate"": 3, ""none"": 3}"	15	9:11	434	SR0152	34	['SR0153', 'SR0154', 'SR0155', 'SR0156', 'SR0157', 'SR0158']	SMR0051
1corintios	9:16	451	ἔστιν	1corintios-9-16-P02	159	ἐστιν	1corintios-9-16-P04	"{""stable"": 2, ""structural"": 1}"	"{""none"": 2, ""strong"": 1}"	3	9:16	449	SR0159	4		SMR0052
1corintios	9:18	456	εὐαγγελίσωμαι	1corintios-9-16-P05	160	ἐστιν	1corintios-9-18-P01	"{""stable"": 1, ""structural"": 1, ""turbulence"": 2}"	"{""candidate"": 2, ""none"": 1, ""strong"": 1}"	5	9:16	452	SR0160	12	['SR0161']	SMR0053
1corintios	9:24	472	θήσω	1corintios-9-18-P02	162	λαμβάνει	1corintios-9-24-P03	"{""stable"": 2, ""structural"": 1, ""turbulence"": 10}"	"{""candidate"": 10, ""none"": 2, ""strong"": 1}"	16	9:18	457	SR0162	38	['SR0163', 'SR0164', 'SR0165']	SMR0054
1corintios	9:25	476	τρέχετε	1corintios-9-24-P04	166	λάβωσιν	1corintios-9-25-P02	"{""structural"": 1, ""turbulence"": 2}"	"{""candidate"": 3}"	4	9:24	473	SR0166	12	['SR0167']	SMR0055
1corintios	9:27	481	τρέχω	1corintios-9-26-P01	168	γένωμαι	1corintios-9-27-P03	"{""stable"": 2, ""structural"": 1, ""turbulence"": 2}"	"{""candidate"": 2, ""none"": 2, ""strong"": 1}"	5	9:26	477	SR0168	10		SMR0056
1corintios	10:5	490	θέλω	1corintios-10-1-P01	169	ηὐδόκησεν	1corintios-10-5-P01	"{""stable"": 4, ""turbulence"": 2}"	"{""candidate"": 2, ""none"": 4}"	9	10:1	482	SR0169	10	['SR0170', 'SR0171']	SMR0057
1corintios	10:7	497	κατεστρώθησαν	1corintios-10-5-P02	172	ἀνέστησαν	1corintios-10-7-P04	"{""stable"": 1, ""structural"": 1, ""turbulence"": 2}"	"{""candidate"": 3, ""none"": 1}"	7	10:5	491	SR0172	16	['SR0173', 'SR0174']	SMR0058
1corintios	10:8	500	πορνεύωμεν	1corintios-10-8-P01	175	ἔπεσαν	1corintios-10-8-P03	"{""structural"": 1, ""turbulence"": 2}"	"{""candidate"": 3}"	3	10:8	498	SR0175	6		SMR0059
