movement_regime_id	group_index	book	start_stream_index	end_stream_index	start_reference	end_reference	record_count	dominant_movement_status	movement_status_counts	movement_reason_counts	first_predication_id	last_predication_id
MR0016	16	1corintios	16	16	1:13	1:13	1	none	"{""none"": 1}"	{}	1corintios-1-13-P02	1corintios-1-13-P02
MR0017	17	1corintios	17	17	1:13	1:13	1	candidate	"{""candidate"": 1}"	"{""number_change"": 1, ""person_change"": 1}"	1corintios-1-13-P03	1corintios-1-13-P03
MR0018	18	1corintios	18	18	1:14	1:14	1	candidate	"{""candidate"": 1}"	"{""number_change"": 1, ""person_change"": 1}"	1corintios-1-14-P01	1corintios-1-14-P01
MR0019	19	1corintios	19	19	1:14	1:14	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	1corintios-1-14-P02	1corintios-1-14-P02
MR0020	20	1corintios	20	20	1:15	1:15	1	none	"{""none"": 1}"	{}	1corintios-1-15-P01	1corintios-1-15-P01
MR0021	21	1corintios	21	21	1:15	1:15	1	candidate	"{""candidate"": 1}"	"{""number_change"": 1, ""person_change"": 1}"	1corintios-1-15-P02	1corintios-1-15-P02
MR0022	22	1corintios	22	22	1:16	1:16	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	1corintios-1-16-P01	1corintios-1-16-P01
MR0023	23	1corintios	23	23	1:16	1:16	1	none	"{""none"": 1}"	{}	1corintios-1-16-P02	1corintios-1-16-P02
MR0024	24	1corintios	24	24	1:16	1:16	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	1corintios-1-16-P03	1corintios-1-16-P03
MR0025	25	1corintios	25	25	1:17	1:17	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	1corintios-1-17-P01	1corintios-1-17-P01
MR0026	26	1corintios	26	26	1:17	1:17	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	1corintios-1-17-P02	1corintios-1-17-P02
MR0027	27	1corintios	27	27	1:18	1:18	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	1corintios-1-18-P01	1corintios-1-18-P01
MR0028	28	1corintios	28	28	1:18	1:18	1	none	"{""none"": 1}"	{}	1corintios-1-18-P02	1corintios-1-18-P02
MR0029	29	1corintios	29	29	1:19	1:19	1	none	"{""none"": 1}"	{}	1corintios-1-19-P01	1corintios-1-19-P01
MR0030	30	1corintios	30	30	1:19	1:19	1	candidate	"{""candidate"": 1}"	"{""person_change"": 1}"	1corintios-1-19-P02	1corintios-1-19-P02
MR0031	31	1corintios	31	31	1:19	1:19	1	none	"{""none"": 1}"	{}	1corintios-1-19-P03	1corintios-1-19-P03
MR0032	32	1corintios	32	32	1:20	1:20	1	none	"{""none"": 1}"	{}	1corintios-1-20-P01	1corintios-1-20-P01
MR0033	33	1corintios	33	33	1:21	1:21	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	1corintios-1-21-P01	1corintios-1-21-P01
MR0034	34	1corintios	34	34	1:21	1:21	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	1corintios-1-21-P02	1corintios-1-21-P02
MR0035	35	1corintios	35	35	1:22	1:22	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	1corintios-1-22-P01	1corintios-1-22-P01
MR0036	36	1corintios	36	36	1:22	1:22	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	1corintios-1-22-P02	1corintios-1-22-P02
MR0037	37	1corintios	37	37	1:23	1:23	1	candidate	"{""candidate"": 1}"	"{""number_change"": 1}"	1corintios-1-23-P01	1corintios-1-23-P01
MR0038	38	1corintios	38	38	1:25	1:25	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	1corintios-1-25-P01	1corintios-1-25-P01
MR0039	39	1corintios	39	39	1:26	1:26	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	1corintios-1-26-P01	1corintios-1-26-P01
MR0040	40	1corintios	40	40	1:27	1:27	1	candidate	"{""candidate"": 1}"	"{""number_change"": 1, ""person_change"": 1}"	1corintios-1-27-P01	1corintios-1-27-P01
MR0041	41	1corintios	41	41	1:27	1:27	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	1corintios-1-27-P02	1corintios-1-27-P02
MR0042	42	1corintios	42	42	1:27	1:27	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	1corintios-1-27-P03	1corintios-1-27-P03
MR0043	43	1corintios	43	43	1:27	1:27	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	1corintios-1-27-P04	1corintios-1-27-P04
MR0044	44	1corintios	44	44	1:28	1:28	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	1corintios-1-28-P01	1corintios-1-28-P01
MR0045	45	1corintios	45	45	1:28	1:28	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	1corintios-1-28-P02	1corintios-1-28-P02
MR0046	46	1corintios	46	46	1:29	1:29	1	none	"{""none"": 1}"	{}	1corintios-1-29-P01	1corintios-1-29-P01
MR0047	47	1corintios	47	47	1:30	1:30	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	1corintios-1-30-P01	1corintios-1-30-P01
MR0048	48	1corintios	48	48	1:30	1:30	1	none	"{""none"": 1}"	{}	1corintios-1-30-P02	1corintios-1-30-P02
MR0049	49	1corintios	49	49	1:31	1:31	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	1corintios-1-31-P01	1corintios-1-31-P01
MR0050	50	1corintios	50	50	1:31	1:31	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	1corintios-1-31-P02	1corintios-1-31-P02
MR0051	51	1corintios	51	51	2:1	2:1	1	candidate	"{""candidate"": 1}"	"{""number_change"": 1, ""person_change"": 1}"	1corintios-2-1-P01	1corintios-2-1-P01
MR0052	52	1corintios	52	52	2:2	2:2	1	none	"{""none"": 1}"	{}	1corintios-2-2-P01	1corintios-2-2-P01
MR0053	53	1corintios	53	53	2:3	2:3	1	none	"{""none"": 1}"	{}	1corintios-2-3-P01	1corintios-2-3-P01
MR0054	54	1corintios	54	54	2:5	2:5	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	1corintios-2-5-P01	1corintios-2-5-P01
MR0055	55	1corintios	55	55	2:6	2:6	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	1corintios-2-6-P01	1corintios-2-6-P01
MR0056	56	1corintios	56	56	2:7	2:7	1	none	"{""none"": 1}"	{}	1corintios-2-7-P01	1corintios-2-7-P01
MR0057	57	1corintios	57	57	2:7	2:7	1	candidate	"{""candidate"": 1}"	"{""number_change"": 1, ""person_change"": 1}"	1corintios-2-7-P02	1corintios-2-7-P02
MR0058	58	1corintios	58	58	2:8	2:8	1	none	"{""none"": 1}"	{}	1corintios-2-8-P01	1corintios-2-8-P01
MR0059	59	1corintios	59	59	2:8	2:8	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""subordination_transition"": 1}"	1corintios-2-8-P02	1corintios-2-8-P02
MR0060	60	1corintios	60	60	2:8	2:8	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	1corintios-2-8-P03	1corintios-2-8-P03
MR0061	61	1corintios	61	61	2:9	2:9	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""subordination_transition"": 1}"	1corintios-2-9-P01	1corintios-2-9-P01
MR0062	62	1corintios	62	62	2:9	2:9	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""subordination_transition"": 1}"	1corintios-2-9-P02	1corintios-2-9-P02
MR0063	63	1corintios	63	63	2:9	2:9	1	none	"{""none"": 1}"	{}	1corintios-2-9-P03	1corintios-2-9-P03
MR0064	64	1corintios	64	64	2:9	2:9	1	candidate	"{""candidate"": 1}"	"{""number_change"": 1}"	1corintios-2-9-P04	1corintios-2-9-P04
MR0065	65	1corintios	65	65	2:9	2:9	1	none	"{""none"": 1}"	{}	1corintios-2-9-P05	1corintios-2-9-P05
MR0066	66	1corintios	66	66	2:10	2:10	1	none	"{""none"": 1}"	{}	1corintios-2-10-P01	1corintios-2-10-P01
MR0067	67	1corintios	67	67	2:10	2:10	1	none	"{""none"": 1}"	{}	1corintios-2-10-P02	1corintios-2-10-P02
MR0068	68	1corintios	68	68	2:11	2:11	1	none	"{""none"": 1}"	{}	1corintios-2-11-P01	1corintios-2-11-P01
MR0069	69	1corintios	69	69	2:11	2:11	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	1corintios-2-11-P02	1corintios-2-11-P02
MR0070	70	1corintios	70	70	2:12	2:12	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	1corintios-2-12-P01	1corintios-2-12-P01
MR0071	71	1corintios	71	71	2:12	2:12	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	1corintios-2-12-P02	1corintios-2-12-P02
MR0072	72	1corintios	72	72	2:13	2:13	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	1corintios-2-13-P01	1corintios-2-13-P01
MR0073	73	1corintios	73	73	2:14	2:14	1	none	"{""none"": 1}"	{}	1corintios-2-14-P01	1corintios-2-14-P01
MR0074	74	1corintios	74	74	2:14	2:14	1	candidate	"{""candidate"": 1}"	"{""number_change"": 1, ""person_change"": 1}"	1corintios-2-14-P02	1corintios-2-14-P02
MR0075	75	1corintios	75	75	2:14	2:14	1	none	"{""none"": 1}"	{}	1corintios-2-14-P03	1corintios-2-14-P03
MR0076	76	1corintios	76	76	2:14	2:14	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	1corintios-2-14-P04	1corintios-2-14-P04
MR0077	77	1corintios	77	77	2:15	2:15	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	1corintios-2-15-P01	1corintios-2-15-P01
MR0078	78	1corintios	78	78	2:15	2:15	1	none	"{""none"": 1}"	{}	1corintios-2-15-P02	1corintios-2-15-P02
MR0079	79	1corintios	79	79	2:16	2:16	1	none	"{""none"": 1}"	{}	1corintios-2-16-P01	1corintios-2-16-P01
MR0080	80	1corintios	80	80	2:16	2:16	1	none	"{""none"": 1}"	{}	1corintios-2-16-P02	1corintios-2-16-P02
MR0081	81	1corintios	81	81	2:16	2:16	1	candidate	"{""candidate"": 1}"	"{""number_change"": 1, ""person_change"": 1}"	1corintios-2-16-P03	1corintios-2-16-P03
MR0082	82	1corintios	82	82	3:1	3:1	1	candidate	"{""candidate"": 1}"	"{""number_change"": 1}"	1corintios-3-1-P01	1corintios-3-1-P01
MR0083	83	1corintios	83	83	3:2	3:2	1	none	"{""none"": 1}"	{}	1corintios-3-2-P01	1corintios-3-2-P01
MR0084	84	1corintios	84	84	3:2	3:2	1	candidate	"{""candidate"": 1}"	"{""number_change"": 1, ""person_change"": 1}"	1corintios-3-2-P02	1corintios-3-2-P02
MR0085	85	1corintios	85	85	3:2	3:2	1	none	"{""none"": 1}"	{}	1corintios-3-2-P03	1corintios-3-2-P03
MR0086	86	1corintios	86	86	3:3	3:3	1	none	"{""none"": 1}"	{}	1corintios-3-3-P01	1corintios-3-3-P01
MR0087	87	1corintios	87	87	3:3	3:3	1	none	"{""none"": 1}"	{}	1corintios-3-3-P02	1corintios-3-3-P02
MR0088	88	1corintios	88	88	3:3	3:3	1	none	"{""none"": 1}"	{}	1corintios-3-3-P03	1corintios-3-3-P03
MR0089	89	1corintios	89	89	3:4	3:4	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	1corintios-3-4-P01	1corintios-3-4-P01
MR0090	90	1corintios	90	90	3:4	3:4	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	1corintios-3-4-P02	1corintios-3-4-P02
MR0091	91	1corintios	91	91	3:4	3:4	1	candidate	"{""candidate"": 1}"	"{""number_change"": 1, ""person_change"": 1}"	1corintios-3-4-P03	1corintios-3-4-P03
MR0092	92	1corintios	92	92	3:5	3:5	1	candidate	"{""candidate"": 1}"	"{""number_change"": 1, ""person_change"": 1}"	1corintios-3-5-P01	1corintios-3-5-P01
MR0093	93	1corintios	93	93	3:5	3:5	1	none	"{""none"": 1}"	{}	1corintios-3-5-P02	1corintios-3-5-P02
MR0094	94	1corintios	94	94	3:5	3:5	1	candidate	"{""candidate"": 1}"	"{""number_change"": 1, ""person_change"": 1}"	1corintios-3-5-P03	1corintios-3-5-P03
MR0095	95	1corintios	95	95	3:5	3:5	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	1corintios-3-5-P04	1corintios-3-5-P04
MR0096	96	1corintios	96	96	3:6	3:6	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	1corintios-3-6-P01	1corintios-3-6-P01
MR0097	97	1corintios	97	97	3:6	3:6	1	none	"{""none"": 1}"	{}	1corintios-3-6-P02	1corintios-3-6-P02
MR0098	98	1corintios	98	98	3:6	3:6	1	none	"{""none"": 1}"	{}	1corintios-3-6-P03	1corintios-3-6-P03
MR0099	99	1corintios	99	99	3:7	3:7	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	1corintios-3-7-P01	1corintios-3-7-P01
MR0100	100	1corintios	100	100	3:8	3:8	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	1corintios-3-8-P01	1corintios-3-8-P01
MR0101	101	1corintios	101	101	3:8	3:8	1	candidate	"{""candidate"": 1}"	"{""number_change"": 1}"	1corintios-3-8-P02	1corintios-3-8-P02
MR0102	102	1corintios	102	102	3:9	3:9	1	candidate	"{""candidate"": 1}"	"{""number_change"": 1, ""person_change"": 1}"	1corintios-3-9-P01	1corintios-3-9-P01
MR0103	103	1corintios	103	103	3:9	3:9	1	candidate	"{""candidate"": 1}"	"{""person_change"": 1}"	1corintios-3-9-P02	1corintios-3-9-P02
MR0104	104	1corintios	104	104	3:10	3:10	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	1corintios-3-10-P01	1corintios-3-10-P01
MR0105	105	1corintios	105	105	3:10	3:10	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	1corintios-3-10-P02	1corintios-3-10-P02
MR0106	106	1corintios	106	106	3:10	3:10	1	none	"{""none"": 1}"	{}	1corintios-3-10-P03	1corintios-3-10-P03
MR0107	107	1corintios	107	107	3:10	3:10	1	none	"{""none"": 1}"	{}	1corintios-3-10-P04	1corintios-3-10-P04
MR0108	108	1corintios	108	108	3:11	3:11	1	none	"{""none"": 1}"	{}	1corintios-3-11-P01	1corintios-3-11-P01
MR0109	109	1corintios	109	109	3:11	3:11	1	none	"{""none"": 1}"	{}	1corintios-3-11-P02	1corintios-3-11-P02
MR0110	110	1corintios	110	110	3:12	3:12	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	1corintios-3-12-P01	1corintios-3-12-P01
MR0111	111	1corintios	111	111	3:13	3:13	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	1corintios-3-13-P01	1corintios-3-13-P01
MR0112	112	1corintios	112	112	3:13	3:13	1	none	"{""none"": 1}"	{}	1corintios-3-13-P02	1corintios-3-13-P02
MR0113	113	1corintios	113	113	3:13	3:13	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	1corintios-3-13-P03	1corintios-3-13-P03
MR0114	114	1corintios	114	114	3:13	3:13	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	1corintios-3-13-P04	1corintios-3-13-P04
MR0115	115	1corintios	115	115	3:13	3:13	1	none	"{""none"": 1}"	{}	1corintios-3-13-P05	1corintios-3-13-P05
MR0116	116	1corintios	116	116	3:14	3:14	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	1corintios-3-14-P01	1corintios-3-14-P01
MR0117	117	1corintios	117	117	3:14	3:14	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	1corintios-3-14-P02	1corintios-3-14-P02
MR0118	118	1corintios	118	118	3:14	3:14	1	none	"{""none"": 1}"	{}	1corintios-3-14-P03	1corintios-3-14-P03
MR0119	119	1corintios	119	119	3:15	3:15	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	1corintios-3-15-P01	1corintios-3-15-P01
MR0120	120	1corintios	120	120	3:15	3:15	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	1corintios-3-15-P02	1corintios-3-15-P02
MR0121	121	1corintios	121	121	3:15	3:15	1	none	"{""none"": 1}"	{}	1corintios-3-15-P03	1corintios-3-15-P03
MR0122	122	1corintios	122	122	3:16	3:16	1	candidate	"{""candidate"": 1}"	"{""number_change"": 1, ""person_change"": 1}"	1corintios-3-16-P01	1corintios-3-16-P01
MR0123	123	1corintios	123	123	3:16	3:16	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	1corintios-3-16-P02	1corintios-3-16-P02
MR0124	124	1corintios	124	124	3:16	3:16	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	1corintios-3-16-P03	1corintios-3-16-P03
MR0125	125	1corintios	125	125	3:17	3:17	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	1corintios-3-17-P01	1corintios-3-17-P01
MR0126	126	1corintios	126	126	3:17	3:17	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	1corintios-3-17-P02	1corintios-3-17-P02
MR0127	127	1corintios	127	127	3:17	3:17	1	none	"{""none"": 1}"	{}	1corintios-3-17-P03	1corintios-3-17-P03
MR0128	128	1corintios	128	128	3:17	3:17	1	candidate	"{""candidate"": 1}"	"{""number_change"": 1, ""person_change"": 1}"	1corintios-3-17-P04	1corintios-3-17-P04
MR0129	129	1corintios	129	129	3:18	3:18	1	none	"{""none"": 1}"	{}	1corintios-3-18-P01	1corintios-3-18-P01
MR0130	130	1corintios	130	130	3:18	3:18	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	1corintios-3-18-P02	1corintios-3-18-P02
MR0131	131	1corintios	131	131	3:18	3:18	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	1corintios-3-18-P03	1corintios-3-18-P03
MR0132	132	1corintios	132	132	3:18	3:18	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	1corintios-3-18-P04	1corintios-3-18-P04
MR0133	133	1corintios	133	133	3:19	3:19	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	1corintios-3-19-P01	1corintios-3-19-P01
MR0134	134	1corintios	134	134	3:19	3:19	1	candidate	"{""candidate"": 1}"	"{""number_change"": 1, ""person_change"": 1}"	1corintios-3-19-P02	1corintios-3-19-P02
MR0135	135	1corintios	135	135	3:20	3:20	1	none	"{""none"": 1}"	{}	1corintios-3-20-P01	1corintios-3-20-P01
MR0136	136	1corintios	136	136	3:20	3:20	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""subordination_transition"": 1}"	1corintios-3-20-P02	1corintios-3-20-P02
MR0137	137	1corintios	137	137	3:21	3:21	1	none	"{""none"": 1}"	{}	1corintios-3-21-P01	1corintios-3-21-P01
MR0138	138	1corintios	138	138	3:21	3:21	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""subordination_transition"": 1}"	1corintios-3-21-P02	1corintios-3-21-P02
MR0139	139	1corintios	139	139	4:1	4:1	1	none	"{""none"": 1}"	{}	1corintios-4-1-P01	1corintios-4-1-P01
MR0140	140	1corintios	140	140	4:2	4:2	1	none	"{""none"": 1}"	{}	1corintios-4-2-P01	1corintios-4-2-P01
MR0141	141	1corintios	141	141	4:2	4:2	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	1corintios-4-2-P02	1corintios-4-2-P02
MR0142	142	1corintios	142	142	4:3	4:3	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	1corintios-4-3-P01	1corintios-4-3-P01
MR0143	143	1corintios	143	143	4:3	4:3	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	1corintios-4-3-P02	1corintios-4-3-P02
MR0144	144	1corintios	144	144	4:3	4:3	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	1corintios-4-3-P03	1corintios-4-3-P03
MR0145	145	1corintios	145	145	4:4	4:4	1	none	"{""none"": 1}"	{}	1corintios-4-4-P01	1corintios-4-4-P01
MR0146	146	1corintios	146	146	4:4	4:4	1	none	"{""none"": 1}"	{}	1corintios-4-4-P02	1corintios-4-4-P02
MR0147	147	1corintios	147	147	4:4	4:4	1	none	"{""none"": 1}"	{}	1corintios-4-4-P03	1corintios-4-4-P03
MR0148	148	1corintios	148	148	4:5	4:5	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	1corintios-4-5-P01	1corintios-4-5-P01
MR0149	149	1corintios	149	149	4:5	4:5	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	1corintios-4-5-P02	1corintios-4-5-P02
MR0150	150	1corintios	150	150	4:5	4:5	1	none	"{""none"": 1}"	{}	1corintios-4-5-P03	1corintios-4-5-P03
MR0151	151	1corintios	151	151	4:5	4:5	1	none	"{""none"": 1}"	{}	1corintios-4-5-P04	1corintios-4-5-P04
MR0152	152	1corintios	152	152	4:5	4:5	1	none	"{""none"": 1}"	{}	1corintios-4-5-P05	1corintios-4-5-P05
MR0153	153	1corintios	153	153	4:6	4:6	1	candidate	"{""candidate"": 1}"	"{""person_change"": 1}"	1corintios-4-6-P01	1corintios-4-6-P01
MR0154	154	1corintios	154	154	4:6	4:6	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	1corintios-4-6-P02	1corintios-4-6-P02
MR0155	155	1corintios	155	155	4:6	4:6	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	1corintios-4-6-P03	1corintios-4-6-P03
MR0156	156	1corintios	156	156	4:6	4:6	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	1corintios-4-6-P04	1corintios-4-6-P04
MR0157	157	1corintios	157	157	4:7	4:7	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	1corintios-4-7-P01	1corintios-4-7-P01
MR0158	158	1corintios	158	158	4:7	4:7	1	candidate	"{""candidate"": 1}"	"{""person_change"": 1}"	1corintios-4-7-P02	1corintios-4-7-P02
MR0159	159	1corintios	159	159	4:7	4:7	1	none	"{""none"": 1}"	{}	1corintios-4-7-P03	1corintios-4-7-P03
