stream_index	book	chapter	verse	predication_id	previous_predication_id	finite_verb	finite_compact	subject_person	subject_number	subject_refinement_status	subject_refinement_source	continuity_status	continuity_source	independence_status	subordination_status	movement_status	movement_reason_count	movement_reasons	movement_class	movement_class_source	structural_weight	regime_capable
58	1corintios	2	8	1corintios-2-8-P01	1corintios-2-7-P02	ἔγνωκεν	V-XAI-3S	3	S	finite_morphology_fallback	finite_compact_person_number	same	existing_continuity_status	candidate	not_detected	none	0	[]	stable	no_movement_reason	0	False
59	1corintios	2	8	1corintios-2-8-P02	1corintios-2-8-P01	ἔγνωσαν	V-AAI-3P	3	P	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	unresolved	candidate	strong	4	"[""independence_transition"", ""number_change"", ""subject_shift"", ""subordination_transition""]"	structural	high_and_low_weight_reasons	6	True
60	1corintios	2	8	1corintios-2-8-P03	1corintios-2-8-P02	ἐσταύρωσαν	V-AAI-3P	3	P	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	candidate	2	"[""independence_transition"", ""subordination_transition""]"	turbulence	low_weight_transition_only	2	False
61	1corintios	2	9	1corintios-2-9-P01	1corintios-2-8-P03	γέγραπται	V-XPI-3S	3	S	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	unresolved	candidate	strong	4	"[""independence_transition"", ""number_change"", ""subject_shift"", ""subordination_transition""]"	structural	high_and_low_weight_reasons	6	True
62	1corintios	2	9	1corintios-2-9-P02	1corintios-2-9-P01	εἶδεν	V-AAI-3S	3	S	finite_morphology_fallback	finite_compact_person_number	same	existing_continuity_status	candidate	not_detected	candidate	2	"[""independence_transition"", ""subordination_transition""]"	turbulence	low_weight_transition_only	2	False
63	1corintios	2	9	1corintios-2-9-P03	1corintios-2-9-P02	ἤκουσεν	V-AAI-3S	3	S	finite_morphology_fallback	finite_compact_person_number	same	existing_continuity_status	candidate	not_detected	none	0	[]	stable	no_movement_reason	0	False
64	1corintios	2	9	1corintios-2-9-P04	1corintios-2-9-P03	ἀνέβη	V-AAI-3S	3	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]	stable	no_movement_reason	0	False
65	1corintios	2	9	1corintios-2-9-P05	1corintios-2-9-P04	ἡτοίμασεν	V-AAI-3S	3	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]	stable	no_movement_reason	0	False
66	1corintios	2	10	1corintios-2-10-P01	1corintios-2-9-P05	ἀπεκάλυψεν	V-AAI-3S	3	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]	stable	no_movement_reason	0	False
67	1corintios	2	10	1corintios-2-10-P02	1corintios-2-10-P01	ἐραυνᾷ	V-PAI-3S	3	S	finite_morphology_fallback	finite_compact_person_number	same	existing_continuity_status	candidate	not_detected	none	0	[]	stable	no_movement_reason	0	False
68	1corintios	2	11	1corintios-2-11-P01	1corintios-2-10-P02	οἶδεν	V-XAI-3S	3	S	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	none	0	[]	stable	no_movement_reason	0	False
69	1corintios	2	11	1corintios-2-11-P02	1corintios-2-11-P01	ἔγνωκεν	V-XAI-3S	3	S	finite_morphology_fallback	finite_compact_person_number	same	existing_continuity_status	unresolved	candidate	candidate	2	"[""independence_transition"", ""subordination_transition""]"	turbulence	low_weight_transition_only	2	False
70	1corintios	2	12	1corintios-2-12-P01	1corintios-2-11-P02	ἐλάβομεν	V-AAI-1P	1	P	explicit_or_morphological	finite_verb_morphology	shift	existing_continuity_status	candidate	not_detected	strong	5	"[""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""]"	structural	high_and_low_weight_reasons	8	True
71	1corintios	2	12	1corintios-2-12-P02	1corintios-2-12-P01	εἰδῶμεν	V-XAS-1P	1	P	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	unresolved	candidate	candidate	2	"[""independence_transition"", ""subordination_transition""]"	turbulence	low_weight_transition_only	2	False
72	1corintios	2	13	1corintios-2-13-P01	1corintios-2-12-P02	λαλοῦμεν	V-PAI-1P	1	P	explicit_or_morphological	finite_verb_morphology	same	existing_continuity_status	candidate	not_detected	candidate	2	"[""independence_transition"", ""subordination_transition""]"	turbulence	low_weight_transition_only	2	False
