book	continuity_counts	continuity_initial_density	continuity_same_density	continuity_shift_density	continuity_unresolved_density	dominant_continuity_status	dominant_movement_class	dominant_movement_status	dominant_subject_profile	end_reference	end_stream_index	max_structural_weight	merged_regime_id	movement_class_counts	movement_status_counts	record_count	signature_code	source_regime_id	stable_density	start_reference	start_stream_index	structural_density	structural_signature_id	subject_profile_counts	total_structural_weight	turbulence_density	weight_per_record	structural_family_id	family_distance
1corintios	"{""same"": 11, ""shift"": 7}"	0.0	0.6111	0.3889	0.0	same	stable	none	3S	7:24	330	6	SMR0037	"{""stable"": 10, ""structural"": 7, ""turbulence"": 1}"	"{""candidate"": 5, ""none"": 10, ""strong"": 3}"	18	structural=medium|turbulence=low|stable=high|continuity_same=high|continuity_shift=medium|continuity_unresolved=none|weight=high	SR0153	0.5556	7:18	313	0.3889	SMR0037	"{""2P"": 2, ""2S"": 3, ""3S"": 13}"	36	0.0556	2.0	SF003	0.284256
1corintios	"{""same"": 2, ""shift"": 1}"	0.0	0.6667	0.3333	0.0	same	stable	none	1S	7:26	333	4	SMR0038	"{""stable"": 2, ""structural"": 1}"	"{""candidate"": 1, ""none"": 2}"	3	structural=medium|turbulence=none|stable=high|continuity_same=high|continuity_shift=medium|continuity_unresolved=none|weight=medium	SR0160	0.6667	7:25	331	0.3333	SMR0038	"{""1S"": 3}"	4	0.0	1.3333	SF023	0.0
1corintios	"{""same"": 7, ""shift"": 8}"	0.0	0.4667	0.5333	0.0	shift	structural	candidate	2S	7:32	348	6	SMR0039	"{""stable"": 4, ""structural"": 8, ""turbulence"": 3}"	"{""candidate"": 7, ""none"": 4, ""strong"": 4}"	15	structural=high|turbulence=low|stable=medium|continuity_same=medium|continuity_shift=high|continuity_unresolved=none|weight=very_high	SR0161	0.2667	7:27	334	0.5333	SMR0039	"{""1S"": 3, ""2S"": 6, ""3P"": 2, ""3S"": 4}"	46	0.2	3.0667	SF007	0.145607
1corintios	"{""same"": 9, ""shift"": 2}"	0.0	0.8182	0.1818	0.0	same	stable	none	3S	7:35	359	4	SMR0040	"{""stable"": 6, ""structural"": 2, ""turbulence"": 3}"	"{""candidate"": 5, ""none"": 6}"	11	structural=low|turbulence=medium|stable=high|continuity_same=very_high|continuity_shift=low|continuity_unresolved=none|weight=medium	SR0169	0.5455	7:32	349	0.1818	SMR0040	"{""1S"": 2, ""3S"": 9}"	14	0.2727	1.2727	SF008	0.277837
1corintios	"{""same"": 5, ""shift"": 2}"	0.0	0.7143	0.2857	0.0	same	stable	none	3S	7:36	366	4	SMR0041	"{""stable"": 4, ""structural"": 2, ""turbulence"": 1}"	"{""candidate"": 3, ""none"": 4}"	7	structural=medium|turbulence=low|stable=high|continuity_same=high|continuity_shift=medium|continuity_unresolved=none|weight=medium	SR0171	0.5714	7:36	360	0.2857	SMR0041	"{""3P"": 1, ""3S"": 6}"	10	0.1429	1.4286	SF008	0.330642
1corintios	"{""same"": 13, ""shift"": 3}"	0.0	0.8125	0.1875	0.0	same	stable	candidate	3S	8:1	382	6	SMR0042	"{""stable"": 7, ""structural"": 3, ""turbulence"": 6}"	"{""candidate"": 8, ""none"": 7, ""strong"": 1}"	16	structural=low|turbulence=medium|stable=medium|continuity_same=very_high|continuity_shift=low|continuity_unresolved=none|weight=medium	SR0173	0.4375	7:37	367	0.1875	SMR0042	"{""1P"": 2, ""1S"": 1, ""3S"": 13}"	26	0.375	1.625	SF012	0.238462
1corintios	"{""same"": 6, ""shift"": 2}"	0.0	0.75	0.25	0.0	same	turbulence	candidate	3S	8:4	390	8	SMR0043	"{""stable"": 2, ""structural"": 2, ""turbulence"": 4}"	"{""candidate"": 4, ""none"": 2, ""strong"": 2}"	8	structural=medium|turbulence=high|stable=medium|continuity_same=very_high|continuity_shift=medium|continuity_unresolved=none|weight=high	SR0176	0.25	8:1	383	0.25	SMR0043	"{""1P"": 1, ""3S"": 7}"	22	0.5	2.75	SF005	0.306186
1corintios	"{""same"": 3, ""shift"": 2}"	0.0	0.6	0.4	0.0	same	structural	candidate	3P	8:8	395	6	SMR0044	"{""stable"": 2, ""structural"": 2, ""turbulence"": 1}"	"{""candidate"": 2, ""none"": 2, ""strong"": 1}"	5	structural=medium|turbulence=low|stable=medium|continuity_same=high|continuity_shift=medium|continuity_unresolved=none|weight=high	SR0178	0.4	8:5	391	0.4	SMR0044	"{""3P"": 3, ""3S"": 2}"	12	0.2	2.4	SF019	0.3
1corintios	"{""same"": 3, ""shift"": 2}"	0.0	0.6	0.4	0.0	same	turbulence	candidate	1P	8:9	400	8	SMR0045	"{""structural"": 2, ""turbulence"": 3}"	"{""candidate"": 4, ""strong"": 1}"	5	structural=medium|turbulence=high|stable=none|continuity_same=high|continuity_shift=medium|continuity_unresolved=none|weight=very_high	SR0180	0.0	8:8	396	0.4	SMR0045	"{""1P"": 4, ""2P"": 1}"	18	0.6	3.6	SF006	0.298202
1corintios	"{""same"": 5, ""shift"": 4}"	0.0	0.5556	0.4444	0.0	same	structural	strong	3S	8:13	409	8	SMR0046	"{""stable"": 2, ""structural"": 4, ""turbulence"": 3}"	"{""candidate"": 3, ""none"": 2, ""strong"": 4}"	9	structural=medium|turbulence=medium|stable=low|continuity_same=high|continuity_shift=medium|continuity_unresolved=none|weight=very_high	SR0182	0.2222	8:9	401	0.4444	SMR0046	"{""1S"": 2, ""2P"": 1, ""3S"": 6}"	32	0.3333	3.5556	SF002	0.163327
