decision	reason	greek_span	nbla_span	count	first_seen	last_seen	alignment_types
skip	count too low	ποῦ	sería	1	1corintios 12:19	1corintios 12:19	direct
skip	count too low	πρέπον	la	1	1corintios 11:13	1corintios 11:13	direct
skip	count too low	πραΰτητος	de mansedumbre	1	1cor 4:21	1cor 4:21	expanded
skip	count too low	προλαμβάνει	primero	1	1corintios 11:21	1corintios 11:21	direct
skip	count too low	προσευχέσθω	pida en oración	1	1corintios 14:13	1corintios 14:13	expanded
skip	count too low	προσευχομένη	la	1	1corintios 11:5	1corintios 11:5	direct
skip	count too low	προσευχόμενος	mientras ora	1	1corintios 11:4	1corintios 11:4	expanded
skip	count too low	προσευχῇ	oración	1	1cor 7:5	1cor 7:5	direct
skip	count too low	προσεύξομαι	con	1	1corintios 14:15	1corintios 14:15	direct
skip	count too low	προσεύξομαι	pero	1	1corintios 14:15	1corintios 14:15	direct
skip	count too low	προσεύχεσθαι	descubierta	1	1corintios 11:13	1corintios 11:13	direct
skip	count too low	προσεύχεται	espíritu	1	1corintios 14:14	1corintios 14:14	direct
skip	count too low	προσεύχωμαι	yo	1	1corintios 14:14	1corintios 14:14	direct
skip	count too low	προσκυνήσει	dios	1	1corintios 14:25	1corintios 14:25	direct
skip	count too low	προφήταις	a los profetas	1	1corintios 14:32	1corintios 14:32	expanded
skip	count too low	προφήτας	maestros	1	1corintios 12:28	1corintios 12:28	direct
skip	count too low	προφήτης	que	1	1corintios 14:37	1corintios 14:37	direct
skip	count too low	προφητεία	profecía	1	1corintios 12:10	1corintios 12:10	direct
skip	count too low	προφητεία	profecía es una señal	1	1corintios 14:22	1corintios 14:22	expanded
skip	count too low	προφητείαν	don	1	1corintios 13:2	1corintios 13:2	direct
skip	count too low	προφητείᾳ	profecía	1	1corintios 14:6	1corintios 14:6	direct
skip	count too low	προφητεύειν	por	1	1corintios 14:31	1corintios 14:31	direct
skip	count too low	προφητεύειν	el	1	1corintios 14:39	1corintios 14:39	direct
skip	count too low	προφητεύητε	profetiza	1	1corintios 14:5	1corintios 14:5	direct
skip	count too low	προφητεύουσα	descubierta	1	1corintios 11:5	1corintios 11:5	direct
skip	count too low	προφητεύων	habla	1	1corintios 14:5	1corintios 14:5	direct
skip	count too low	προφητεύωσιν	profetizan	1	1corintios 14:24	1corintios 14:24	direct
skip	count too low	προφητεῖαι	si hay dones de profecía	1	1corintios 13:8	1corintios 13:8	expanded
skip	count too low	προφητῶν	de los profetas	1	1corintios 14:32	1corintios 14:32	expanded
skip	count too low	προφῆται	profetas	1	1corintios 12:29	1corintios 12:29	direct
skip	count too low	προφῆται	y	1	1corintios 14:29	1corintios 14:29	direct
skip	count too low	προώρισεν	predestinó	1	1cor 2:7	1cor 2:7	direct
skip	count too low	πρόσωπον	cara	1	1corintios 13:12	1corintios 13:12	direct
skip	count too low	πρόσωπον	conozco	1	1corintios 13:12	1corintios 13:12	direct
skip	count too low	πρόσωπον	a	1	1corintios 14:25	1corintios 14:25	direct
skip	count too low	πρὸ	desde antes	1	1cor 2:7	1cor 2:7	expanded
skip	count too low	πρὸ	antes de	1	1cor 4:5	1cor 4:5	expanded
skip	count too low	πρὸς	como enseñanza para nosotros	1	1corintios 10:11	1corintios 10:11	expanded
skip	count too low	πρὸς	hacia	1	1corintios 12:2	1corintios 12:2	direct
skip	count too low	πρὸς	ahora	1	1corintios 13:12	1corintios 13:12	direct
skip	count too low	πρὸς	procuren	1	1corintios 14:12	1corintios 14:12	direct
skip	count too low	πρὸς	para edificación	1	1corintios 14:26	1corintios 14:26	expanded
skip	count too low	πρὸς	entre	1	1cor 2:3	1cor 2:3	direct
skip	count too low	πρὸς	contra	1	1cor 6:1	1cor 6:1	direct
skip	count too low	πρὸς	su	1	1corintios 7:35	1corintios 7:35	direct
skip	count too low	πρὸς	y	1	1corintios 7:35	1corintios 7:35	direct
